Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Teams
3001,3.0,S3,1,6,2,2,3,2,0,9,16,0,3,1,3,1,0,0,13,37,47,9,9,-4.4750000000000005,-0.34485632183908044,0.0,BER @ CIN
3002,3.0,S3,1,5,0,3,9,7,1,10,16,1,1,2,3,1,0,0,17,35,56,14,14,0.524999999999999,0.17479885057471262,0.0,FTP @ LAN
3003,3.0,S3,2,5,2,7,7,17,0,5,14,0,3,5,6,2,0,0,21,47,71,21,20,6.299999999999999,0.7850574712643679,0.0,LAN @ CIN
4001,4.0,S4,1,1,1,4,4,4,0,6,10,2,4,8,7,1,0,0,10,19,49,4,4,-4.6117647058823525,-0.31242007977976294,-0.4223000000000001,PGA @ PGS
4002,4.0,S4,1,5,0,2,3,11,0,11,6,2,1,5,3,2,0,0,10,27,47,11,11,4.990196078431373,0.6417043092308558,0.9941,PDB @ DDD
4003,4.0,S4,1,4,1,10,2,8,0,9,11,0,3,4,5,3,0,0,17,41,58,13,13,4.388235294117647,0.61490252261363,0.2158999999999999,LMN @ EEE
4004,4.0,S4,1,1,0,6,6,4,0,4,10,2,0,10,6,2,0,1,13,22,47,7,7,-0.8941176470588237,0.05630878139221305,0.012299999999999986,CCS @ VFQ
4005,4.0,S4,2,1,3,5,9,1,0,7,4,0,8,6,6,2,0,0,18,32,50,11,11,3.105882352941176,0.46238047081296707,0.1892,PGA @ DDD
4006,4.0,S4,2,4,1,3,9,2,0,8,11,0,4,6,5,2,1,0,17,34,53,11,11,2.388235294117647,0.4027591437721221,0.12369999999999995,LMN @ VFQ
4007,4.0,S4,3,1,1,3,1,4,0,3,17,0,6,3,4,3,0,0,6,14,43,3,2,-5.6117647058823525,-0.4306351480420248,-0.5703,LMN @ DDD
5001,5.0,S5,1,0,1,6,9,4,0,9,9,1,4,6,4,0,2,1,16,24,52,8,8,2.160493827160493,0.4382869467908454,0.11329999999999997,WSH @ WWC
5002,5.0,S5,1,4,0,3,4,3,0,9,3,0,10,3,6,2,0,0,11,26,45,6,6,0.16049382716049337,0.19788011695906424,-0.13730000000000003,ISO @ KRB
5003,5.0,S5,1,1,1,1,4,5,0,6,9,0,6,5,4,1,1,2,7,13,42,1,1,-4.839506172839506,-0.30211988304093573,-0.7358999999999999,SAR @ MVM
5004,5.0,S5,1,3,1,3,2,4,0,4,9,0,7,8,5,2,1,1,9,23,46,7,7,0.6296296296296293,0.25691574615551216,0.05430000000000004,LMN @ TAC
5005,5.0,S5,2,3,1,2,7,2,0,10,7,0,7,6,4,2,3,0,13,26,49,6,7,0.6296296296296294,0.2730784780882246,-0.13970000000000005,LMN @ MVM
5006,5.0,S5,2,1,4,4,5,5,0,12,5,0,3,4,7,2,0,0,14,29,50,6,6,0.16049382716049376,0.21808353187495477,-0.1397000000000001,KRB @ WWC
5007,5.0,S5,3,2,0,2,2,8,1,7,10,0,3,6,7,3,0,0,6,14,47,8,8,1.6296296296296293,0.352875063172334,0.023699999999999978,LMN @ WWC
6001,6.0,S6,1,3,1,2,6,2,0,5,10,1,7,3,7,1,1,0,12,25,46,7,7,1.4179104477611937,0.27873990172619967,0.06459999999999998,SAR @ WWC
6002,6.0,S6,1,1,2,1,9,3,0,9,10,1,4,4,5,1,0,0,13,21,48,5,4,-0.5820895522388062,0.08165370719322268,0.0006000000000000172,SGP @ SAS
6003,6.0,S6,1,1,2,5,1,5,0,7,12,1,7,4,3,0,0,0,9,21,47,6,6,0.4179104477611934,0.1787399017261997,-0.26680000000000004,HEL @ TTT
6004,6.0,S6,1,2,1,3,9,8,0,14,16,1,3,3,5,1,0,0,15,26,64,14,14,5.546811397557665,0.7411646896452376,0.45139999999999963,CIM @ POR
6005,6.0,S6,2,3,0,1,4,4,0,13,11,0,2,4,3,0,1,0,8,18,45,5,5,-0.5820895522388063,0.07582609625917672,-0.05200000000000003,WWC @ CBC
6006,6.0,S6,2,3,1,3,2,1,0,8,10,1,6,5,5,2,0,0,9,23,44,5,5,-1.0895522388059704,0.019252216668414333,-0.2310000000000001,SAS @ BAC
6007,6.0,S6,2,1,1,3,3,4,0,10,6,1,9,1,7,1,2,0,8,16,45,4,4,-1.2324093816631132,0.013707918783769035,-0.05979999999999991,CIM @ PHB
6008,6.0,S6,2,4,0,1,9,3,0,9,9,1,7,4,4,2,0,1,14,27,50,7,7,0.91044776119403,0.2396488549375752,-0.24919999999999992,TTT @ FRG
6009,6.0,S6,3,2,1,5,7,6,0,10,9,1,3,3,6,2,1,0,15,28,52,9,9,3.4179104477611943,0.49622273452833765,0.0,SAS @ CBC
6010,6.0,S6,3,2,1,4,10,5,0,14,6,0,4,5,2,1,1,4,17,29,53,7,7,0.9104477611940298,0.26004549320673614,0.0,TTT @ PHB
6011,6.0,S6,4,1,0,2,6,2,0,10,8,0,4,3,5,2,2,0,9,14,42,3,3,-2.5820895522388065,-0.13000151467486926,0.0,TTT @ CBC
7001,7.0,S7,1,5,0,0,4,6,0,9,6,0,5,6,6,1,1,0,9,24,47,7,7,1.08955223880597,0.283642714388983,0.0,BAC @ STK
7002,7.0,S7,1,2,2,5,8,4,0,10,7,0,6,7,9,2,1,1,17,32,60,10,10,0.6291618828932259,0.28855419686265454,0.0,SSC @ BBC
7003,7.0,S7,1,6,1,3,5,7,1,6,10,1,6,4,5,2,0,0,15,38,53,11,11,5.08955223880597,0.7018393279836065,0.0,BBB @ FAP
7004,7.0,S7,1,1,0,2,2,1,0,6,17,1,1,6,4,2,0,0,5,10,40,1,1,-5.447761194029851,-0.39920321064599673,0.0,KNX @ PBA
7005,7.0,S7,2,2,3,3,9,10,0,5,10,0,5,5,7,0,2,1,17,32,59,12,13,7.089552238805971,0.9345932324539289,0.9108,STK @ SCG
7006,7.0,S7,2,3,1,4,4,2,0,14,13,0,1,7,6,1,0,0,12,27,55,5,5,-4.370838117106774,-0.23692106216981845,-0.5158,FAP @ WSW
7007,7.0,S7,2,2,0,0,4,3,0,9,6,1,3,8,5,2,0,0,6,12,40,3,3,-2.9104477611940296,-0.1454718673624146,-0.3106,KNX @ SSJ
7008,7.0,S7,2,4,1,4,2,10,0,8,10,0,7,4,4,1,0,2,11,29,54,10,10,3.5522388059701493,0.5590259528567987,0.6799999999999998,SSC @ TBL
7009,7.0,S7,3,2,0,1,7,6,2,7,6,0,3,10,7,3,2,0,10,17,49,4,4,-2.447761194029851,-0.059170660737824995,0.0,SSC @ SCG
7010,7.0,S7,3,1,0,3,8,2,0,9,4,0,8,4,7,0,1,1,12,18,46,3,3,-2.91044776119403,-0.11999660832994169,0.0,FAP @ SSJ
7011,7.0,S7,4,3,2,4,5,5,1,6,6,0,12,5,3,2,0,2,14,31,51,9,9,2.5522388059701493,0.44810798470002444,0.0,SSC @ SSJ
8001,8.1,S8A,1,0,1,0,5,1,0,8,6,0,10,3,8,0,1,1,6,8,42,1,1,-3.666666666666667,-0.19026533996683254,-0.9775999999999997,BAG @ CCD
8002,8.1,S8A,1,2,0,5,4,1,0,6,10,0,3,6,7,1,2,0,11,22,44,7,7,2.7222222222222223,0.4566417910447761,0.0737999999999998,LAC @ BIS
8003,8.1,S8A,2,2,1,5,1,4,0,2,9,0,4,9,7,2,0,0,9,22,44,6,6,1.7222222222222219,0.3486235489220563,-0.010400000000000034,BAG @ BIS
8501,8.2,S8B,1,2,1,9,5,5,0,9,6,0,1,7,7,2,0,1,17,34,52,14,14,3.282051282051281,0.2598955756285599,0.0,MOB @ SCU
8502,8.2,S8B,1,4,4,4,5,4,1,8,7,0,1,6,12,1,1,1,17,41,55,10,10,-1.6923076923076934,-0.24269575973764448,0.0,NUT @ CC
8503,8.2,S8B,2,7,1,10,8,8,3,17,7,0,4,4,5,2,8,1,26,59,72,23,23,7.021978021978021,0.5978001841090848,0.0,NUT @ SCU
9001,9.0,S9,1,1,0,6,8,2,0,9,6,0,4,7,5,1,3,1,15,24,48,5,5,-1.9142857142857144,0.0965476190476191,0.0,KGB @ POS
9002,9.0,S9,1,5,1,2,4,4,0,9,6,0,5,5,5,1,1,0,12,31,46,8,8,1.3392857142857144,0.39975274725274723,0.0,NNL @ BIR
9003,9.0,S9,2,1,2,4,10,8,0,12,6,0,4,3,3,3,1,2,17,28,53,5,5,-1.9142857142857141,0.11869963369963374,0.0,POS @ BIR
10001,10.0,S10,1,4,0,2,5,2,0,8,8,0,10,5,3,1,0,1,11,25,47,7,7,0.4285714285714282,0.21153988868274587,0.11760000000000002,CRN @ KIR
10002,10.0,S10,1,2,0,5,3,5,0,9,5,0,4,7,5,2,0,2,10,21,46,5,5,-1.571428571428572,0.011539888682745816,-0.20160000000000003,SEO @ ACK
10003,10.0,S10,2,5,0,4,2,6,0,4,17,0,8,4,4,0,3,0,11,30,55,9,9,1.8809523809523803,0.3919202226345083,1.0541999999999998,CRN @ SEO
