ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
1,3003,3.0,S3,2,LAN,LAN,CIN,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,5,4,2,4,-0.9185185185185186,-0.08311621966794382,0.0,Away
4,3003,3.0,S3,2,LAN,LAN,CIN,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,6,4,2,4,2.0898148148148143,0.21771711366538948,0.0,Away
4,6001,6.0,S6,1,SAR,SAR,WWC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,-0.2665719983080549,-0.020829588896759517,-0.0296,Away
5,3002,3.0,S3,1,LAN,LAN,FTP,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,3,1,1,1.6666666666666665,0.1732183908045977,0.0,Home
5,3003,3.0,S3,2,LAN,LAN,CIN,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,4,0,1,-2.0249999999999995,-0.1937643678160919,0.0,Away
7,3002,3.0,S3,1,LAN,LAN,FTP,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,-1.2666666666666664,-0.12011494252873559,0.0,Home
10,3002,3.0,S3,1,LAN,LAN,FTP,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,4,0,1,-1.975,-0.18876436781609196,0.0,Home
10,3003,3.0,S3,2,LAN,LAN,CIN,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,2,5,5,3,1,4.885185185185184,0.4994380587484036,0.0,Away
10,7009,7.0,S7,3,SSC,SSC,SCG,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,-0.49560617711333577,-0.03864264955455945,0.0,Away
10,8002,8.1,S8A,1,LAC,LAC,BIS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.3333333333333333,-0.029324212271973467,-0.0375,Away
13,4004,4.0,S4,1,VFQ,VFQ,CCS,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,-1.5926470588235293,-0.15319301646159897,0.0215,Home
