ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB,CS,1RHR,2RHR,3RHR,4RHR,H,PA,AB,TB,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
1,3.0,S3,LAN,LAN,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,4,5,{3003},1,2,4,977.0,4,-0.9185185185185186,0.0,-0.08311621966794382,0,0,LAN,2,2,5,0,0,0,4,4.0,0.09195402298850575,0.0,42,9,174,161.32183908045977,100,0.29310344827586204,0.6198788742429641,0.5,0.5,1.25,1.75,0.75,0.3333333333333333,,0.25,0.0,0.0,0.5,0.0,inf,0.5,1.25,244.25,Thomas Nova,BP,FP-H,Left,C,272.2405341446924
4,3.0,S3,LAN,LAN,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,3,6,{3003},1,2,4,633.0,4,2.0898148148148143,0.0,0.21771711366538948,0,0,LAN,2,2,5,0,1,0,4,3.9080459770114944,0.09195402298850575,0.09195402298850575,42,9,174,161.32183908045977,100,0.29310344827586204,0.6198788742429641,0.6666666666666666,0.75,2.0,2.75,1.3333333333333335,0.5,,0.25,0.0,0.25,1.0,0.0,inf,0.5,1.2794117647058822,158.25,Tim Spooneybarger,MH,BS-H,Left,P,276.985294117647
4,6.0,S6,SAR,SAR,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,{6001},1,0,0,647.0,2,-0.2665719983080549,-0.0296,-0.020829588896759517,0,0,SAR,1,0,0,0,0,0,2,2.0,0.04900181488203267,0.0,133,39,536,490.65880217785843,260,0.3208955223880597,0.5298997976719326,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,0.0,0.0,323.5,Tater Tits,TT,BS-H,Left,C,-100.0
5,3.0,S3,LAN,LAN,0,0,0,2,2,1,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,7,5,2,"{3002, 3003}",2,1,2,1564.0,6,-0.35833333333333317,0.0,-0.020545977011494215,0,0,LAN,2,0,0,3,1,0,7,3.9080459770114944,0.09195402298850575,0.09195402298850575,42,9,174,161.32183908045977,100,0.29310344827586204,0.6198788742429641,0.4,0.5714285714285714,0.4,0.9714285714285714,0.0,0.6666666666666666,,0.0,0.2857142857142857,0.2857142857142857,1.0,0.0,inf,0.42857142857142855,0.0,260.6666666666667,Y.E. Wally,TT,WC-H,Right,P,46.218487394958
7,3.0,S3,LAN,LAN,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,{3002},1,0,1,909.0,3,-1.2666666666666664,0.0,-0.12011494252873559,0,0,LAN,1,0,0,0,2,0,3,2.8160919540229887,0.09195402298850575,0.1839080459770115,42,9,174,161.32183908045977,100,0.29310344827586204,0.6198788742429641,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,303.0,Tony McGooch,S,,Right,2B,-100.0
10,3.0,S3,LAN,LAN,0,1,1,0,3,0,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,9,5,5,"{3002, 3003}",2,3,2,1777.0,8,2.9101851851851848,0.0,0.3106736909323116,0,0,LAN,2,2,4,0,4,0,9,8.632183908045977,0.09195402298850575,0.367816091954023,42,9,174,161.32183908045977,100,0.29310344827586204,0.6198788742429641,0.4,0.5555555555555556,1.0,1.5555555555555556,0.6,0.5,,0.0,0.2222222222222222,0.3333333333333333,0.5,0.5,1.0,0.2222222222222222,0.46338215712383485,222.125,Emmett Michael,1B,,Left,SS,50.570655248339904
10,7.0,S7,SSC,SSC,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,{7009},1,0,0,1323.0,3,-0.49560617711333577,0.0,-0.03864264955455945,0,1,SSC,3,0,0,0,0,0,3,3.0,0.043706293706293704,0.0,124,53,554,496.8479020979021,258,0.3194945848375451,0.5192736024658952,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,inf,0.0,0.0,441.0,Holden Summers,1B,BS-H,Left,P,-100.0
10,8.1,S8A,LAC,LAC,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,{8002},1,0,0,495.0,1,-0.3333333333333333,-0.0375,-0.029324212271973467,0,0,LAC,1,0,0,0,0,0,1,1.0,0.04477611940298507,0.0,26,6,130,123.28358208955224,51,0.24615384615384617,0.413680387409201,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,inf,0.0,0.0,495.0,Holden Summers,BC,BS-H,Left,2B,-100.0
13,4.0,S4,VFQ,VFQ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,{4004},1,1,0,509.0,2,-1.5926470588235293,0.0215,-0.15319301646159897,0,0,VFQ,1,0,0,0,1,0,2,1.9369627507163323,0.06303724928366762,0.06303724928366762,62,33,347,309.5329512893983,124,0.2737752161383285,0.4006035528154998,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,254.5,Reimer Gonzalez,WC,BS-H,Right,SS,-100.0
14,4.0,S4,VFQ,VFQ,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,{4006},1,0,0,1251.0,3,-0.6301470588235294,-0.1269,-0.05390717175122198,0,0,VFQ,2,0,0,0,0,0,3,3.0,0.06303724928366762,0.0,62,33,347,309.5329512893983,124,0.2737752161383285,0.4006035528154998,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.6666666666666666,0.0,0.0,0.0,,0.0,0.0,417.0,A.Z. Chapman,TT,,Right,LF,-100.0
