Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
ACK,SEO,10002,10.0,S10,1,0,0,2,2,3,0,2,1,0,2,6,4,1,0,0,4,6,23,1,1,-2.285714285714286,-0.1477442795299938,-0.3508,Home
BAC,SAS,6006,6.0,S6,2,1,1,1,1,0,0,3,2,0,3,4,5,1,0,0,4,10,21,2,2,-1.0447761194029854,-0.04328769713281581,-0.3655,Home
BAC,STK,7001,7.0,S7,1,0,0,0,4,2,0,6,4,0,2,2,3,1,0,0,4,4,23,1,1,-2.2238805970149254,-0.13868363716622426,0.0,Away
BAG,BIS,8003,8.1,S8A,2,1,1,1,1,1,0,1,5,0,2,4,5,1,0,0,4,10,22,2,2,-0.3333333333333335,0.054867330016583726,-0.2551999999999999,Away
BAG,CCD,8001,8.1,S8A,1,0,1,0,3,1,0,4,3,0,8,0,3,0,1,0,4,6,23,1,1,-1.3333333333333333,-0.03711442786069653,-0.23879999999999996,Away
BBB,FAP,7003,7.0,S7,1,2,1,1,4,2,0,4,3,0,4,2,3,2,0,0,8,17,26,4,4,0.776119402985075,0.1722343309905499,0.0,Away
BBC,SSC,7002,7.0,S7,1,0,1,3,1,2,0,7,4,0,1,2,6,0,1,1,5,10,27,2,2,-2.685419058553387,-0.16300154700652214,0.0,Home
BER,CIN,3001,3.0,S3,1,1,0,1,1,0,0,5,8,0,1,1,2,1,0,0,3,7,20,1,1,-6.3500000000000005,-0.5913218390804598,0.0,Away
BIR,NNL,9002,9.0,S9,1,4,1,1,2,4,0,6,1,0,3,2,1,0,1,0,8,23,25,7,7,4.110714285714286,0.5605975274725274,0.0,Home
BIR,POS,9003,9.0,S9,2,0,2,2,4,5,0,10,3,0,0,1,1,0,1,0,8,14,28,3,3,-0.1428571428571428,0.14631639194139195,0.0,Home
BIS,BAG,8003,8.1,S8A,2,1,0,4,0,3,0,1,4,0,2,5,2,1,0,0,5,12,22,4,4,2.0555555555555554,0.2937562189054726,0.2448,Home
BIS,LAC,8002,8.1,S8A,1,1,0,2,1,1,0,4,4,0,2,2,3,0,1,0,4,9,20,4,4,2.055555555555556,0.28974709784411273,0.28689999999999993,Home
CBC,SAS,6009,6.0,S6,3,1,1,4,4,3,0,3,3,0,1,2,4,2,0,0,10,19,26,6,6,3.4626865671641798,0.42202759885901553,0.0,Home
CBC,TTT,6011,6.0,S6,4,0,0,2,4,1,0,3,4,0,1,1,3,2,1,0,6,8,20,2,2,-0.5373134328358209,0.007458571523900576,0.0,Home
CBC,WWC,6005,6.0,S6,2,3,0,0,3,1,0,6,7,0,0,2,0,0,1,0,6,15,22,3,3,0.462686567164179,0.11328618245794654,0.22399999999999998,Home
CC,NUT,8502,8.2,S8B,1,1,3,2,2,4,1,3,4,0,1,1,7,1,1,1,8,19,28,4,4,-1.8461538461538467,-0.2232811690926873,0.0,Home
CCD,BAG,8001,8.1,S8A,1,0,0,0,2,0,0,4,3,0,2,3,5,0,0,1,2,2,19,0,0,-2.3333333333333335,-0.15315091210613602,-0.7387999999999999,Home
CCS,VFQ,4004,4.0,S4,1,0,0,1,4,2,0,1,5,0,0,5,5,1,0,1,5,6,23,1,1,-3.3058823529411767,-0.25772796224506994,-0.2435,Away
CIM,PHB,6007,6.0,S6,2,1,0,1,0,2,0,6,6,1,1,0,4,1,0,0,2,6,21,1,1,-2.044776119402985,-0.1432876971328158,-0.27990000000000004,Away
