ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
4,3002,3.0,S3,1,LAN,LAN,FTP,1,0,1,3,2,0,0,3,9,1,1,3,1,0,0,5,24,6.0,1,-6.3500000000000005,0.7522413793103448,0.0,13,4,Home
4,3003,3.0,S3,2,LAN,LAN,CIN,1,0,1,2,5,0,0,3,8,0,0,1,0,0,0,4,21,4.0,3,-1.9000000000000004,0.2925862068965518,0.0,7,3,Away
10,5007,5.0,S5,3,LMN,LMN,WWC,0,0,1,0,1,0,0,3,4,2,3,5,1,0,0,1,19,6.0,0,-3.1851851851851856,0.40118998628257885,0.23850000000000002,12,7,Away
10,8002,8.1,S8A,1,LAC,LAC,BIS,0,0,2,1,1,0,0,2,2,0,1,2,0,1,0,3,11,2.3333333333333335,3,2.833333333333333,-0.22129353233830845,-0.1029,4,3,Away
32,5005,5.0,S5,2,LMN,LMN,MVM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3333333333333333,0,-0.10662177328844002,0.015013307211162969,0.056900000000000006,1,0,Away
32,6008,6.0,S6,2,TTT,TTT,FRG,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,1,7,2.0,0,-1.0149253731343284,0.13860045277833385,0.163,3,0,Away
32,6010,6.0,S6,3,TTT,TTT,PHB,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,4,0.6666666666666666,0,-0.3947368421052631,0.06067820733332689,0.0,0,0,Away
32,6011,6.0,S6,4,TTT,TTT,CBC,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,4,1.0,1,0.49253731343283585,-0.028049208220483,0.0,0,0,Away
32,7010,7.0,S7,3,FAP,FAP,SSJ,1,0,2,2,1,0,0,6,3,1,3,1,0,1,1,5,20,5.0,2,-0.6865671641791045,0.1592679763575286,0.0,8,4,Away
34,7006,7.0,S7,2,FAP,FAP,WSW,1,0,3,2,0,0,0,6,7,1,5,2,0,0,0,6,27,7.0,1,-2.685419058553387,0.38504209720627636,0.5079,15,5,Away
