ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,LO,SF,SH,GO,DP,TP,SB,CS,H,IP,BF,AB,TB,G_list,G,ER,Total Diff,Total Plays,RE24,WAR,WPA,0 Diffs,500 Diffs,300+ Pitches,400+ Pitches,Last Team,Last Session,W,L,SV,HLD,BS,GS,GF,CG,SHO,OPP,nER,nIP,FIP Constant,lgnER,lgnIP,lgnERA,ERA,WHIP,FIP,H6,HR6,BB6,SO6,SO/BB,BA,OBP,SLG,OPS,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,W-L%,SV%,nERA,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,Pitching Type (Main),ERA-
4,3.0,S3,LAN,LAN,2,0,2,5,7,0,0,6,17,1,1,4,0,0,0,5,1,0,0,0,9,10.0,45,38,17,"{3002, 3003}",2,4,11999.0,45,-8.25,1.0448275862068965,0.0,0,0,20,7,LAN,2,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,10.0,2.0792079207920784,23.5,35.0,4.0285714285714285,2.4000000000000004,1.6,3.379207920792078,5.4,1.2000000000000002,4.199999999999999,10.2,2.4285714285714284,0.23684210526315788,0.35555555555555557,0.37777777777777777,0.7333333333333334,0.3684210526315789,,0.044444444444444446,0.37777777777777777,0.15555555555555556,0.4166666666666667,0.5,0.8333333333333334,1.0,,1.2000000000000002,266.64444444444445,Tim Spooneybarger,MH,BS-H,Left,P,BS,29.787234042553195
10,5.0,S5,LMN,LMN,0,0,1,0,1,0,0,3,4,2,3,5,0,0,0,8,1,0,0,0,1,6.0,19,18,2,{5007},1,0,6274.0,19,-3.1851851851851856,0.40118998628257885,0.23850000000000002,0,0,12,7,LMN,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1.0874999999999997,43.62778554778555,80.33333333333333,3.2585068043989214,0.0,0.3333333333333333,0.2541666666666663,1.0,0.0,1.0,4.0,4.0,0.05555555555555555,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.07142857142857142,,0.0,0.21052631578947367,0.05263157894736842,0.6153846153846154,0.23076923076923078,2.6666666666666665,1.0,,0.0,330.2105263157895,Holden Summers,1B,BS-H,Left,P,BS,0.0
10,8.1,S8A,LAC,LAC,0,0,2,1,1,0,0,2,2,0,1,2,0,0,0,3,0,0,1,0,3,2.3333333333333335,11,10,5,{8002},1,3,2748.0,12,2.833333333333333,-0.22129353233830845,-0.1029,0,0,4,3,LAC,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.3333333333333335,1.8823529411764703,15.222222222222221,34.0,2.6862745098039214,7.7142857142857135,1.7142857142857142,1.4537815126050417,7.7142857142857135,0.0,2.571428571428571,5.142857142857142,2.0,0.3,0.36363636363636365,0.45454545454545453,0.8181818181818181,0.375,1.0,0.0,0.18181818181818182,0.09090909090909091,0.6,0.4,1.4999999999999998,,,10.285714285714285,229.0,Holden Summers,BC,BS-H,Left,2B,BS,382.89885297184566
32,5.0,S5,LMN,LMN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1,1,0,{5005},1,0,333.0,1,-0.10662177328844002,0.015013307211162969,0.056900000000000006,0,0,1,0,LMN,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4242424242424242,0.3333333333333333,1.0874999999999997,43.62778554778555,80.33333333333333,3.2585068043989214,0.0,0.0,-4.9125000000000005,0.0,0.0,0.0,18.0,inf,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,,,7.636363636363637,333.0,Larry Longshot,TT,FP-H,Right,PH,FP,234.3516246783555
32,6.0,S6,TTT,TTT,0,0,1,3,0,0,0,7,3,0,0,0,0,1,1,0,0,0,0,0,4,3.6666666666666665,15,13,5,"{6008, 6010, 6011}",3,1,2903.0,15,-0.9171249018067558,0.17122945189117775,0.163,0,0,3,0,TTT,4,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.6666666666666665,1.6178010471204187,76.21531448389264,127.33333333333333,3.591297541125831,1.6363636363636367,1.090909090909091,-0.018562589243217742,6.545454545454547,0.0,0.0,4.909090909090909,inf,0.3076923076923077,0.2857142857142857,0.3333333333333333,0.6190476190476191,0.36363636363636365,,0.0,0.2,0.0,0.0,1.0,0.0,0.0,1.0,1.6363636363636367,193.53333333333333,Larry Longshot,TT,FP-H,Right,PH,FP,45.56469124668114
32,7.0,S7,FAP,FAP,1,0,2,2,1,0,0,6,3,1,3,1,0,1,0,4,0,0,1,1,5,5.0,20,18,10,{7010},1,2,5232.0,21,-0.6865671641791045,0.1592679763575286,0.0,0,0,8,4,FAP,3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.751599147121535,4.666666666666667,0.3435114503816794,72.16537622572388,131.0,3.305284407285063,2.4000000000000004,1.2,2.3435114503816794,6.0,1.2000000000000002,1.2000000000000002,3.5999999999999996,3.0,0.2777777777777778,0.3,0.5,0.8,0.26666666666666666,0.5,0.05,0.15,0.05,0.36363636363636365,0.5454545454545454,0.6666666666666667,0.0,,3.5377703320134017,249.14285714285714,Larold,TT,FP-H,Right,C,FP,107.03376460482264
34,7.0,S7,FAP,FAP,1,0,3,2,0,0,0,6,7,1,5,2,0,0,0,7,0,0,0,0,6,7.0,27,27,12,{7006},1,1,7283.0,27,-2.685419058553387,0.38504209720627636,0.5079,0,0,15,5,FAP,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,0.3435114503816794,72.16537622572388,131.0,3.305284407285063,0.8571428571428571,0.8571428571428571,0.20065430752453656,5.142857142857142,0.8571428571428571,0.0,6.0,inf,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.2631578947368421,,0.037037037037037035,0.25925925925925924,0.0,0.5,0.42857142857142855,1.1666666666666667,1.0,,0.8571428571428571,269.74074074074076,Dixon Uraz,S,FP-S,Right,RF,FP,25.93249934116587
39,7.0,S7,BBC,BBC,1,0,1,5,0,0,0,2,3,5,4,1,0,0,0,5,1,0,0,0,7,5.333333333333333,22,22,11,{7002},1,1,5619.0,22,-1.833636694575901,0.27828975129909483,0.0,0,0,8,5,BBC,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3902439024390243,5.333333333333333,0.3435114503816794,72.16537622572388,131.0,3.305284407285063,1.125,1.3125,1.6560114503816794,7.875,1.125,0.0,3.375,inf,0.3181818181818182,0.3181818181818182,0.5,0.8181818181818181,0.3333333333333333,,0.045454545454545456,0.13636363636363635,0.0,0.4166666666666667,0.16666666666666666,2.5000000000000004,,,1.5640243902439024,255.4090909090909,Franz Joseph Hyman Jr,BC,WC-H,Right,2B,WC,47.31890504782858
42,4.0,S4,PDB,PDB,0,0,2,0,4,0,0,3,2,1,2,0,0,1,0,2,1,0,0,0,2,3.0,14,9,4,{4002},1,2,3265.0,13,0.47205882352941164,0.02542123152986124,-0.3140000000000001,0,0,4,3,PDB,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.6666666666666665,2.205882352941177,32.541666666666664,82.0,2.3810975609756095,4.0,2.0,4.872549019607844,4.0,0.0,8.0,4.0,0.5,0.2222222222222222,0.42857142857142855,0.2857142857142857,0.7142857142857142,0.25,,0.0,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.5,0.6666666666666666,0.0,,0.0,251.15384615384616,Viking Fishbird,1B,NH-S,Right,P,NH,0.0
63,4.0,S4,LMN,LMN,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1.0,2,2,0,{4003},1,0,730.0,2,-0.75,0.08537530198325749,0.5793,0,0,1,1,LMN,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.205882352941177,32.541666666666664,82.0,2.3810975609756095,0.0,0.0,2.205882352941177,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,,1.0,0.0,365.0,Michael Ikenberry,SM,BB-B,Left,PH,BB,0.0
