Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
ACK,SEO,10002,10.0,S10,1,2,0,3,1,2,0,0,7,4,2,1,1,1,0,2,6,23,6.0,4,0.7142857142857142,0.04039115646258502,-0.14919999999999992,7,4,Home
BAC,SAS,6006,6.0,S6,2,2,0,2,1,1,0,0,5,8,3,1,0,1,0,0,5,23,6.0,3,-0.04477611940298526,0.12640361989640186,-0.13449999999999993,7,3,Home
BAC,STK,7001,7.0,S7,1,5,0,0,0,4,0,0,3,2,3,4,3,0,1,0,5,24,5.0,6,3.3134328358208953,-0.22347273603492507,0.0,12,7,Away
BAG,BIS,8003,8.1,S8A,2,1,0,4,0,3,0,0,1,4,2,5,2,1,0,0,5,22,5.0,4,2.0555555555555554,-0.09181592039800988,-0.2448,10,4,Away
BAG,CCD,8001,8.1,S8A,1,0,0,0,2,0,0,0,4,3,2,3,5,0,0,1,2,19,6.0,0,-2.3333333333333335,0.33673300165837483,0.7387999999999999,12,6,Away
BBB,FAP,7003,7.0,S7,1,4,0,2,1,5,1,1,2,7,2,2,2,0,0,0,7,27,5.0,7,4.313432835820895,-0.3148430922311519,0.0,10,4,Away
BBC,SSC,7002,7.0,S7,1,2,1,2,7,2,0,0,3,3,5,5,3,2,0,0,12,33,7.0,8,3.314580941446613,-0.18906897138240422,0.0,11,7,Home
BER,CIN,3001,3.0,S3,1,5,2,1,2,2,0,0,4,8,2,0,1,0,0,0,10,27,5.0,8,1.8749999999999996,-0.05560344827586197,0.0,10,4,Away
BIR,NNL,9002,9.0,S9,1,1,0,1,2,0,0,0,3,5,2,3,4,1,0,0,4,21,6.0,1,-2.7714285714285714,0.32642170329670334,0.0,8,6,Home
BIR,POS,9003,9.0,S9,2,1,0,2,6,3,0,0,2,3,4,2,2,3,0,2,9,25,6.0,2,-1.7714285714285714,0.2405013736263736,0.0,10,8,Home
BIS,BAG,8003,8.1,S8A,2,1,1,1,1,1,0,0,1,5,2,4,5,1,0,0,4,22,6.0,2,-0.3333333333333335,0.14707296849087895,0.2551999999999999,13,6,Home
BIS,LAC,8002,8.1,S8A,1,1,0,3,3,0,0,0,2,6,1,4,4,1,1,0,7,24,6.0,3,0.6666666666666667,0.06258291873963517,0.2131,11,8,Home
CBC,SAS,6009,6.0,S6,3,1,0,1,3,3,0,0,7,6,2,1,2,0,1,0,5,26,6.0,3,-0.04477611940298509,0.14760814301920241,0.0,8,3,Home
CBC,TTT,6011,6.0,S6,4,1,0,0,2,1,0,0,7,4,3,2,2,0,1,0,3,22,6.0,1,-2.044776119402985,0.3264036198964019,0.0,9,2,Home
CBC,WWC,6005,6.0,S6,2,0,0,1,1,3,0,0,7,4,2,2,3,0,0,0,2,23,6.0,2,-1.0447761194029852,0.22640361989640184,0.276,8,4,Home
CC,NUT,8502,8.2,S8B,1,3,1,2,3,0,0,0,5,3,0,5,5,0,0,0,9,27,6.0,6,0.15384615384615352,0.19328893619469548,0.0,10,5,Home
CCD,BAG,8001,8.1,S8A,1,0,1,0,3,1,0,0,4,3,8,0,3,0,1,0,4,23,6.0,1,-1.3333333333333333,0.2574129353233831,0.23879999999999996,10,5,Home
CCS,VFQ,4004,4.0,S4,1,1,0,5,2,2,0,0,3,5,0,5,1,1,0,0,8,24,5.0,6,2.411764705882353,-0.11667284678914547,-0.2558,9,4,Away
CIM,PHB,6007,6.0,S6,2,0,1,2,3,2,0,0,4,0,8,1,3,0,2,0,6,24,5.333333333333333,3,0.8123667377398722,0.05659272652421657,-0.22010000000000002,11,5,Away
CIM,POR,6004,6.0,S6,1,1,0,1,5,1,0,0,7,9,2,1,2,0,0,0,7,29,7.0,6,1.773405698778833,-0.02360777723757907,0.024300000000000044,9,3,Away
