Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
ANA,ARI,4037,4,S4,3,4,1,0,1,1,0,3,2,0,0,6,4,0,0,0,6,20,22,5,5,2.21862210095498,0.3032961934270932,0.2056,Home
ANA,ARI,8037,8,S8,3,2,1,1,1,1,0,2,6,0,3,4,2,1,0,0,5,14,23,3,3,-0.8941448891829309,-0.0012742443907171,-0.1432999999999999,Away
ANA,ARI,11076,11,S11,6,1,0,5,5,5,0,1,8,0,1,3,2,1,0,2,11,19,31,8,8,4.403525954946131,0.5598905175302354,0.5868999999999998,Away
ANA,ATL,11106,11,S11,8,2,1,0,6,3,0,4,3,0,2,4,5,0,3,0,9,17,30,4,4,0.4035259549461313,0.1598905175302354,-0.0595999999999999,Home
ANA,BAL,4080,4,S4,6,2,1,1,1,3,0,3,5,0,2,1,3,0,0,1,5,14,22,4,4,1.2186221009549796,0.2069977381239839,0.2207,Home
ANA,BAL,5032,5,S5,3,0,1,1,5,3,1,4,1,0,4,2,5,2,0,0,7,10,26,3,3,-0.8626005361930296,0.0144741797322073,0.0487,Home
ANA,BAL,8096,8,S8,7,3,1,0,3,3,1,2,6,0,0,4,3,0,2,0,7,18,25,8,8,4.754879259014224,0.5789569086077072,0.2732,Home
ANA,BAL,9225,9,S9,15,2,0,2,1,4,0,6,8,0,1,1,2,0,2,0,5,13,27,3,3,-0.8890314304041054,0.0144106326005457,-0.0861999999999999,Away
ANA,BAL,11121,11,S11,9,0,1,0,3,1,0,7,3,0,1,4,3,0,1,0,4,6,23,1,1,-2.5964740450538684,-0.1727107339340251,-0.5361,Home
ANA,BOS,6158,6,S6,11,1,0,1,4,4,0,4,7,0,0,0,1,0,1,0,6,10,22,5,5,2.715254237288136,0.3599689896738667,0.1105,Away
ANA,BOS,7125,7,S7,9,0,0,2,2,0,0,6,4,0,2,2,2,1,0,1,4,6,20,0,0,-3.6954452753229097,-0.2859698527891504,-0.4908000000000001,Away
ANA,BOS,9045,9,S9,3,0,0,3,5,3,0,3,1,0,9,2,1,2,0,0,8,11,27,2,2,-1.8890314304041047,-0.0927144553746925,-0.1405999999999999,Away
ANA,BOS,10123,10,S10,9,2,0,0,5,1,0,3,5,0,2,6,1,1,2,0,7,13,25,2,2,-1.6092544987146526,-0.0608453955438107,-0.1747,Away
ANA,CIN,5156,5,S5,11,3,0,4,5,5,0,2,7,0,4,1,4,0,0,0,12,25,35,12,12,8.137399463806972,0.9493437220461916,0.3708,Away
ANA,CLE,5215,5,S5,15,3,0,1,4,0,0,7,5,1,2,1,3,0,0,0,8,18,26,6,6,2.13739946380697,0.3144741797322072,0.2783999999999999,Home
ANA,CLE,6177,6,S6,12,0,1,1,6,3,0,5,3,0,3,0,4,0,0,0,8,11,26,5,5,2.1440677966101696,0.3143864629032509,0.3155,Home
ANA,CLE,7140,7,S7,10,0,0,4,6,1,0,4,3,0,2,2,3,1,0,0,10,14,25,6,6,2.9204622705642422,0.3915398874649248,0.6323,Home
ANA,CLE,9088,9,S9,6,1,0,3,3,2,0,3,7,0,2,1,3,1,0,1,7,13,25,3,3,-0.8890314304041056,0.0037230006376882,-0.0573999999999999,Home
ANA,CLE,10211,10,S10,15,1,0,0,5,2,0,4,4,0,0,2,1,1,1,3,6,9,19,2,2,-1.0077120822622103,-0.0155178286137746,-0.0336999999999999,Home
ANA,COL,9203,9,S9,14,1,1,2,5,0,0,3,2,0,4,2,2,0,1,0,9,16,23,5,5,1.7591404746632453,0.2614151031691849,0.2739,Home
ANA,CWS,4095,4,S4,7,0,1,0,1,0,0,5,8,0,1,1,3,0,0,0,2,4,20,0,0,-3.3376534788540244,-0.2597344539475885,-0.4612999999999999,Home
ANA,CWS,4170,4,S4,12,0,0,0,3,1,0,5,2,0,0,7,3,1,1,0,3,3,21,0,0,-3.3376534788540244,-0.2523313645538071,-0.3647999999999999,Away
ANA,CWS,5080,5,S5,6,0,1,0,4,1,0,0,5,3,2,1,2,2,0,0,5,7,16,3,3,0.4249329758713136,0.1044835950342145,0.1953,Home
ANA,CWS,5199,5,S5,14,3,0,0,4,4,0,6,3,0,4,3,1,1,0,0,7,16,28,4,4,0.1373994638069704,0.1222229669130927,0.0024,Away
ANA,CWS,7008,7,S7,1,1,0,0,5,2,0,4,4,0,3,5,1,0,1,1,6,9,25,2,2,-1.6954452753229097,-0.0620913742911103,-0.2899,Home
ANA,CWS,9180,9,S9,12,1,2,0,5,2,0,6,4,0,1,1,3,0,4,1,8,15,26,4,4,0.1109685695958946,0.1215357205757841,0.0893,Away
ANA,CWS,10031,10,S10,3,1,0,2,1,3,1,3,3,0,10,0,4,0,1,0,4,9,28,2,2,-2.2107969151670943,-0.1135862998314509,-0.2261999999999999,Home
ANA,CWS,11211,11,S11,15,0,1,6,4,1,0,2,3,0,2,4,3,0,1,1,11,19,26,7,7,4.002938295788443,0.5017199452454328,0.4494999999999999,Home
ANA,DET,4126,4,S4,9,3,0,2,1,0,0,4,4,0,2,3,2,0,0,0,6,17,21,4,4,1.2186221009549796,0.1995946487302025,0.1437,Home
ANA,DET,4215,4,S4,15,0,0,0,4,2,0,3,4,0,0,3,6,0,2,2,4,4,22,1,1,-2.3376534788540244,-0.1375251857662444,-0.2951,Away
ANA,DET,5005,5,S5,1,1,1,1,2,3,0,3,5,1,2,2,6,0,1,0,5,11,26,5,5,1.1373994638069704,0.21834857332265,0.0786,Away
ANA,DET,5170,5,S5,12,1,0,0,0,5,0,1,7,0,1,0,4,0,0,0,1,4,19,2,2,-0.6152570290431231,0.012087775314099,0.0692,Home
ANA,DET,6204,6,S6,14,1,0,3,1,2,0,3,8,1,3,1,3,0,0,0,5,11,25,1,1,-2.4271186440677965,-0.1465775535969392,-0.2302,Away
ANA,DET,8218,8,S8,15,1,0,3,3,6,0,1,7,1,0,5,1,3,0,1,7,13,27,1,1,-2.8941448891829307,-0.182113321667331,-0.4211,Away
ANA,DET,10199,10,S10,14,0,0,3,4,5,0,4,1,0,1,3,4,4,1,1,7,10,25,3,3,-0.6092544987146528,0.0391546044561892,0.2883999999999999,Away
ANA,HOU,4233,4,S4,16,2,0,4,2,2,0,5,1,0,0,5,6,0,1,1,8,18,27,7,7,3.662346521145975,0.4735794483244276,0.3163000000000001,Away
ANA,HOU,6036,6,S6,3,0,1,3,5,2,0,3,3,0,1,7,2,2,0,0,9,14,27,3,3,-0.4271186440677966,0.0611131912678479,0.0978999999999999,Home
ANA,HOU,6067,6,S6,5,0,1,3,4,3,0,11,5,0,1,0,1,0,0,0,8,13,29,3,3,-0.4271186440677967,0.0688039361326351,0.0962,Away
ANA,HOU,7179,7,S7,12,2,1,1,2,2,0,2,11,0,2,0,2,0,0,0,6,15,25,5,5,1.478539356949319,0.2473475961034325,0.4608,Home
ANA,HOU,7239,7,S7,16,0,1,3,1,3,0,3,9,0,2,1,0,0,0,0,5,10,23,4,4,0.920462270564242,0.1835803946322447,0.1859999999999999,Home
ANA,HOU,8022,8,S8,2,2,0,2,3,2,0,1,6,0,0,5,4,1,1,1,7,15,25,5,5,1.1058551108170689,0.2140544937879917,0.2432,Away
ANA,HOU,8203,8,S8,14,2,0,5,2,1,0,7,4,0,2,4,1,0,0,0,9,20,28,7,7,3.105855110817069,0.4178866783326689,-0.1049999999999999,Home
ANA,HOU,9013,9,S9,1,2,0,2,3,3,0,2,11,0,1,3,1,0,0,0,7,15,28,8,8,4.110968569595895,0.5108480886129266,-0.0954,Home
ANA,HOU,9060,9,S9,4,4,0,5,4,1,0,6,7,0,0,3,2,0,1,0,13,30,32,9,9,5.110968569595895,0.6286608085510226,0.4778000000000001,Away
ANA,HOU,10166,10,S10,12,1,0,0,3,0,0,8,4,0,0,4,1,1,1,0,4,7,21,2,2,-1.6092544987146526,-0.0793787389378208,-0.2305999999999999,Home
ANA,HOU,10232,10,S10,16,0,0,0,3,0,0,2,3,0,6,4,2,0,1,1,3,3,20,0,0,-3.6092544987146526,-0.2793787389378208,-0.2648,Away
ANA,HOU,11001,11,S11,1,2,0,0,4,2,0,2,7,0,0,4,1,0,1,2,6,12,23,2,2,-1.5964740450538684,-0.0654660113864116,-0.2224,Home
ANA,HOU,11171,11,S11,12,2,0,2,5,4,0,5,1,0,5,5,7,1,2,0,9,17,36,5,5,-0.4139549217217251,0.0962542362324834,0.0371999999999999,Away
ANA,KCR,4004,4,S4,1,0,1,5,3,5,0,3,5,0,3,3,3,1,1,0,9,16,31,8,8,4.662346521145976,0.5846840824150998,0.5752,Away
ANA,KCR,4199,4,S4,14,3,0,0,3,3,0,2,14,0,1,1,0,0,4,0,6,15,27,3,3,-0.3376534788540246,0.0809825377182091,-0.2517999999999999,Home
ANA,KCR,5049,5,S5,4,3,0,0,3,3,0,4,2,0,3,4,3,2,0,0,6,15,25,3,3,-0.8626005361930296,0.0105997861417646,0.0097,Away
ANA,KCR,5229,5,S5,16,0,1,3,2,1,0,4,5,2,3,1,4,0,0,0,6,11,24,2,2,-1.6916327942575458,-0.0761778332551296,0.0706,Home
ANA,KCR,6128,6,S6,9,0,3,0,2,1,0,1,6,0,4,2,3,1,1,1,5,11,22,3,3,-0.4271186440677966,0.0495770739706671,-0.1876999999999999,Away
ANA,KCR,7083,7,S7,6,1,0,2,4,1,0,3,6,0,2,3,3,1,1,0,7,12,25,2,2,-1.6954452753229092,-0.0660711207074503,-0.3676000000000001,Away
ANA,KCR,8231,8,S8,16,1,0,0,0,1,0,2,1,0,10,3,2,0,0,0,1,4,20,1,1,-2.894144889182931,-0.2127707980247487,-0.3986,Home
ANA,KCR,11151,11,S11,11,4,1,3,1,0,0,3,7,0,3,3,2,0,1,0,9,26,27,6,6,2.403525954946131,0.3417787111612017,0.2374000000000001,Home
ANA,LAD,5112,5,S5,8,2,1,1,1,1,0,2,3,0,3,3,5,2,0,0,5,14,22,3,3,-0.8626005361930296,-0.0010233946295634,-0.1651999999999999,Home
ANA,MIL,6113,6,S6,8,0,0,1,5,2,0,4,4,0,3,1,3,2,1,1,6,7,23,1,0,-2.4271186440677965,-0.1465775535969393,-0.4379,Away
