League,Season,Session,Game ID,Win+,Win+Team,Loss+,Loss+Team,Win-,Win-Team,Loss-,Loss-Team,Notes
MLR,1,1,1006,2091,DET,1966,BAL,,,,,Different runner advancement rules
MLR,2,11,2112,1997,SDP,2151,WSH,2151,WSH,2031,SDP,WSH forfeit
MiLR,3,1,3002,61,CCF,439,SCB,,,,,HRD
MiLR,3,3,3010,74,LAN,76,SCB,,,,,HRD
MiLR,3,3,3011,265,CIN,252,BAY,,,,,HRD
MiLR,3,4,3014,150,BER,93,LAN,,,,,HRD
MiLR,3,5,3018,163,CCF,395,TZS,,,,,HRD
MiLR,3,5,3020,92,LAN,322,FTP,,,,,HRD
MiLR,3,8,3029,249,CIN,379,LAN,,,,,HRD
MiLR,3,8,3032,180,BAY,152,BER,,,,,HRD
MiLR,3,9,3036,180,BAY,390,TZS,,,,,HRD
MiLR,3,12,3045,282,FTP,4,LAN,,,,,HRD
MiLR,3,12,3047,176,CCF,390,TZS,,,,,HRD
MiLR,4,2,4009,344,HON,610,DDD,,,,,HRD
MiLR,4,2,4011,287,PDB,216,N69,,,,,HRD
MiLR,4,2,4016,310,EEE,604,LDN,,,,,HRD
MiLR,4,3,4019,707,PGS,259,DBV,,,,,HRD
MiLR,4,3,4020,163,PGA,275,DDD,,,,,HRD
MiLR,4,4,4030,16,CCS,270,DCL,,,,,HRD
MiLR,4,5,4037,606,CCS,59,FWG,,,,,HRD
MiLR,4,7,4049,293,PDB,478,PGA,,,,,HRD
MiLR,4,10,4076,196,DDD,117,PGA,,,,,HRD
MiLR,4,11,4085,193,LMN,401,LDN,,,,,HRD
MiLR,4,11,4086,713,DCL,662,CCS,,,,,HRD
MiLR,4,13,4097,707,PGS,117,PGA,,,,,HRD
MiLR,5,2,5018,1736,ISO,131,SPR,,,,,HRD
MiLR,5,2,5024,1842,MVM,380,SAR,,,,,HRD
MiLR,5,3,5032,651,TAI,1961,LMN,,,,,HRD
MiLR,5,4,5044,492,MVM,1961,LMN,,,,,HRD
MiLR,5,5,5049,1719,KRB,135,TSA,,,,,HRD
MiLR,5,5,5055,393,TRA,371,TAC,,,,,HRD
MiLR,5,5,5058,702,TAI,331,DAD,,,,,HRD
MiLR,5,6,5070,42,SAR,1947,TAC,,,,,HRD
MiLR,5,7,5079,103,KTY,651,TAI,,,,,HRD
MiLR,5,8,5088,1830,WWC,131,SPR,,,,,HRD
MiLR,5,8,5092,249,POR,651,LMN,,,,,HRD
MiLR,5,9,5100,1830,WWC,1736,ISO,,,,,HRD
MiLR,5,9,5106,703,NUL,2252,MVM,,,,,HRD
MiLR,5,9,5107,284,SAR,329,DAD,,,,,HRD
MiLR,5,10,5113,305,GTY,196,YUM,,,,,HRD
MiLR,5,11,5121,1830,WWC,1818,KRB,,,,,HRD
MiLR,5,11,5122,516,CHI,46,YUM,,,,,HRD
MiLR,5,12,5134,2268,RKT,522,CHI,,,,,HRD
MiLR,5,12,5136,46,YUM,1776,TSA,,,,,HRD
MiLR,5,12,5141,772,DAD,1724,NUL,,,,,HRD
MiLR,5,12,5142,775,TAC,114,JUP,,,,,HRD
MiLR,5,13,5146,518,KRB,67,CHI,,,,,HRD
MiLR,5,13,5148,1725,YUM,32,PPP,,,,,HRD
MiLR,5,14,5160,2256,TSA,723,PPP,,,,,HRD
MiLR,6,1,6007,264,LMN,567,SAR,,,,,HRD
MiLR,6,1,6009,2398,MVS,1752,POR,,,,,HRD
MiLR,6,1,6010,32,TTT,2466,TAK,,,,,HRD
MiLR,6,2,6017,1733,SAR,1734,SGP,,,,,HRD
MiLR,6,3,6036,582,FRG,363,MVS,,,,,HRD
MiLR,6,3,6039,153,SLT,32,TTT,,,,,HRD
MiLR,6,4,6045,2285,SGP,305,AAL,,,,,HRD
MiLR,6,4,6052,1776,SUP,2341,TAK,,,,,HRD
MiLR,6,7,6094,540,BBB,227,TAK,,,,,HRD
MiLR,6,7,6095,582,FRG,1745,PBA,,,,,HRD
MiLR,6,7,6097,1786,SLT,2206,LIM,,,,,HRD
MiLR,6,8,6101,63,HEL,2285,SGP,,,,,HRD
MiLR,6,9,6124,1729,PHB,485,FRG,,,,,HRD
MiLR,6,9,6125,540,BBB,1776,SUP,,,,,HRD
MiLR,6,11,6146,1785,SAR,331,LID,,,,,HRD
MiLR,6,12,6160,1825,PUK,1814,SAS,,,,,HRD
MiLR,6,14,6195,487,FRG,275,SLT,,,,,HRD
MiLR,7,2,7012,1778,WSW,1963,FAP,,,,,HRD
MiLR,7,6,7048,1734,KNX,183,CPR,,,,,HRD
MiLR,7,7,7049,2517,TBL,2329,SCG,,,,,HRD
MiLR,7,7,7054,2379,PBA,163,FAP,,,,,HRD
MiLR,7,9,7070,2527,CPR,2379,SCG,,,,,HRD
MiLR,7,10,7078,2487,TBL,117,KNX,,,,,HRD
MiLR,7,12,7089,563,CPR,163,WSW,,,,,HRD
MiLR,7,13,7100,2260,SSJ,529,BBB,,,,,HRD
MiLR,7,13,7104,703,CPR,683,MMA,,,,,HRD
MiLR,7,14,7109,2332,SSC,1725,SCG,,,,,HRD
MiLR,11,6,11036,2637,HOT,1838,PRP,,,,,HRD
FCB,5,4,5014,786,LOU,1820,WSU,,,,,HRD
FCB,5,4,5015,1718,NEB,1818,SLC,,,,,HRD
FCB,5,5,5017,1825,WSU,1767,CCU,,,,,HRD
FCB,6,4,6008,326,GT,786,NEB,,,,,HRD
FCB,7,3,7007,2544,RU,2611,MICH,,,,,HRD
FCB,8,1,8004,2799,TEN,2751,MCH,,,,,HRD
FCB,8,2,8008,2743,PAN,2714,MCH,,,,,HRD
FCB,8,3,8009,2707,PUR,2792,UCL,,,,,HRD
FCB,9,1,9001,249,TEN,2944,HVD,,,,,HRD
FCB,10,3,10008,2991,NWU,2593,FOK,,,,,HRD
FCB,10,4,10012,3004,UNA,2327,NWU,,,,,HRD
FCB,10,5,10014,3047,TOL,220,BSU,,,,,HRD
NPR,1,4,1020,,,,,,,,,
