Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Anatoli Smorin,387,404,Ryan Gasting,394,782,PO,378,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,NHR,MHM,PO,PO,,1
Chad Baret,2029,,Ryan Gasting,394,,Auto K,,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,NHR,MHM,Auto K,Auto K,,9
Basebally McBaseballface,304,888,Ryan Gasting,394,839,2B,49,T1,2,0,0,0,3.05%,-3.05%,0,0,1,1,1,NHR,MHM,2B,2B,,1
Farzad Ahmadi,2122,720,Ryan Gasting,394,142,RGO,422,T1,2,2,0,0,-4.81%,4.81%,0,0,1,1,1,NHR,MHM,RGO,RGO,,1
Zed Leona,2004,1,Ed Turner,373,381,RGO,380,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,MHM,NHR,RGO,RGO,,1
Joey McCarty,390,1000,Ed Turner,373,795,FO,205,B1,1,0,0,0,-2.17%,2.17%,0,0,2,1,1,MHM,NHR,FO,FO,,1
Mike T. Thumb,2168,548,Ed Turner,373,,BB,142,B1,2,0,0,0,1.90%,-1.90%,0,1,2,1,1,MHM,NHR,BB,BB,,1
Victor Justice,410,212,Ed Turner,373,183,2B,29,B1,2,1,0,0,13.34%,-13.34%,1,0,2,1,1,MHM,NHR,2B,2B,,1
Archer Moran,1981,649,Ed Turner,373,104,LGO,455,B1,2,2,1,0,-4.01%,4.01%,0,0,2,1,1,MHM,NHR,LGO,LGO,,1
Holden Ryder,2001,,Ryan Gasting,394,,Auto K,,T2,0,0,1,0,-2.95%,2.95%,0,0,3,1,1,NHR,MHM,Auto K,Auto K,,9
Isaac Saffron,377,640,Ryan Gasting,394,748,1B,108,T2,1,0,1,0,2.84%,-2.84%,0,0,3,1,1,NHR,MHM,1B,1B,,1
Peter R. Otagonist,2181,378,Ryan Gasting,394,514,BB,136,T2,1,1,1,0,5.05%,-5.05%,0,0,3,1,1,NHR,MHM,BB,BB,,1
Gristle McThornbody,2003,,Ryan Gasting,394,,Auto K,,T2,1,4,1,0,-4.96%,4.96%,0,0,3,1,1,NHR,MHM,Auto K,Auto K,,9
Javier Abiscal,364,816,Ryan Gasting,394,387,RGO,429,T2,2,4,1,0,-7.40%,7.40%,0,0,3,1,1,NHR,MHM,RGO,RGO,,1
Forrest Gleeson,51,1,Ed Turner,373,267,K,266,B2,0,0,1,0,-2.00%,2.00%,0,0,4,1,1,MHM,NHR,K,K,,1
