Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Pierre Bryant,1771,357,Cagney O’verpaid,1743,779,RGO,422,T1,0,0,0,0,-3.03%,3.03%,0,0,1,1,1,CCU,NCS,RGO,RGO,RGO,1
Truck Month,1794,214,Cagney O’verpaid,1743,269,1B,55,T1,1,0,0,0,2.77%,-2.77%,0,1,1,1,1,CCU,NCS,1B,1B,2B,1
Scott Medge,1728,822,Cagney O’verpaid,1743,899,1B,77,T1,1,1,0,0,4.75%,-4.75%,0,1,1,1,1,CCU,NCS,1B,1B,1B,1
Late Train Dave Vein,1691,589,Cagney O’verpaid,1743,504,1B,85,T1,1,4,0,0,9.52%,-9.52%,0,0,1,1,1,CCU,NCS,1B,1B,1B,1
Mantis Toboggan,1802,124,Cagney O’verpaid,1743,11,1B,113,T1,1,7,0,0,11.43%,-11.43%,1,0,1,1,1,CCU,NCS,1B,1B,1B,1
Michael Realman,1735,776,Cagney O’verpaid,1743,969,Sac,193,T1,1,7,0,1,1.12%,-1.12%,1,0,1,1,1,CCU,NCS,FO,FO,Sac,1
David Unjust,3329,404,Cagney O’verpaid,1743,703,K,299,T1,2,4,0,2,-4.41%,4.41%,0,0,1,1,1,CCU,NCS,K,K,K,1
Jason Varitek,1810,742,Dillon Cheer,1686,652,1B,90,B1,0,0,0,2,4.11%,-4.11%,0,0,2,1,1,NCS,CCU,1B,1B,1B,1
Zack Markel,1721,450,Dillon Cheer,1686,993,DP,457,B1,0,1,0,2,-10.17%,10.17%,0,0,2,1,1,NCS,CCU,LGO,LGO,DP,1
Dirk Leschnewski,1781,456,Dillon Cheer,1686,507,1B,51,B1,2,0,0,2,2.71%,-2.71%,0,0,2,1,1,NCS,CCU,1B,1B,2B,1
Oliver Flame,1689,297,Dillon Cheer,1686,96,FO,201,B1,2,1,0,2,-4.78%,4.78%,0,0,2,1,1,NCS,CCU,FO,FO,FO,1
Jaxson Martyn,1731,708,Cagney O’verpaid,1743,344,K,364,T2,0,0,0,2,-1.53%,1.53%,0,0,3,1,1,CCU,NCS,K,K,K,1
Sal Grommet,1688,254,Cagney O’verpaid,1743,56,FO,198,T2,1,0,0,2,-1.44%,1.44%,0,0,3,1,1,CCU,NCS,FO,FO,FO,1
Pierre Bryant,1771,24,Cagney O’verpaid,1743,877,BB,147,T2,2,0,0,2,1.30%,-1.30%,0,0,3,1,1,CCU,NCS,BB,BB,BB,1
Truck Month,1794,389,Cagney O’verpaid,1743,277,1B,112,T2,2,1,0,2,1.84%,-1.84%,0,0,3,1,1,CCU,NCS,1B,1B,1B,1
Scott Medge,1728,789,Cagney O’verpaid,1743,421,K,368,T2,2,5,0,2,-4.40%,4.40%,0,0,3,1,1,CCU,NCS,K,K,K,1
KlentakPay TheFuckingTax,1700,343,Dillon Cheer,1686,297,1B,46,B2,0,0,0,2,5.09%,-5.09%,0,0,4,1,1,NCS,CCU,1B,1B,2B,1
Doc Crudelly,1811,620,Dillon Cheer,1686,87,DP,467,B2,0,1,0,2,-11.94%,11.94%,0,0,4,1,1,NCS,CCU,LGO,LGO,DP,1
Gang Weed,1732,325,Dillon Cheer,1686,283,2B,42,B2,2,0,0,2,4.15%,-4.15%,0,0,4,1,1,NCS,CCU,2B,2B,2B,1
Speedy Claxton,1756,570,Dillon Cheer,1686,711,BB,141,B2,2,2,0,2,3.65%,-3.65%,0,0,4,1,1,NCS,CCU,BB,BB,BB,1
Robbie Liapis,1745,969,Dillon Cheer,1686,420,LGO,451,B2,2,4,0,2,-10.06%,10.06%,0,0,4,1,1,NCS,CCU,LGO,LGO,LGO,1
Late Train Dave Vein,1691,699,Cagney O’verpaid,1743,800,1B,101,T3,0,0,0,2,1.17%,-1.17%,0,0,5,1,1,CCU,NCS,1B,1B,1B,1
Mantis Toboggan,1802,177,Cagney O’verpaid,1743,565,K,388,T3,0,1,0,2,-1.59%,1.59%,0,0,5,1,1,CCU,NCS,K,K,PO,1
Michael Realman,1735,888,Cagney O’verpaid,1743,177,FO,289,T3,1,1,0,2,-1.12%,1.12%,0,0,5,1,1,CCU,NCS,FO,FO,K,1
David Unjust,3329,734,Cagney O’verpaid,1743,577,BB,157,T3,2,1,0,2,1.51%,-1.51%,0,0,5,1,1,CCU,NCS,BB,BB,BB,1
Jaxson Martyn,1731,413,Cagney O’verpaid,1743,880,LGO,467,T3,2,4,0,2,-3.60%,3.60%,0,0,5,1,1,CCU,NCS,LGO,LGO,LGO,1
Jason Varitek,1810,168,Dillon Cheer,1686,421,FO,253,B3,0,0,0,2,-4.27%,4.27%,0,0,6,1,1,NCS,CCU,FO,FO,FO,1
Zack Markel,1721,420,Dillon Cheer,1686,666,FO,246,B3,1,0,0,2,-3.45%,3.45%,0,0,6,1,1,NCS,CCU,FO,FO,FO,1
Dirk Leschnewski,1781,337,Dillon Cheer,1686,1,K,336,B3,2,0,0,2,-2.42%,2.42%,0,0,6,1,1,NCS,CCU,K,K,K,1
Sal Grommet,1688,969,Cagney O’verpaid,1743,177,FO,208,T4,0,0,0,2,-0.82%,0.82%,0,0,7,1,1,CCU,NCS,FO,FO,FO,1
Pierre Bryant,1771,477,Cagney O’verpaid,1743,421,1B,56,T4,1,0,0,2,0.68%,-0.68%,0,1,7,1,1,CCU,NCS,1B,1B,2B,1
Truck Month,1794,718,Cagney O’verpaid,1743,997,FO,279,T4,1,1,0,2,-0.82%,0.82%,0,0,7,1,1,CCU,NCS,FO,FO,FO,1
Scott Medge,1728,877,Cagney O’verpaid,1743,880,HR,3,T4,2,1,0,2,7.31%,-7.31%,2,1,7,1,1,CCU,NCS,HR,HR,HR,1
Late Train Dave Vein,1691,400,Cagney O’verpaid,1743,493,1B,93,T4,2,0,0,4,0.19%,-0.19%,0,0,7,1,1,CCU,NCS,1B,1B,1B,1
Mantis Toboggan,1802,58,Cagney O’verpaid,1743,637,RGO,421,T4,2,1,0,4,-0.33%,0.33%,0,0,7,1,1,CCU,NCS,RGO,RGO,RGO,1
Oliver Flame,1689,69,Jin Yang,1695,196,BB,127,B4,0,0,0,4,2.20%,-2.20%,0,0,8,1,1,NCS,CCU,BB,BB,1B,1
KlentakPay TheFuckingTax,1700,420,Jin Yang,1695,586,FO,166,B4,0,1,0,4,-2.06%,2.06%,0,0,8,1,1,NCS,CCU,FO,FO,BB,1
Doc Crudelly,1811,888,Jin Yang,1695,536,PO,352,B4,1,1,0,4,-1.57%,1.57%,0,0,8,1,1,NCS,CCU,PO,PO,K,1
Gang Weed,1732,1,Jin Yang,1695,692,PO,309,B4,2,1,0,4,-0.68%,0.68%,0,0,8,1,1,NCS,CCU,PO,PO,K,1
Skippy Gustafsson,1773,327,Tristan Leung,1692,781,RGO,454,T1,0,0,0,0,-3.03%,3.03%,0,0,9,2,1,SLC,LOU,RGO,RGO,LGO,1
Apple Watch,1788,450,Tristan Leung,1692,27,RGO,423,T1,1,0,0,0,-2.74%,2.74%,0,0,9,2,1,SLC,LOU,RGO,RGO,RGO,1
Tommy Tightpants,1778,525,Tristan Leung,1692,5,LGO,480,T1,2,0,0,0,-2.31%,2.31%,0,0,9,2,1,SLC,LOU,LGO,LGO,LGO,1
Herderber Derperger III,1779,856,Moby Dick,1719,23,BB,167,B1,0,0,0,0,3.09%,-3.09%,0,1,10,2,1,LOU,SLC,BB,BB,BB,1
