Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Edge Rocks,2281,669,Mark Spoon,2377,333,K,336,T1,0,0,0,0,-3.03%,3.03%,0,0,0,1,1,1,OSU,NEB,K,K,K,1
Tristan Philip-guide,2356,350,Mark Spoon,2377,574,FO,224,T1,1,0,0,0,-2.74%,2.74%,0,0,0,1,1,1,OSU,NEB,FO,FO,FO,1
Egor Kucherov,2342,716,Mark Spoon,2377,122,RGO,406,T1,2,0,0,0,-2.31%,2.31%,0,0,0,1,1,1,OSU,NEB,RGO,RGO,RGO,1
Jack Micro,2338,276,Herb Sessions,2245,760,LGO,484,B1,0,0,0,0,-3.07%,3.07%,0,0,0,2,1,1,NEB,OSU,LGO,LGO,LGO,1
Corn Barn,2337,625,Herb Sessions,2245,2,RGO,377,B1,1,0,0,0,-2.77%,2.77%,0,0,0,2,1,1,NEB,OSU,RGO,RGO,K,1
Warren Peace,2352,659,Herb Sessions,2245,521,BB,138,B1,2,0,0,0,2.37%,-2.37%,0,0,0,2,1,1,NEB,OSU,BB,BB,BB,1
Juran Riley,2333,850,Herb Sessions,2245,322,LGO,472,B1,2,1,0,0,-4.64%,4.64%,0,0,0,2,1,1,NEB,OSU,LGO,LGO,LGO,1
Large Attractive,2452,420,Mark Spoon,2377,891,LGO,471,T2,0,0,0,0,-3.58%,3.58%,0,0,0,3,1,1,OSU,NEB,LGO,LGO,LGO,1
Patrick Stump,2173,330,Mark Spoon,2377,13,K,317,T2,1,0,0,0,-3.19%,3.19%,0,0,0,3,1,1,OSU,NEB,K,K,K,1
Perry Platypus,2332,650,Mark Spoon,2377,522,BB,128,T2,2,0,0,0,2.88%,-2.88%,0,0,0,3,1,1,OSU,NEB,BB,BB,1B,1
Smoke Anderson,1839,327,Mark Spoon,2377,244,1B,83,T2,2,1,0,0,3.92%,-3.92%,0,0,0,3,1,1,OSU,NEB,1B,1B,1B,1
Stan Francisco,2378,744,Mark Spoon,2377,969,FO,225,T2,2,5,0,0,-9.55%,9.55%,0,0,0,3,1,1,OSU,NEB,FO,FO,FO,1
Richard Thumpus,2375,840,Herb Sessions,2245,321,LGO,481,B2,0,0,0,0,-3.43%,3.43%,0,0,0,4,1,1,NEB,OSU,LGO,LGO,LGO,1
Josh Peterson,2285,357,Herb Sessions,2245,619,FO,262,B2,1,0,0,0,-3.17%,3.17%,0,0,0,4,1,1,NEB,OSU,FO,FO,FO,1
Don Foster,2360,256,Herb Sessions,2245,666,RGO,410,B2,2,0,0,0,-2.87%,2.87%,0,0,0,4,1,1,NEB,OSU,RGO,RGO,RGO,1
Lionel Houser,2374,711,Mark Spoon,2377,157,RGO,446,T3,0,0,0,0,-4.31%,4.31%,0,0,0,5,1,1,OSU,NEB,RGO,RGO,RGO,1
Edge Rocks,2281,343,Mark Spoon,2377,711,PO,368,T3,1,0,0,0,-3.90%,3.90%,0,0,0,5,1,1,OSU,NEB,PO,PO,K,1
Tristan Philip-guide,2356,724,Mark Spoon,2377,3,K,279,T3,2,0,0,0,-3.51%,3.51%,0,0,0,5,1,1,OSU,NEB,K,K,FO,1
Guillermo  Rodríguez,2369,77,Herb Sessions,2245,595,LGO,482,B3,0,0,0,0,-4.12%,4.12%,0,0,0,6,1,1,NEB,OSU,LGO,LGO,LGO,1
Alton Beasley,2348,400,Herb Sessions,2245,271,BB,129,B3,1,0,0,0,2.78%,-2.78%,0,0,0,6,1,1,NEB,OSU,BB,BB,1B,1
Ayrton Bullseye,2396,500,Herb Sessions,2245,999,DP,499,B3,1,1,0,0,-10.35%,10.35%,0,0,0,6,1,1,NEB,OSU,LGO,LGO,DP,1
Egor Kucherov,2342,431,Mark Spoon,2377,253,FO,178,T4,0,0,0,0,-5.44%,5.44%,0,0,0,7,1,1,OSU,NEB,FO,FO,FO,1
Large Attractive,2452,603,Mark Spoon,2377,191,RGO,412,T4,1,0,0,0,-5.08%,5.08%,0,0,0,7,1,1,OSU,NEB,RGO,RGO,RGO,1
Patrick Stump,2173,768,Mark Spoon,2377,825,2B,57,T4,2,0,0,0,7.60%,-7.60%,0,0,0,7,1,1,OSU,NEB,2B,2B,2B,1
Perry Platypus,2332,510,Mark Spoon,2377,825,K,315,T4,2,2,0,0,-12.51%,12.51%,0,0,0,7,1,1,OSU,NEB,K,K,K,1
Corn Barn,2337,62,Herb Sessions,2245,211,FO,149,B4,0,0,0,0,-5.27%,5.27%,0,0,0,8,1,1,NEB,OSU,FO,FO,BB,1
Warren Peace,2352,615,Herb Sessions,2245,482,BB,133,B4,1,0,0,0,2.93%,-2.93%,0,1,1,8,1,1,NEB,OSU,BB,BB,1B,1
Juran Riley,2333,350,Herb Sessions,2245,420,2B,70,B4,1,1,0,0,19.64%,-19.64%,0,0,0,8,1,1,NEB,OSU,2B,2B,1B,1
Richard Thumpus,2375,919,Herb Sessions,2245,4,1B,85,B4,1,6,0,0,17.23%,-17.23%,1,0,0,8,1,1,NEB,OSU,1B,1B,1B,1
Bad Mulligan,2350,828,Richard Northstar,275,349,LGO,479,T1,0,0,0,0,-3.03%,3.03%,0,0,0,9,2,1,GT,GEO,LGO,LGO,LGO,1
Hornet Hives,1946,743,Richard Northstar,275,478,K,265,T1,1,0,0,0,-2.74%,2.74%,0,0,0,9,2,1,GT,GEO,K,K,FO,1
Pope Coswi,2327,138,Richard Northstar,275,969,FO,169,T1,2,0,0,0,-2.31%,2.31%,0,0,0,9,2,1,GT,GEO,FO,FO,BB,1
Roidy Magoo,2354,273,Bames Nond,2339,485,FO,212,B1,0,0,0,0,-3.07%,3.07%,0,0,0,10,2,1,GEO,GT,FO,FO,FO,1
Buck Maverick,2334,747,Bames Nond,2339,927,FO,180,B1,1,0,0,0,-2.77%,2.77%,0,0,0,10,2,1,GEO,GT,FO,FO,FO,1
Kilometers Man,2363,247,Bames Nond,2339,22,FO,225,B1,2,0,0,0,-2.27%,2.27%,0,0,0,10,2,1,GEO,GT,FO,FO,FO,1
Theo Rodder,2353,128,Richard Northstar,275,41,1B,87,T2,0,0,0,0,3.68%,-3.68%,0,0,0,11,2,1,GT,GEO,1B,1B,1B,1
Troy Pressing,2282,49,Richard Northstar,275,569,DP,480,T2,0,1,0,0,-10.45%,10.45%,0,0,0,11,2,1,GT,GEO,LGO,LGO,DP,1
Tencer Sporkelson,2329,277,Richard Northstar,275,881,K,396,T2,2,0,0,0,-2.75%,2.75%,0,0,0,11,2,1,GT,GEO,K,K,PO,1
