Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Matt Himynamis,361,121,Mr. Miyagi,265,666,LGO,455,T1,0,0,0,0,-3.03%,3.03%,0,0,1,1,1,GIB,SYC,LGO,LGO,,1
Nick Tits,59,5,Mr. Miyagi,265,140,BB,135,T1,1,0,0,0,2.77%,-2.77%,0,0,1,1,1,GIB,SYC,BB,BB,,1
Poop McGee,596,666,Mr. Miyagi,265,831,BB,165,T1,1,1,0,0,4.75%,-4.75%,0,0,1,1,1,GIB,SYC,BB,BB,,1
Ryan Tyburn,517,900,Mr. Miyagi,265,333,DP,433,T1,1,4,0,0,-12.57%,12.57%,0,0,1,1,1,GIB,SYC,LGO,LGO,,1
Idon Treemember,34,420,Alternative Site,1799,760,PO,340,B1,0,0,0,0,-3.07%,3.07%,0,0,2,1,1,SYC,GIB,PO,PO,,1
Paul Calderwood,176,824,Alternative Site,1799,100,PO,276,B1,1,0,0,0,-2.77%,2.77%,0,0,2,1,1,SYC,GIB,PO,PO,,1
Demetrios ooga,180,376,Alternative Site,1799,340,2B,36,B1,2,0,0,0,3.90%,-3.90%,0,0,2,1,1,SYC,GIB,2B,2B,,1
cocl octopus,487,412,Alternative Site,1799,2,PO,410,B1,2,2,0,0,-6.17%,6.17%,0,0,2,1,1,SYC,GIB,PO,PO,,1
Sophocleats,638,113,Mr. Miyagi,265,667,LGO,446,T2,0,0,0,0,-3.58%,3.58%,0,0,3,1,1,GIB,SYC,LGO,LGO,,1
Jack Marnette,213,620,Mr. Miyagi,265,560,1B,60,T2,1,0,0,0,3.19%,-3.19%,0,0,3,1,1,GIB,SYC,1B,1B,,1
Pedro Cerrano-Spaz,1798,232,Mr. Miyagi,265,830,DP,402,T2,1,1,0,0,-9.13%,9.13%,0,0,3,1,1,GIB,SYC,RGO,RGO,,1
Guido Ligiorno,1830,605,Alternative Site,1799,380,FO,225,B2,0,0,0,0,-3.43%,3.43%,0,0,4,1,1,SYC,GIB,FO,FO,,1
Johnnie Twofingers,502,572,Alternative Site,1799,900,PO,328,B2,1,0,0,0,-3.17%,3.17%,0,0,4,1,1,SYC,GIB,PO,PO,,1
Rickey Tucker,163,327,Alternative Site,1799,450,BB,123,B2,2,0,0,0,2.65%,-2.65%,0,0,4,1,1,SYC,GIB,BB,BB,,1
"Earth, Wind & Fire",259,603,Alternative Site,1799,890,K,287,B2,2,1,0,0,-5.52%,5.52%,0,0,4,1,1,SYC,GIB,K,K,,1
Dean O`Saur,252,69,Mr. Miyagi,265,899,BB,170,T3,0,0,0,0,4.12%,-4.12%,0,0,5,1,1,GIB,SYC,BB,BB,,1
Dean O`Saur,252,69,Mr. Miyagi,265,378,CS,309,T3,0,1,0,0,-8.43%,8.43%,0,0,5,1,1,GIB,SYC,CS 2B,CS 2B,,4
Alternative Site,1799,489,Mr. Miyagi,265,149,RGO,340,T3,1,0,0,0,-3.90%,3.90%,0,0,5,1,1,GIB,SYC,RGO,RGO,,1
Matt Himynamis,361,149,Mr. Miyagi,265,234,1B,85,T3,2,0,0,0,3.36%,-3.36%,0,0,5,1,1,GIB,SYC,1B,1B,,1
Nick Tits,59,420,Mr. Miyagi,265,936,LGO,484,T3,2,1,0,0,-6.87%,6.87%,0,0,5,1,1,GIB,SYC,LGO,LGO,,1
Mr. Miyagi,265,114,Alternative Site,1799,740,PO,374,B3,0,0,0,0,-4.12%,4.12%,0,0,6,1,1,SYC,GIB,PO,PO,,1
Idon Treemember,34,100,Alternative Site,1799,550,LGO,450,B3,1,0,0,0,-3.89%,3.89%,0,0,6,1,1,SYC,GIB,LGO,LGO,,1
Paul Calderwood,176,519,Alternative Site,1799,201,PO,318,B3,2,0,0,0,-3.68%,3.68%,0,0,6,1,1,SYC,GIB,PO,PO,,1
Poop McGee,596,722,Mr. Miyagi,265,588,1B,134,T4,0,0,0,0,4.38%,-4.38%,0,0,7,1,1,GIB,SYC,1B,1B,,1
Poop McGee,596,588,Mr. Miyagi,265,360,SB,228,T4,0,1,0,0,9.05%,-9.05%,0,0,7,1,1,GIB,SYC,Steal 2B,Steal 2B,,4
Ryan Tyburn,517,709,Mr. Miyagi,265,156,LGO,447,T4,0,2,0,0,-9.04%,9.04%,0,0,7,1,1,GIB,SYC,LGO,LGO,,1
Sophocleats,638,367,Mr. Miyagi,265,256,1B,111,T4,1,2,0,0,10.32%,-10.32%,0,0,7,1,1,GIB,SYC,1B,1B,,1
Jack Marnette,213,362,Mr. Miyagi,265,747,DP,385,T4,1,5,0,0,-30.14%,30.14%,0,0,7,1,1,GIB,SYC,RGO,RGO,,1
Demetrios ooga,180,360,Alternative Site,1799,588,FO,228,B4,0,0,0,0,-5.27%,5.27%,0,0,8,1,1,SYC,GIB,FO,FO,,1
cocl octopus,487,666,Alternative Site,1799,309,PO,357,B4,1,0,0,0,-5.09%,5.09%,0,0,8,1,1,SYC,GIB,PO,PO,,1
Guido Ligiorno,1830,880,Alternative Site,1799,867,HR,13,B4,2,0,0,0,44.89%,-44.89%,1,1,8,1,1,SYC,GIB,HR,HR,,1
Zaphod Beeblebrox,518,58,Dottie Hooligan,770,271,FO,213,T1,0,0,0,0,-3.03%,3.03%,0,0,9,2,1,VAN,WBK,FO,FO,,1
Glenallen Mixon,1706,493,Dottie Hooligan,770,828,K,335,T1,1,0,0,0,-2.74%,2.74%,0,0,9,2,1,VAN,WBK,K,K,,1
Johnny Omar,2241,824,Dottie Hooligan,770,182,PO,358,T1,2,0,0,0,-2.31%,2.31%,0,0,9,2,1,VAN,WBK,PO,PO,,1
Haloick Oasis,1842,303,Nicholas Fouss,1776,263,2B,40,B1,0,0,0,0,7.73%,-7.73%,0,1,10,2,1,WBK,VAN,2B,2B,,1
Holland Oats,622,1000,Nicholas Fouss,1776,40,2B,40,B1,0,2,0,0,12.90%,-12.90%,1,0,10,2,1,WBK,VAN,2B,2B,,1
Rotticus Scott,562,643,Nicholas Fouss,1776,880,FO,237,B1,0,2,1,0,-3.47%,3.47%,0,0,10,2,1,WBK,VAN,FO,FO,,1
Jeff Moneymaker,298,815,Nicholas Fouss,1776,344,LGO,471,B1,1,2,1,0,-3.05%,3.05%,0,0,10,2,1,WBK,VAN,LGO,LGO,,1
Emerson Austin,703,969,Nicholas Fouss,1776,544,RGO,425,B1,2,2,1,0,-4.15%,4.15%,0,0,10,2,1,WBK,VAN,RGO,RGO,,1
Tork Porkleton,1699,2,Dottie Hooligan,770,459,RGO,457,T2,0,0,1,0,-3.96%,3.96%,0,0,11,2,1,VAN,WBK,RGO,RGO,,1
Streetlamp LeMoose,1734,971,Dottie Hooligan,770,4,3B,33,T2,1,0,1,0,11.95%,-11.95%,0,1,11,2,1,VAN,WBK,3B,3B,,1
Michael Ikenberry,63,439,Dottie Hooligan,770,523,1B,84,T2,1,3,1,0,9.69%,-9.69%,1,0,11,2,1,VAN,WBK,1B,1B,,1
Ol' Weller,647,318,Dottie Hooligan,770,536,FO,218,T2,1,1,1,1,-3.50%,3.50%,0,0,11,2,1,VAN,WBK,FO,FO,,1
Wheeler Walker Jr.,529,567,Dottie Hooligan,770,28,LGO,461,T2,2,1,1,1,-5.63%,5.63%,0,0,11,2,1,VAN,WBK,LGO,LGO,,1
Apollo Creed,262,111,Nicholas Fouss,1776,12,1B,99,B2,0,0,1,1,3.11%,-3.11%,0,1,12,2,1,WBK,VAN,1B,1B,,1
Ioe Storm,1844,780,Nicholas Fouss,1776,911,BB,131,B2,0,1,1,1,6.73%,-6.73%,0,1,12,2,1,WBK,VAN,BB,BB,,1
Nate Lewis,24,69,Nicholas Fouss,1776,1000,1B,69,B2,0,4,1,1,12.39%,-12.39%,0,1,12,2,1,WBK,VAN,1B,1B,,1
Dottie Hooligan,770,302,Nicholas Fouss,1776,333,2B,31,B2,0,7,1,1,12.56%,-12.56%,2,1,12,2,1,WBK,VAN,2B,2B,,1
