Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Earned Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Arianna Arianna,113,939,Bob Kazamakis,262,967,HR,28,T1,0,0,0,0,11.33%,-11.33%,1,1,1,1,1,1,HI,NY,HR,HR,,1
Lil Jimmy Ooga,180,857,Bob Kazamakis,262,231,PO,374,T1,0,0,0,1,-2.09%,2.09%,0,0,0,1,1,1,HI,NY,PO,PO,,1
Meatwad,84,395,Bob Kazamakis,262,748,K,353,T1,1,0,0,1,-1.84%,1.84%,0,0,0,1,1,1,HI,NY,K,K,,1
Jax Ragusa,134,68,Bob Kazamakis,262,988,1B,80,T1,2,0,0,1,1.88%,-1.88%,0,0,0,1,1,1,HI,NY,1B,1B,,1
Jax Ragusa,134,136,Bob Kazamakis,262,653,CS,483,T1,2,1,0,1,-3.35%,3.35%,0,0,0,1,1,1,HI,NY,CS 2B,CS 2B,,4
Jack Marnette,213,744,Lil Jimmy Ooga,180,150,RGO,406,B1,0,0,0,1,-2.79%,2.79%,0,0,0,2,1,1,NY,HI,RGO,RGO,,1
Jordy Peppers,18,151,Lil Jimmy Ooga,180,269,1B,118,B1,1,0,0,1,2.76%,-2.76%,0,1,1,2,1,1,NY,HI,1B,1B,,1
Jack Kanoff,189,820,Lil Jimmy Ooga,180,820,HR,0,B1,1,1,0,1,22.23%,-22.23%,2,1,1,2,1,1,NY,HI,HR,HR,,1
Jefferson Steelflex,268,652,Lil Jimmy Ooga,180,1000,K,348,B1,1,0,2,1,-1.80%,1.80%,0,0,0,2,1,1,NY,HI,K,K,,1
Gustav Åhr,128,337,Lil Jimmy Ooga,180,217,BB,120,B1,2,0,2,1,1.69%,-1.69%,0,0,0,2,1,1,NY,HI,BB,BB,,1
Bob Kazamakis,262,428,Lil Jimmy Ooga,180,109,K,319,B1,2,1,2,1,-3.13%,3.13%,0,0,0,2,1,1,NY,HI,K,K,,1
Johnny Tsunami,265,848,Bob Kazamakis,262,432,RGO,416,T2,0,0,2,1,-2.95%,2.95%,0,0,0,3,1,1,HI,NY,RGO,RGO,,1
Rapid Eagle,263,175,Bob Kazamakis,262,761,RGO,414,T2,1,0,2,1,-2.51%,2.51%,0,0,0,3,1,1,HI,NY,RGO,RGO,,1
Marky DuBois,114,222,Bob Kazamakis,262,262,HR,40,T2,2,0,2,1,13.36%,-13.36%,1,1,1,3,1,1,HI,NY,HR,HR,,1
Gritty Wray,390,711,Bob Kazamakis,262,383,RGO,328,T2,2,0,2,2,-1.99%,1.99%,0,0,0,3,1,1,HI,NY,RGO,RGO,,1
Dax Riley JR,247,214,Lil Jimmy Ooga,180,704,LGO,490,B2,0,0,2,2,-2.72%,2.72%,0,0,0,4,1,1,NY,HI,LGO,LGO,,1
Jack Meloy,145,934,Lil Jimmy Ooga,180,324,RGO,390,B2,1,0,2,2,-2.38%,2.38%,0,0,0,4,1,1,NY,HI,RGO,RGO,,1
Finger Lakes,135,666,Lil Jimmy Ooga,180,324,K,342,B2,2,0,2,2,-2.03%,2.03%,0,0,0,4,1,1,NY,HI,K,K,,1
Mylo Grams II,396,89,Bob Kazamakis,262,1,1B,88,T3,0,0,2,2,3.31%,-3.31%,0,1,1,5,1,1,HI,NY,1B,1B,,1
Arianna Arianna,113,69,Bob Kazamakis,262,156,1B,87,T3,0,1,2,2,6.22%,-6.22%,0,1,1,5,1,1,HI,NY,1B,1B,,1
