Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Superbone Threefinger,413,555,Sean Carrcrash,1709,345,FO,210,T1,0,0,0,0,,,0,0,1,1,1,IDR,WRM,FO,FO,,,,,,1
PickYrSpot n'Swing,3085,375,Sean Carrcrash,1709,922,RGO,453,T1,1,0,0,0,,,0,0,1,1,1,IDR,WRM,RGO,RGO,,,,,,1
Pope Coswi,2327,341,Sean Carrcrash,1709,480,BB,139,T1,2,0,0,0,,,0,0,1,1,1,IDR,WRM,BB,1B,,,,,,1
Hakuna Moncada,2501,864,Sean Carrcrash,1709,640,FO,224,T1,2,1,0,0,,,0,0,1,1,1,IDR,WRM,FO,FO,,,,,,1
Doc Otis,2256,712,Ferdinand Fritzwilliam,3143,645,1B,67,B1,0,0,0,0,,,0,0,2,1,1,WRM,IDR,1B,1B,,,,,,1
Doc Otis,2256,650,Ferdinand Fritzwilliam,3143,512,SB,138,B1,0,1,0,0,,,0,0,2,1,1,WRM,IDR,STEAL 2B,STEAL 2B,SB,,,,,4
Philip Berkenshire,3137,50,Ferdinand Fritzwilliam,3143,802,K,248,B1,0,2,0,0,,,0,0,2,1,1,WRM,IDR,K,K,,,,,,1
Saul Pewald,2708,920,Ferdinand Fritzwilliam,3143,806,BB,114,B1,1,2,0,0,,,0,0,2,1,1,WRM,IDR,BB,BB,,,,,,1
Justin Time,2886,11,Ferdinand Fritzwilliam,3143,905,1B,106,B1,1,4,0,0,,,0,0,2,1,1,WRM,IDR,1B,1B,,,,,,1
Archie 'Clumsy' Sybil,3093,645,Ferdinand Fritzwilliam,3143,999,PO,354,B1,1,7,0,0,,,0,0,2,1,1,WRM,IDR,PO,PO,,,,,,1
King Kruul,2229,167,Ferdinand Fritzwilliam,3143,462,K,295,B1,2,7,0,0,,,0,0,2,1,1,WRM,IDR,K,K,,,,,,1
Leland K. Cleveland,2679,333,Sean Carrcrash,1709,450,BB,117,T2,0,0,0,0,,,0,1,3,1,1,IDR,WRM,BB,BB,,,,,,1
Leland K. Cleveland,2679,336,Sean Carrcrash,1709,268,SB,68,T2,0,1,0,0,,,0,0,3,1,1,IDR,WRM,STEAL 2B,STEAL 2B,SB,,,,,4
Bubson Dugnutt,3097,974,Sean Carrcrash,1709,181,FO,207,T2,0,2,0,0,,,0,0,3,1,1,IDR,WRM,FO,FO,,,,,,1
Tubby Wubby,2853,706,Sean Carrcrash,1709,366,K,340,T2,1,2,0,0,,,0,0,3,1,1,IDR,WRM,K,K,,,,,,1
Kenny Powers,2627,112,Sean Carrcrash,1709,169,1B,57,T2,2,2,0,0,,,1,0,3,1,1,IDR,WRM,1B,1B,,,1709,,,1
Skork Hooker,786,727,Sean Carrcrash,1709,563,FO,164,T2,2,1,0,1,,,0,0,3,1,1,IDR,WRM,FO,FO,,,,,,1
William T. Striker,2867,477,Ferdinand Fritzwilliam,3143,190,PO,287,B2,0,0,0,1,,,0,0,4,1,1,WRM,IDR,PO,PO,,,,,,1
Tony Pizza,2844,264,Ferdinand Fritzwilliam,3143,961,PO,303,B2,1,0,0,1,,,0,0,4,1,1,WRM,IDR,PO,PO,,,,,,1
Butch Sterling,2992,606,Ferdinand Fritzwilliam,3143,499,1B,107,B2,2,0,0,1,,,0,0,4,1,1,WRM,IDR,1B,1B,,,,,,1
Doc Otis,2256,575,Ferdinand Fritzwilliam,3143,462,BB,113,B2,2,1,0,1,,,0,0,4,1,1,WRM,IDR,BB,BB,,,,,,1
Philip Berkenshire,3137,264,Ferdinand Fritzwilliam,3143,107,FO,157,B2,2,4,0,1,,,0,0,4,1,1,WRM,IDR,FO,FO,,,,,,1
Superbone Threefinger,413,677,Sean Carrcrash,1709,727,1B,50,T3,0,0,0,1,,,0,0,5,1,1,IDR,WRM,1B,2B,,,,,,1
Superbone Threefinger,413,301,Sean Carrcrash,1709,269,SB,32,T3,0,1,0,1,,,0,0,5,1,1,IDR,WRM,STEAL 2B,STEAL 2B,SB,,,,,4
PickYrSpot n'Swing,3085,1,Sean Carrcrash,1709,914,1B,87,T3,0,2,0,1,,,0,0,5,1,1,IDR,WRM,1B,1B,,,,,,1
Pope Coswi,2327,457,Sean Carrcrash,1709,55,PO,402,T3,0,5,0,1,,,0,0,5,1,1,IDR,WRM,PO,PO,,,,,,2
Hakuna Moncada,2501,983,Hans Zahn,2915,702,K,281,T3,1,5,0,1,,,0,0,5,1,1,IDR,WRM,K,K,,,,,,1
Leland K. Cleveland,2679,799,Hans Zahn,2915,678,BB,121,T3,2,5,0,1,,,0,0,5,1,1,IDR,WRM,BB,BB,,,,,,1
Bubson Dugnutt,3097,142,Hans Zahn,2915,420,K,278,T3,2,7,0,1,,,0,0,5,1,1,IDR,WRM,K,K,,,,,,1
Saul Pewald,2708,240,Ferdinand Fritzwilliam,3143,749,LGO,491,B3,0,0,0,1,,,0,0,6,1,1,WRM,IDR,LGO,LGO,,,,,,1
Justin Time,2886,837,Ferdinand Fritzwilliam,3143,210,PO,373,B3,1,0,0,1,,,0,0,6,1,1,WRM,IDR,PO,PO,,,,,,1
Archie 'Clumsy' Sybil,3093,645,Ferdinand Fritzwilliam,3143,30,PO,385,B3,2,0,0,1,,,0,0,6,1,1,WRM,IDR,PO,PO,,,,,,1
Tubby Wubby,2853,678,Hans Zahn,2915,106,RGO,428,T4,0,0,0,1,,,0,0,7,1,1,IDR,WRM,RGO,RGO,,,,,,1
Kenny Powers,2627,616,Hans Zahn,2915,823,FO,207,T4,1,0,0,1,,,0,0,7,1,1,IDR,WRM,FO,FO,,,,,,1
