Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Pablo Sanchez,120,453,Skye McDowell,264,824,K,371,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,BER,CIN,K,PO,,1
JT GarciaParr,27,670,Skye McDowell,264,69,PO,399,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,BER,CIN,PO,PO,,1
Triston Uzumaki,125,963,Skye McDowell,264,666,FO,297,T1,2,0,0,0,-1.76%,1.76%,0,0,1,1,1,BER,CIN,FO,K,,1
Thaddeus Gomorrah,41,499,Duke Nukem,124,500,HR,1,B1,0,0,0,0,11.79%,-11.79%,1,1,2,1,1,CIN,BER,HR,HR,,1
Jered Bentley,420,483,Duke Nukem,124,500,HR,17,B1,0,0,1,0,9.52%,-9.52%,1,1,2,1,1,CIN,BER,HR,HR,,1
Takahiro Hirasawa,419,465,Duke Nukem,124,667,FO,202,B1,0,0,2,0,-1.37%,1.37%,0,0,2,1,1,CIN,BER,FO,FO,,1
Rich Mahogany,265,286,Duke Nukem,124,333,3B,47,B1,1,0,2,0,4.94%,-4.94%,0,0,2,1,1,CIN,BER,3B,3B,,1
Dallas Houston,416,434,Duke Nukem,124,800,K,366,B1,1,3,2,0,-4.34%,4.34%,0,0,2,1,1,CIN,BER,K,K,,1
Dirtbag Darrell,262,1,Duke Nukem,124,366,K,365,B1,2,3,2,0,-3.15%,3.15%,0,0,2,1,1,CIN,BER,K,PO,,1
Harry Peritestes,117,340,Skye McDowell,264,329,HR,11,T2,0,0,2,0,10.81%,-10.81%,1,1,3,1,1,BER,CIN,HR,HR,,1
Barney Turbo,28,11,Skye McDowell,264,333,K,322,T2,0,0,2,1,-2.95%,2.95%,0,0,3,1,1,BER,CIN,K,K,,1
Kris Jaxon,152,665,Skye McDowell,264,1000,K,335,T2,1,0,2,1,-2.51%,2.51%,0,0,3,1,1,BER,CIN,K,K,,1
Daniel Collins,149,511,Skye McDowell,264,459,2B,52,T2,2,0,2,1,3.45%,-3.45%,0,0,3,1,1,BER,CIN,2B,2B,,1
Quint Kimbrel,20,111,Skye McDowell,264,499,K,388,T2,2,2,2,1,-5.41%,5.41%,0,0,3,1,1,BER,CIN,K,PO,,1
Heavy Raine,40,777,Duke Nukem,124,740,HR,37,B2,0,0,2,1,10.04%,-10.04%,1,1,4,1,1,CIN,BER,HR,3B,,1
Markus Wölfe,54,727,Sam Wood,108,312,PO,415,B2,0,0,3,1,-1.42%,1.42%,0,0,4,1,1,CIN,BER,PO,RGO,,1
Rapid Eagle,263,500,Sam Wood,108,123,K,377,B2,1,0,3,1,-1.33%,1.33%,0,0,4,1,1,CIN,BER,K,K,,1
Thaddeus Gomorrah,41,633,Sam Wood,108,245,K,388,B2,2,0,3,1,-1.13%,1.13%,0,0,4,1,1,CIN,BER,K,K,,1
Dallas Hamilton,153,976,Skye McDowell,264,587,K,389,T3,0,0,3,1,-2.94%,2.94%,0,0,5,1,1,BER,CIN,K,PO,,1
Pablo Sanchez,120,698,Skye McDowell,264,938,FO,240,T3,1,0,3,1,-2.36%,2.36%,0,0,5,1,1,BER,CIN,FO,FO,,1
JT GarciaParr,27,978,Skye McDowell,264,666,K,312,T3,2,0,3,1,-1.83%,1.83%,0,0,5,1,1,BER,CIN,K,K,,1
Jered Bentley,420,483,Sam Wood,108,565,1B,82,B3,0,0,3,1,1.15%,-1.15%,0,1,6,1,1,CIN,BER,1B,1B,,1
Takahiro Hirasawa,419,645,Sam Wood,108,19,K,374,B3,0,1,3,1,-1.40%,1.40%,0,0,6,1,1,CIN,BER,K,K,,1
Rich Mahogany,265,222,Sam Wood,108,812,PO,410,B3,1,1,3,1,-1.18%,1.18%,0,0,6,1,1,CIN,BER,PO,RGO,,1
