Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Charlie Bae Jr.,293,364,Johnny Hendrix,600,881,LGO,483,T1,0,0,0,0,-2.52%,2.52%,0,0,0,1,1,1,WSH,WWC,LGO,LGO,LGO,1
Chody McCarty,650,609,Johnny Hendrix,600,473,BB,136,T1,1,0,0,0,3.21%,-3.21%,0,0,0,1,1,1,WSH,WWC,BB,BB,1B,1
Conor Sexton,289,725,Johnny Hendrix,600,328,K,397,T1,1,1,0,0,-3.96%,3.96%,0,0,0,1,1,1,WSH,WWC,K,K,PO,1
Jeff Dingerhitter,298,811,Johnny Hendrix,600,284,LGO,473,T1,2,1,0,0,-3.51%,3.51%,0,0,0,1,1,1,WSH,WWC,LGO,LGO,LGO,1
Paddy O'Connor,549,350,Yahtzee Pinocchio,815,652,PO,302,B1,0,0,0,0,-2.73%,2.73%,0,0,0,2,1,1,WWC,WSH,PO,PO,K,1
Alex Peters,187,455,Yahtzee Pinocchio,815,494,2B,39,B1,1,0,0,0,5.40%,-5.40%,0,0,0,2,1,1,WWC,WSH,2B,2B,2B,1
Francis Swagger,610,718,Yahtzee Pinocchio,815,392,RGO,326,B1,1,2,0,0,-4.12%,4.12%,0,0,0,2,1,1,WWC,WSH,RGO,RGO,K,1
Ferret McGivins,1706,183,Yahtzee Pinocchio,815,837,PO,346,B1,2,3,0,0,-5.34%,5.34%,0,0,0,2,1,1,WWC,WSH,PO,PO,K,1
Miguel Snow,290,183,Johnny Hendrix,600,387,FO,204,T2,0,0,0,0,-2.86%,2.86%,0,0,0,3,1,1,WSH,WWC,FO,FO,FO,1
KC Bats,287,69,Johnny Hendrix,600,446,K,377,T2,1,0,0,0,-2.90%,2.90%,0,0,0,3,1,1,WSH,WWC,K,K,K,1
Mitch Kramer,669,333,Johnny Hendrix,600,138,FO,195,T2,2,0,0,0,-1.53%,1.53%,0,0,0,3,1,1,WSH,WWC,FO,FO,FO,1
Guido Ligiorno,1830,21,Yahtzee Pinocchio,815,814,FO,207,B2,0,0,0,0,-2.75%,2.75%,0,0,0,4,1,1,WWC,WSH,FO,FO,FO,1
J.J. Guemes,207,87,Oliver Yu,286,145,2B,58,B2,1,0,0,0,4.93%,-4.93%,0,1,1,4,1,1,WWC,WSH,2B,1B,2B,1
Jeremy Nakamoto,1787,620,Oliver Yu,286,688,1B,68,B2,1,2,0,0,8.31%,-8.31%,0,1,1,4,1,1,WWC,WSH,1B,1B,1B,1
Skippy Schumaker,1843,444,Oliver Yu,286,645,Sac,201,B2,1,5,0,0,-1.12%,1.12%,1,0,0,4,1,1,WWC,WSH,FO,FO,Sac,1
