Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Toastman,2663,820,Goose Gordon,2675,840,3B,20,T1,0,0,0,0,9.57%,-9.57%,0,1,1,1,1,BAG,CCD,3B,3B,HR,,,,,1
Doc Otis,2256,722,Goose Gordon,2675,598,1B,124,T1,0,3,0,0,4.15%,-4.15%,1,0,1,1,1,BAG,CCD,1B,1B,1B,2675,,,,2
Doc Otis,2256,420,Goose Gordon,2675,704,SB,284,T1,0,1,0,1,3.31%,-3.31%,0,0,1,1,1,BAG,CCD,STEAL 2B,STEAL 2B,SB,,,,,4
Brent Chillwater,2689,420,Goose Gordon,2675,506,1B,86,T1,0,2,0,1,5.42%,-5.42%,0,0,1,1,1,BAG,CCD,1B,1B,1B,,,,,1
Stu PunDous,2487,96,Goose Gordon,2675,340,K,244,T1,0,5,0,1,-4.85%,4.85%,0,0,1,1,1,BAG,CCD,K,K,Sac,,,,,1
B.a. Dickey,802,666,Goose Gordon,2675,244,PO,422,T1,1,5,0,1,-6.06%,6.06%,0,0,1,1,1,BAG,CCD,PO,PO,DP,,,,,1
Mike LaViva,2761,96,Goose Gordon,2675,434,PO,338,T1,2,5,0,1,-5.61%,5.61%,0,0,1,1,1,BAG,CCD,PO,PO,K,,,,,1
Jimmy Kalkowski,2546,14,Tasker Morris,287,719,K,295,B1,0,0,0,1,-2.79%,2.79%,0,0,2,1,1,CCD,BAG,K,K,K,,,,,1
Chicano Bradley,2509,333,Tasker Morris,287,609,K,276,B1,1,0,0,1,-2.36%,2.36%,0,0,2,1,1,CCD,BAG,K,K,FO,,,,,1
"Kiwi Cleveland, Esq.",2679,69,Tasker Morris,287,819,FO,250,B1,2,0,0,1,-1.88%,1.88%,0,0,2,1,1,CCD,BAG,FO,FO,FO,,,,,1
