Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Brian Taylor,1838,31,Brent Chillwater,2689,231,FO,200,T1,0,0,0,0,,,0,0,1,1,1,MOB,SCU,FO,FO,,1
Dill Doe,2735,741,Brent Chillwater,2689,137,RGO,396,T1,1,0,0,0,,,0,0,1,1,1,MOB,SCU,RGO,RGO,,1
petra,149,877,Brent Chillwater,2689,820,2B,57,T1,2,0,0,0,,,0,0,1,1,1,MOB,SCU,2B,2B,,1
Kilometers Straw,2624,456,Brent Chillwater,2689,585,BB,129,T1,2,2,0,0,,,0,0,1,1,1,MOB,SCU,BB,BB,,1
Mark Spoon,2377,3,Brent Chillwater,2689,501,LGO,498,T1,2,4,0,0,,,0,0,1,1,1,MOB,SCU,LGO,LGO,,1
Dottie,770,690,Brick Bruiser,516,720,2B,30,B1,0,0,0,0,,,0,1,2,1,1,SCU,MOB,2B,2B,,1
Lee Luda,2720,788,Brick Bruiser,516,690,1B,98,B1,0,2,0,0,,,0,1,2,1,1,SCU,MOB,1B,1B,,1
Laars Nootbaar jr,2730,800,Brick Bruiser,516,705,1B,95,B1,0,5,0,0,,,1,1,2,1,1,SCU,MOB,1B,1B,,2
Ovaltine,2542,479,Brick Bruiser,516,500,2B,21,B1,0,4,1,0,,,1,1,2,1,1,SCU,MOB,2B,3B,,1
Raylees D. Kraken,2225,215,Brick Bruiser,516,200,2B,15,B1,0,6,2,0,,,2,1,2,1,1,SCU,MOB,2B,2B,,2
Enrique Rosales,2734,156,Brick Bruiser,516,251,1B,95,B1,0,2,4,0,,,0,0,2,1,1,SCU,MOB,1B,1B,,1
Enrique Rosales,2734,956,Brick Bruiser,516,521,CS,435,B1,0,5,4,0,,,0,0,2,1,1,SCU,MOB,CS 2B,CS 2B,,5
