Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Hakuna Moncada,2501,109,Justin Time,2886,142,2B,33,T1,0,0,0,0,6.33%,-6.33%,0,0,1,1,1,KIR,GOB,2B,3B,2B,,,,,1
Broon Lurkst,2982,212,Justin Time,2886,821,PO,391,T1,0,2,0,0,-4.19%,4.19%,0,0,1,1,1,KIR,GOB,PO,PO,PO,,,,,1
Fatts Richard,2508,483,Justin Time,2886,798,K,315,T1,1,2,0,0,-3.78%,3.78%,0,0,1,1,1,KIR,GOB,K,FO,K,,,,,1
Gottlieb Giannopolous,89,444,Justin Time,2886,212,FO,232,T1,2,2,0,0,-4.81%,4.81%,0,0,1,1,1,KIR,GOB,FO,FO,FO,,,,,1
Matt Himynamis,361,785,Johnmaine Chupri,2849,371,RGO,414,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,GOB,KIR,RGO,RGO,RGO,,,,,1
Ovaltine,2542,565,Johnmaine Chupri,2849,319,FO,246,B1,1,0,0,0,-2.17%,2.17%,0,0,2,1,1,GOB,KIR,FO,FO,FO,,,,,1
Jimothy Jhompson,2887,730,Johnmaine Chupri,2849,499,FO,231,B1,2,0,0,0,-1.79%,1.79%,0,0,2,1,1,GOB,KIR,FO,FO,FO,,,,,1
Francesco Hardgust,2691,826,Justin Time,2886,978,BB,152,T2,0,0,0,0,3.09%,-3.09%,0,1,3,1,1,KIR,GOB,BB,BB,BB,,,,,1
Kenny Powers,2627,469,Justin Time,2886,478,HR,9,T2,0,1,0,0,20.86%,-20.86%,2,1,3,1,1,KIR,GOB,HR,HR,HR,,,2886,2886,1
Andre Pope,3035,417,Justin Time,2886,287,1B,130,T2,0,0,0,2,1.66%,-1.66%,0,0,3,1,1,KIR,GOB,1B,1B,1B,,,,,1
Andre Pope,3035,550,Justin Time,2886,723,SB,173,T2,0,1,0,2,2.75%,-2.75%,0,0,3,1,1,KIR,GOB,STEAL 2B,STEAL 2B,SB,,,,,4
Osha Wott,3068,935,Justin Time,2886,12,1B,77,T2,0,2,0,2,3.84%,-3.84%,0,0,3,1,1,KIR,GOB,1B,1B,1B,,,,,1
Lee Luda,2720,961,Justin Time,2886,387,RGO,426,T2,0,5,0,2,-1.89%,1.89%,0,0,3,1,1,KIR,GOB,RGO,RGO,DP,,,,,2
Hakuna Moncada,2501,216,Justin Time,2886,664,RGO,448,T2,1,6,0,2,-5.71%,5.71%,0,0,3,1,1,KIR,GOB,RGO,RGO,RGO,,,,,2
Broon Lurkst,2982,711,Justin Time,2886,501,FO,210,T2,2,6,0,2,-5.24%,5.24%,0,0,3,1,1,KIR,GOB,FO,FO,FO,,,,,1
Corbin Christmas Carol,2827,409,Johnmaine Chupri,2849,861,LGO,452,B2,0,0,0,2,-2.94%,2.94%,0,0,4,1,1,GOB,KIR,LGO,LGO,LGO,,,,,1
Laars Nootbaar jr,2730,11,Johnmaine Chupri,2849,942,1B,69,B2,1,0,0,2,2.98%,-2.98%,0,0,4,1,1,GOB,KIR,1B,2B,1B,,,,,1
Freddie Confinedman,2499,292,Johnmaine Chupri,2849,871,DP,421,B2,1,1,0,2,-7.43%,7.43%,0,0,4,1,1,GOB,KIR,RGO,RGO,DP,,,,,1
Fatts Richard,2508,112,Justin Time,2886,751,K,361,T3,0,0,0,2,-1.72%,1.72%,0,0,5,1,1,KIR,GOB,K,K,K,,,,,1
Gottlieb Giannopolous,89,336,Justin Time,2886,589,K,253,T3,1,0,0,2,-1.56%,1.56%,0,0,5,1,1,KIR,GOB,K,K,FO,,,,,1
Francesco Hardgust,2691,277,Justin Time,2886,336,1B,59,T3,2,0,0,2,1.36%,-1.36%,0,1,5,1,1,KIR,GOB,1B,1B,2B,,,,,1
Francesco Hardgust,2691,1000,Justin Time,2886,700,SB,300,T3,2,1,0,2,0.78%,-0.78%,0,0,5,1,1,KIR,GOB,STEAL 2B,STEAL 2B,SB,,,,,4
Kenny Powers,2627,123,Justin Time,2886,175,1B,52,T3,2,2,0,2,8.33%,-8.33%,1,1,5,1,1,KIR,GOB,1B,1B,2B,,2886,,,1
Kenny Powers,2627,617,Justin Time,2886,841,SB,224,T3,2,1,0,3,0.35%,-0.35%,0,0,5,1,1,KIR,GOB,STEAL 2B,STEAL 2B,SB,,,,,4
Andre Pope,3035,962,Justin Time,2886,971,HR,9,T3,2,2,0,3,9.35%,-9.35%,2,1,5,1,1,KIR,GOB,HR,HR,HR,,2886,,2886,1
Osha Wott,3068,683,Sid Hugo IV,3032,805,1B,122,T3,2,0,0,5,0.40%,-0.40%,0,1,5,1,1,KIR,GOB,1B,1B,1B,,,,,1
Osha Wott,3068,248,Sid Hugo IV,3032,207,SB,41,T3,2,1,0,5,0.21%,-0.21%,0,0,5,1,1,KIR,GOB,STEAL 2B,STEAL 2B,SB,,,,,4
Lee Luda,2720,305,Sid Hugo IV,3032,205,1B,100,T3,2,2,0,5,2.25%,-2.25%,1,0,5,1,1,KIR,GOB,1B,1B,1B,,3032,,,1
Hakuna Moncada,2501,405,Sid Hugo IV,3032,712,K,307,T3,2,1,0,6,-0.34%,0.34%,0,0,5,1,1,KIR,GOB,K,K,K,,,,,1
Kilometers Straw,2624,6,Johnmaine Chupri,2849,973,2B,33,B3,0,0,0,6,2.21%,-2.21%,0,1,6,1,1,GOB,KIR,2B,2B,2B,,,,,1
Mr. Plow,2646,169,Johnmaine Chupri,2849,934,FO,235,B3,0,2,0,6,-1.54%,1.54%,0,0,6,1,1,GOB,KIR,FO,FO,FO,,,,,1
Dutch Boggs,2625,171,Johnmaine Chupri,2849,191,3B,20,B3,1,2,0,6,4.02%,-4.02%,1,1,6,1,1,GOB,KIR,3B,HR,HR,,2849,,,1
Matt Himynamis,361,2,Johnmaine Chupri,2849,972,2B,30,B3,1,3,1,6,4.08%,-4.08%,1,0,6,1,1,GOB,KIR,2B,2B,2B,2849,,,,2
Ovaltine,2542,690,Johnmaine Chupri,2849,366,K,324,B3,1,2,2,6,-3.00%,3.00%,0,0,6,1,1,GOB,KIR,K,K,K,,,,,1
Jimothy Jhompson,2887,982,Johnmaine Chupri,2849,609,PO,373,B3,2,2,2,6,-2.96%,2.96%,0,0,6,1,1,GOB,KIR,PO,PO,K,,,,,1
Broon Lurkst,2982,712,Sid Hugo IV,3032,610,1B,102,T4,0,0,2,6,0.51%,-0.51%,0,1,7,1,1,KIR,GOB,1B,1B,1B,,,,,1
Fatts Richard,2508,96,Sid Hugo IV,3032,21,1B,75,T4,0,1,2,6,1.10%,-1.10%,0,1,7,1,1,KIR,GOB,1B,1B,1B,,,,,1
Gottlieb Giannopolous,89,611,Sid Hugo IV,3032,637,HR,26,T4,0,4,2,6,4.05%,-4.05%,3,1,7,1,1,KIR,GOB,HR,HR,3B,,3032,3032,3032,1
Francesco Hardgust,2691,637,Jorbel Boykins,2847,810,FO,173,T4,0,0,2,9,-0.12%,0.12%,0,0,7,1,1,KIR,GOB,FO,BB,BB,,,,,1
Kenny Powers,2627,637,Jorbel Boykins,2847,221,RGO,416,T4,1,0,2,9,-0.10%,0.10%,0,0,7,1,1,KIR,GOB,RGO,RGO,RGO,,,,,1
Andre Pope,3035,222,Jorbel Boykins,2847,610,RGO,388,T4,2,0,2,9,-0.07%,0.07%,0,0,7,1,1,KIR,GOB,RGO,RGO,PO,,,,,1
Corbin Christmas Carol,2827,888,Johnmaine Chupri,2849,177,K,289,B4,0,0,2,9,-0.42%,0.42%,0,0,8,1,1,GOB,KIR,K,K,K,,,,,1
Laars Nootbaar jr,2730,980,Johnmaine Chupri,2849,511,LGO,469,B4,1,0,2,9,-0.27%,0.27%,0,0,8,1,1,GOB,KIR,LGO,LGO,LGO,,,,,1
Freddie Confinedman,2499,378,Johnmaine Chupri,2849,262,1B,116,B4,2,0,2,9,0.17%,-0.17%,0,0,8,1,1,GOB,KIR,1B,1B,1B,,,,,1
Kilometers Straw,2624,686,Johnmaine Chupri,2849,246,RGO,440,B4,2,1,2,9,-0.33%,0.33%,0,0,8,1,1,GOB,KIR,RGO,RGO,RGO,,,,,1
Osha Wott,3068,408,Jorbel Boykins,2847,701,K,293,T5,0,0,2,9,-0.06%,0.06%,0,0,9,1,1,KIR,GOB,K,K,K,,,,,1
Lee Luda,2720,69,Jorbel Boykins,2847,799,K,270,T5,1,0,2,9,-0.04%,0.04%,0,0,9,1,1,KIR,GOB,K,K,FO,,,,,1
Hakuna Moncada,2501,518,Jorbel Boykins,2847,333,FO,185,T5,2,0,2,9,-0.04%,0.04%,0,0,9,1,1,KIR,GOB,FO,FO,FO,,,,,1
Mr. Plow,2646,777,Lou Coler,3059,326,RGO,451,B5,0,0,2,9,-0.21%,0.21%,0,0,10,1,1,GOB,KIR,RGO,RGO,LGO,,,,,1
Dutch Boggs,2625,654,Lou Coler,3059,742,1B,88,B5,1,0,2,9,0.27%,-0.27%,0,1,10,1,1,GOB,KIR,1B,1B,1B,,,,,1
Matt Himynamis,361,22,Lou Coler,3059,692,K,330,B5,1,1,2,9,-0.35%,0.35%,0,0,10,1,1,GOB,KIR,K,K,K,,,,,1
Ovaltine,2542,44,Lou Coler,3059,77,2B,33,B5,2,1,2,9,0.47%,-0.47%,1,0,10,1,1,GOB,KIR,2B,3B,2B,,,3059,,1
Jimothy Jhompson,2887,820,Lou Coler,3059,92,K,272,B5,2,2,3,9,-0.46%,0.46%,0,0,10,1,1,GOB,KIR,K,K,FO,,,,,1
Broon Lurkst,2982,108,Jorbel Boykins,2847,101,HR,7,T6,0,0,3,9,0.17%,-0.17%,1,1,11,1,1,KIR,GOB,HR,HR,HR,,,,2847,1
Fatts Richard,2508,420,Jorbel Boykins,2847,840,RGO,420,T6,0,0,3,10,0.00%,0.00%,0,0,11,1,1,KIR,GOB,RGO,RGO,RGO,,,,,1
Gottlieb Giannopolous,89,296,Jorbel Boykins,2847,703,LGO,407,T6,1,0,3,10,-0.01%,0.01%,0,0,11,1,1,KIR,GOB,LGO,LGO,RGO,,,,,1
Francesco Hardgust,2691,500,Jorbel Boykins,2847,877,RGO,377,T6,2,0,3,10,-0.01%,0.01%,0,0,11,1,1,KIR,GOB,RGO,RGO,K,,,,,1
Corbin Christmas Carol,2827,436,Guillermo Griffey III,2829,861,LGO,425,B6,0,0,3,10,-0.11%,0.11%,0,0,12,1,1,GOB,KIR,LGO,LGO,RGO,,,,,1
