Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Brian Zucchini,33,340,Cagney O’verpaid,1743,121,FO,219,T1,0,0,0,0,-2.52%,2.52%,0,0,0,1,1,1,KRB,WSH,FO,FO,FO,1
Roy Hobbs,609,1,Cagney O’verpaid,1743,640,K,361,T1,1,0,0,0,-2.52%,2.52%,0,0,0,1,1,1,KRB,WSH,K,PO,K,1
Ping Pong,530,887,Cagney O’verpaid,1743,570,RGO,317,T1,2,0,0,0,-1.74%,1.74%,0,0,0,1,1,1,KRB,WSH,RGO,RGO,K,1
Joe Pidgeon,301,808,Jin Yang,1695,8,FO,200,B1,0,0,0,0,-2.73%,2.73%,0,0,0,2,1,1,WSH,KRB,FO,FO,FO,1
Yahtzee Pinocchio,815,733,Jin Yang,1695,809,1B,76,B1,1,0,0,0,3.37%,-3.37%,0,0,0,2,1,1,WSH,KRB,1B,1B,1B,1
KC Bats,287,69,Jin Yang,1695,490,PO,421,B1,1,1,0,0,-4.14%,4.14%,0,0,0,2,1,1,WSH,KRB,PO,PO,DP,1
Jeff Dingerhitter,298,12,Jin Yang,1695,613,PO,399,B1,2,1,0,0,-3.29%,3.29%,0,0,0,2,1,1,WSH,KRB,PO,PO,PO,1
Christian Bevan,616,888,Cagney O’verpaid,1743,607,K,281,T2,0,0,0,0,-2.86%,2.86%,0,0,0,3,1,1,KRB,WSH,K,K,FO,1
Tabasco Greensauce,1818,214,Cagney O’verpaid,1743,555,K,341,T2,1,0,0,0,-2.90%,2.90%,0,0,0,3,1,1,KRB,WSH,K,K,K,1
Pierre Bryant,1771,531,Cagney O’verpaid,1743,555,2B,24,T2,2,0,0,0,3.82%,-3.82%,0,0,0,3,1,1,KRB,WSH,2B,2B,HR,1
Moby Dick,1719,610,Cagney O’verpaid,1743,298,K,312,T2,2,2,0,0,-5.35%,5.35%,0,0,0,3,1,1,KRB,WSH,K,K,K,1
Cagney O’verpaid,1743,796,Jin Yang,1695,474,PO,322,B2,0,0,0,0,-2.75%,2.75%,0,0,0,4,1,1,WSH,KRB,PO,PO,K,1
Joel Embiid,285,688,Jin Yang,1695,699,HR,11,B2,1,0,0,0,12.58%,-12.58%,1,1,1,4,1,1,WSH,KRB,HR,HR,HR,1
Angel Leon,234,269,Jin Yang,1695,977,K,292,B2,1,0,1,0,-2.21%,2.21%,0,0,0,4,1,1,WSH,KRB,K,K,K,1
Charlie Bae Jr.,293,232,Jin Yang,1695,203,2B,29,B2,2,0,1,0,3.11%,-3.11%,0,1,1,4,1,1,WSH,KRB,2B,2B,3B,1
Phil Coulson,226,413,Jin Yang,1695,300,1B,113,B2,2,2,1,0,8.79%,-8.79%,1,0,0,4,1,1,WSH,KRB,1B,1B,1B,1
Joe Pidgeon,301,633,Jin Yang,1695,146,LGO,487,B2,2,1,2,0,-2.07%,2.07%,0,0,0,4,1,1,WSH,KRB,LGO,LGO,LGO,1
Thomas Chiggins,16,444,Cagney O’verpaid,1743,147,K,297,T3,0,0,2,0,-3.06%,3.06%,0,0,0,5,1,1,KRB,WSH,K,K,K,1
Francis X. Clampazzo,485,560,Cagney O’verpaid,1743,997,RGO,437,T3,1,0,2,0,-2.82%,2.82%,0,0,0,5,1,1,KRB,WSH,RGO,RGO,RGO,1
Brian Zucchini,33,557,Cagney O’verpaid,1743,998,RGO,441,T3,2,0,2,0,-1.77%,1.77%,0,0,0,5,1,1,KRB,WSH,RGO,RGO,RGO,1
Yahtzee Pinocchio,815,24,Jin Yang,1695,568,RGO,456,B3,0,0,2,0,-1.38%,1.38%,0,0,0,6,1,1,WSH,KRB,RGO,RGO,LGO,1
KC Bats,287,69,Jin Yang,1695,431,PO,362,B3,1,0,2,0,-1.46%,1.46%,0,0,0,6,1,1,WSH,KRB,PO,PO,K,1
Jeff Dingerhitter,298,11,Jin Yang,1695,853,BB,158,B3,2,0,2,0,0.63%,-0.63%,0,0,0,6,1,1,WSH,KRB,BB,FO,BB,1
Cagney O’verpaid,1743,840,Jin Yang,1695,494,PO,346,B3,2,1,2,0,-1.84%,1.84%,0,0,0,6,1,1,WSH,KRB,PO,PO,K,1
Roy Hobbs,609,139,Cagney O’verpaid,1743,123,HR,16,T4,0,0,2,0,11.94%,-11.94%,1,1,1,7,1,1,KRB,WSH,HR,HR,HR,1
Ping Pong,530,11,Cagney O’verpaid,1743,999,HR,12,T4,0,0,2,1,16.50%,-16.50%,1,1,1,7,1,1,KRB,WSH,HR,HR,HR,1
Christian Bevan,616,94,Mitch Kramer,669,113,3B,19,T4,0,0,2,2,16.84%,-16.84%,0,1,1,7,1,1,KRB,WSH,3B,3B,HR,1
Tabasco Greensauce,1818,663,Mitch Kramer,669,666,HR,3,T4,0,3,2,2,11.42%,-11.42%,2,1,1,7,1,1,KRB,WSH,HR,HR,HR,1
Pierre Bryant,1771,438,Mitch Kramer,669,666,FO,228,T4,0,0,2,4,-1.72%,1.72%,0,0,0,7,1,1,KRB,WSH,FO,FO,FO,1
Moby Dick,1719,45,Mitch Kramer,669,1,2B,44,T4,1,0,2,4,3.48%,-3.48%,0,1,1,7,1,1,KRB,WSH,2B,2B,2B,1
Thomas Chiggins,16,875,Mitch Kramer,669,851,3B,24,T4,1,2,2,4,10.19%,-10.19%,1,1,1,7,1,1,KRB,WSH,3B,3B,HR,1
Francis X. Clampazzo,485,5,Mitch Kramer,669,1,HR,4,T4,1,3,2,5,4.57%,-4.57%,2,1,1,7,1,1,KRB,WSH,HR,HR,HR,1
Brian Zucchini,33,418,Mitch Kramer,669,500,1B,82,T4,1,0,2,7,0.78%,-0.78%,0,0,0,7,1,1,KRB,WSH,1B,1B,1B,1
Roy Hobbs,609,210,Mitch Kramer,669,500,K,290,T4,1,1,2,7,-0.83%,0.83%,0,0,0,7,1,1,KRB,WSH,K,K,K,1
Ping Pong,530,500,Mitch Kramer,669,11,LGO,489,T4,2,1,2,7,-0.62%,0.62%,0,0,0,7,1,1,KRB,WSH,LGO,LGO,LGO,1
Joel Embiid,285,500,Jin Yang,1695,807,PO,307,B4,0,0,2,7,-1.68%,1.68%,0,0,0,8,1,1,WSH,KRB,PO,PO,K,1
Angel Leon,234,600,Jin Yang,1695,478,1B,122,B4,1,0,2,7,1.92%,-1.92%,0,1,1,8,1,1,WSH,KRB,1B,BB,1B,1
Charlie Bae Jr.,293,623,Jin Yang,1695,687,2B,64,B4,1,1,2,7,5.09%,-5.09%,0,0,0,8,1,1,WSH,KRB,2B,2B,2B,1
Phil Coulson,226,205,Jin Yang,1695,123,1B,82,B4,1,6,2,7,6.47%,-6.47%,1,0,0,8,1,1,WSH,KRB,1B,1B,1B,1
Joe Pidgeon,301,899,Jin Yang,1695,45,BB,146,B4,1,5,3,7,7.25%,-7.25%,0,0,0,8,1,1,WSH,KRB,BB,BB,BB,1
Mitch Kramer,669,478,Jin Yang,1695,119,PO,359,B4,1,7,3,7,-10.20%,10.20%,0,0,0,8,1,1,WSH,KRB,PO,PO,K,1
KC Bats,287,738,Jin Yang,1695,276,RGO,462,B4,2,7,3,7,-9.62%,9.62%,0,0,0,8,1,1,WSH,KRB,RGO,LGO,LGO,1
Christian Bevan,616,999,Mitch Kramer,669,738,K,261,T5,0,0,3,7,-0.35%,0.35%,0,0,0,9,1,1,KRB,WSH,K,K,FO,1
Tabasco Greensauce,1818,10,Mitch Kramer,669,959,2B,51,T5,1,0,3,7,0.98%,-0.98%,0,1,1,9,1,1,KRB,WSH,2B,2B,2B,1
Pierre Bryant,1771,959,Mitch Kramer,669,785,BB,174,T5,1,2,3,7,0.07%,-0.07%,0,0,0,9,1,1,KRB,WSH,BB,BB,BB,1
Moby Dick,1719,500,Mitch Kramer,669,462,2B,38,T5,1,4,3,7,2.79%,-2.79%,1,0,0,9,1,1,KRB,WSH,2B,2B,2B,1
Thomas Chiggins,16,989,Mitch Kramer,669,699,K,290,T5,1,6,3,8,-2.07%,2.07%,0,0,0,9,1,1,KRB,WSH,K,K,K,1
Francis X. Clampazzo,485,508,Mitch Kramer,669,275,FO,233,T5,2,6,3,8,0.14%,-0.14%,0,0,0,9,1,1,KRB,WSH,FO,FO,FO,1
Jeff Dingerhitter,298,238,Tabasco Greensauce,1818,821,RGO,417,B5,0,0,3,8,-1.35%,1.35%,0,0,0,10,1,1,WSH,KRB,RGO,RGO,RGO,1
Cagney O’verpaid,1743,,Tabasco Greensauce,1818,,Auto K,,B5,1,0,3,8,-0.81%,0.81%,0,0,0,10,1,1,WSH,KRB,Auto K,Auto K,Auto K,9
Joel Embiid,285,121,Tabasco Greensauce,1818,56,2B,65,B5,2,0,3,8,0.42%,-0.42%,0,0,0,10,1,1,WSH,KRB,2B,2B,1B,1
Angel Leon,234,666,Tabasco Greensauce,1818,390,FO,276,B5,2,2,3,8,-0.80%,0.80%,0,0,0,10,1,1,WSH,KRB,FO,K,FO,1
Brian Zucchini,33,683,Mitch Kramer,669,708,2B,25,T6,0,0,3,8,0.59%,-0.59%,0,0,0,11,1,1,KRB,WSH,2B,2B,3B,1
Roy Hobbs,609,1000,Mitch Kramer,669,479,LGO,479,T6,0,2,3,8,-0.39%,0.39%,0,0,0,11,1,1,KRB,WSH,LGO,LGO,LGO,1
Ping Pong,530,11,Mitch Kramer,669,299,PO,288,T6,1,2,3,8,-0.36%,0.36%,0,0,0,11,1,1,KRB,WSH,PO,PO,K,1
Christian Bevan,616,666,Mitch Kramer,669,351,K,315,T6,2,2,3,8,-0.12%,0.12%,0,0,0,11,1,1,KRB,WSH,K,K,K,1
Charlie Bae Jr.,293,567,Tabasco Greensauce,1818,187,K,380,B6,0,0,3,8,-0.68%,0.68%,0,0,0,12,1,1,WSH,KRB,K,PO,PO,1
Phil Coulson,226,627,Tabasco Greensauce,1818,903,FO,276,B6,1,0,3,8,-0.50%,0.50%,0,0,0,12,1,1,WSH,KRB,FO,FO,FO,1
