Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Peachy Keen,2606,420,James Jameson CDXX,2736,948,LGO,472,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,MKW,GND,LGO,LGO,LGO,,,,,1
Dirtbag Darrell,262,333,James Jameson CDXX,2736,947,PO,386,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,MKW,GND,PO,PO,PO,,,,,1
WoodCutter Jones,2524,690,James Jameson CDXX,2736,382,K,308,T1,2,0,0,0,-1.76%,1.76%,0,0,1,1,1,MKW,GND,K,K,K,,,,,1
Nori Aru,131,369,Larold,32,277,1B,92,B1,0,0,0,0,2.76%,-2.76%,0,1,2,1,1,GND,MKW,1B,1B,1B,,,,,1
Calvin Ball,2805,701,Larold,32,475,FO,226,B1,0,1,0,0,-2.96%,2.96%,0,0,2,1,1,GND,MKW,FO,FO,FO,,,,,1
Franz Lisztpitcher,2275,376,Larold,32,512,1B,136,B1,1,1,0,0,3.89%,-3.89%,0,1,2,1,1,GND,MKW,1B,BB,1B,,,,,1
Sticky Mickey Mantle,2236,77,Larold,32,920,BB,157,B1,1,4,0,0,7.61%,-7.61%,0,1,2,1,1,GND,MKW,BB,BB,BB,,,,,1
Lloyd Gross,135,888,Larold,32,750,BB,138,B1,1,7,0,0,9.33%,-9.33%,1,1,2,1,1,GND,MKW,BB,BB,BB,32,,,,1
Bonesy McSkellington,1733,911,Larold,32,888,HR,23,B1,1,7,1,0,16.56%,-16.56%,4,1,2,1,1,GND,MKW,HR,HR,HR,32,32,32,32,1
Sierra Hightower,776,17,Larold,32,555,LGO,462,B1,1,0,5,0,-0.47%,0.47%,0,0,2,1,1,GND,MKW,LGO,LGO,LGO,,,,,1
Shorty McDougall,2760,222,Larold,32,1,FO,221,B1,2,0,5,0,-0.33%,0.33%,0,0,2,1,1,GND,MKW,FO,FO,FO,,,,,1
Ovaltine,2542,505,James Jameson CDXX,2736,125,PO,380,T2,0,0,5,0,-1.21%,1.21%,0,0,3,1,1,MKW,GND,PO,PO,PO,,,,,1
Nota Nam III,2467,2,James Jameson CDXX,2736,756,FO,246,T2,1,0,5,0,-0.84%,0.84%,0,0,3,1,1,MKW,GND,FO,FO,FO,,,,,1
Billy TheKid,2804,555,James Jameson CDXX,2736,573,3B,18,T2,2,0,5,0,0.82%,-0.82%,0,0,3,1,1,MKW,GND,3B,3B,HR,,,,,1
Doc Dockgoose,1801,184,James Jameson CDXX,2736,967,FO,217,T2,2,3,5,0,-1.51%,1.51%,0,0,3,1,1,MKW,GND,FO,FO,FO,,,,,1
Willians Adobestudio,2260,828,Freddie Confinedman,2499,687,BB,141,B2,0,0,5,0,0.30%,-0.30%,0,0,4,1,1,GND,MKW,BB,BB,BB,,,,,1
Nori Aru,131,368,Freddie Confinedman,2499,49,K,319,B2,0,1,5,0,-0.30%,0.30%,0,0,4,1,1,GND,MKW,K,K,K,,,,,1
Calvin Ball,2805,229,Freddie Confinedman,2499,700,DP,471,B2,1,1,5,0,-0.96%,0.96%,0,0,4,1,1,GND,MKW,LGO,LGO,DP,,,,,1
Buster McColligan,2662,785,James Jameson CDXX,2736,374,RGO,411,T3,0,0,5,0,-1.11%,1.11%,0,0,5,1,1,MKW,GND,RGO,RGO,RGO,,,,,1
