Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Fatts Richard,2508,666,Dirk Diggler,2704,206,LGO,460,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,SBD,ESP,LGO,LGO,LGO,,,,,1
Martin Ducksworth,2523,404,Dirk Diggler,2704,425,HR,21,T1,1,0,0,0,11.75%,-11.75%,1,1,1,1,1,SBD,ESP,HR,HR,HR,,,,2704,1
Onionhead ditwit,2545,69,Dirk Diggler,2704,559,LGO,490,T1,1,0,0,1,-1.84%,1.84%,0,0,1,1,1,SBD,ESP,LGO,LGO,LGO,,,,,1
Emerson,703,4,Dirk Diggler,2704,808,FO,196,T1,2,0,0,1,-1.47%,1.47%,0,0,1,1,1,SBD,ESP,FO,FO,FO,,,,,1
Stumpy Malone,2517,420,peaches,2606,780,PO,360,B1,0,0,0,1,-2.79%,2.79%,0,0,2,1,1,ESP,SBD,PO,PO,K,,,,,1
Chuck Tingle,355,456,peaches,2606,661,FO,205,B1,1,0,0,1,-2.36%,2.36%,0,0,2,1,1,ESP,SBD,FO,FO,FO,,,,,1
Calvin Ball,2805,81,peaches,2606,501,RGO,420,B1,2,0,0,1,-1.88%,1.88%,0,0,2,1,1,ESP,SBD,RGO,RGO,RGO,,,,,1
Willians Adobestudio,2260,842,Dirk Diggler,2704,30,FO,188,T2,0,0,0,1,-2.27%,2.27%,0,0,3,1,1,SBD,ESP,FO,FO,FO,,,,,1
Derek Rasmussen,2588,305,Dirk Diggler,2704,619,PO,314,T2,1,0,0,1,-2.02%,2.02%,0,0,3,1,1,SBD,ESP,PO,PO,K,,,,,1
Matt Himynamis,361,880,Dirk Diggler,2704,30,BB,150,T2,2,0,0,1,1.88%,-1.88%,0,0,3,1,1,SBD,ESP,BB,BB,BB,,,,,1
Larold,32,666,Dirk Diggler,2704,305,RGO,361,T2,2,1,0,1,-3.57%,3.57%,0,0,3,1,1,SBD,ESP,RGO,RGO,K,,,,,1
Pete Morris,2743,420,peaches,2606,210,FO,210,B2,0,0,0,1,-3.11%,3.11%,0,0,4,1,1,ESP,SBD,FO,FO,FO,,,,,1
Lloyd Gross,135,69,peaches,2606,620,LGO,449,B2,1,0,0,1,-2.69%,2.69%,0,0,4,1,1,ESP,SBD,LGO,LGO,RGO,,,,,1
Bryce Parker,2692,12,peaches,2606,397,RGO,385,B2,2,0,0,1,-2.13%,2.13%,0,0,4,1,1,ESP,SBD,RGO,RGO,PO,,,,,1
