Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Joey Wheeler,662,400,Bob Kelso,1834,499,BB,99,T1,0,0,0,0,2.91%,-2.91%,0,1,1,1,1,MIN,BAL,BB,FO,1B,,,,,1
Homer Nocker,606,303,Bob Kelso,1834,225,1B,78,T1,0,1,0,0,5.56%,-5.56%,0,1,1,1,1,MIN,BAL,1B,1B,1B,,,,,1
Arthur Vandelay,518,1,Bob Kelso,1834,985,3B,16,T1,0,4,0,0,20.44%,-20.44%,2,1,1,1,1,MIN,BAL,3B,HR,HR,,1834,1834,,1
Corbin Christmas Carol,2827,888,Bob Kelso,1834,487,RGO,401,T1,0,3,0,2,-3.06%,3.06%,0,0,1,1,1,MIN,BAL,RGO,RGO,RGO,,,,,2
Butch Sterling,2992,334,Bob Kelso,1834,933,RGO,401,T1,1,3,0,2,-5.36%,5.36%,0,0,1,1,1,MIN,BAL,RGO,RGO,RGO,,,,,2
Ping Pong,530,40,Bob Kelso,1834,88,2B,48,T1,2,3,0,2,8.69%,-8.69%,1,0,1,1,1,MIN,BAL,2B,2B,2B,1834,,,,1
toronto mans,2587,850,Bob Kelso,1834,399,LGO,451,T1,2,2,0,3,-2.62%,2.62%,0,0,1,1,1,MIN,BAL,LGO,LGO,LGO,,,,,1
Poop McGee,596,818,Harry McPotterson,1703,795,3B,23,B1,0,0,0,3,8.65%,-8.65%,0,1,2,1,1,BAL,MIN,3B,HR,HR,,,,,1
Vinny Vega,723,33,Harry McPotterson,1703,600,RGO,433,B1,0,3,0,3,-3.89%,3.89%,0,0,2,1,1,BAL,MIN,RGO,RGO,RGO,,,,,2
Juni Juni Panda,488,1,Harry McPotterson,1703,597,RGO,404,B1,1,3,0,3,-0.42%,0.42%,1,0,2,1,1,BAL,MIN,RGO,RGO,RGO,1703,,,,1
Nelson Van Halen,649,777,Harry McPotterson,1703,250,LGO,473,B1,2,0,1,3,-1.72%,1.72%,0,0,2,1,1,BAL,MIN,LGO,LGO,LGO,,,,,1
Kyle Corbett,707,32,Bob Kelso,1834,198,FO,166,T2,0,0,1,3,-1.70%,1.70%,0,0,3,1,1,MIN,BAL,FO,FO,BB,,,,,1
King Kruul,2229,698,Bob Kelso,1834,877,FO,179,T2,1,0,1,3,-1.52%,1.52%,0,0,3,1,1,MIN,BAL,FO,FO,FO,,,,,1
Joey Wheeler,662,688,Bob Kelso,1834,522,FO,166,T2,2,0,1,3,-1.37%,1.37%,0,0,3,1,1,MIN,BAL,FO,FO,BB,,,,,1
Vartan Ichabod Cassidy,2963,333,Harry McPotterson,1703,150,FO,183,B2,0,0,1,3,-2.94%,2.94%,0,0,4,1,1,BAL,MIN,FO,FO,FO,,,,,1
Lil Lilith Lillian,2589,751,Harry McPotterson,1703,980,K,229,B2,1,0,1,3,-2.53%,2.53%,0,0,4,1,1,BAL,MIN,K,K,FO,,,,,1
Slick Grifter,3061,1,Harry McPotterson,1703,244,FO,243,B2,2,0,1,3,-1.92%,1.92%,0,0,4,1,1,BAL,MIN,FO,FO,FO,,,,,1
Homer Nocker,606,225,Bob Kelso,1834,670,LGO,445,T3,0,0,1,3,-1.72%,1.72%,0,0,5,1,1,MIN,BAL,LGO,LGO,RGO,,,,,1
Arthur Vandelay,518,420,Bob Kelso,1834,521,1B,101,T3,1,0,1,3,1.43%,-1.43%,0,0,5,1,1,MIN,BAL,1B,1B,1B,,,,,1
Corbin Christmas Carol,2827,749,Bob Kelso,1834,160,DP,411,T3,1,1,1,3,-4.29%,4.29%,0,0,5,1,1,MIN,BAL,RGO,RGO,DP,,,,,1
Ratryox,2953,217,Harry McPotterson,1703,844,RGO,373,B3,0,0,1,3,-3.28%,3.28%,0,0,6,1,1,BAL,MIN,RGO,RGO,K,,,,,1
Randy Mann,2922,100,Harry McPotterson,1703,301,FO,201,B3,1,0,1,3,-2.78%,2.78%,0,0,6,1,1,BAL,MIN,FO,FO,FO,,,,,1
Poop McGee,596,785,Harry McPotterson,1703,801,HR,16,B3,2,0,1,3,12.85%,-12.85%,1,1,6,1,1,BAL,MIN,HR,HR,HR,,,,1703,1
Vinny Vega,723,69,Harry McPotterson,1703,1000,1B,69,B3,2,0,2,3,2.66%,-2.66%,0,1,6,1,1,BAL,MIN,1B,1B,1B,,,,,1
Juni Juni Panda,488,777,Harry McPotterson,1703,811,2B,34,B3,2,1,2,3,18.84%,-18.84%,1,0,6,1,1,BAL,MIN,2B,HR,2B,,,1703,,1
Nelson Van Halen,649,77,Harry McPotterson,1703,811,K,266,B3,2,2,3,3,-6.17%,6.17%,0,0,6,1,1,BAL,MIN,K,K,FO,,,,,1
Butch Sterling,2992,499,Bob Kelso,1834,199,K,300,T4,0,0,3,3,-3.58%,3.58%,0,0,7,1,1,MIN,BAL,K,K,K,,,,,1
Ping Pong,530,30,Bob Kelso,1834,678,RGO,352,T4,1,0,3,3,-3.19%,3.19%,0,0,7,1,1,MIN,BAL,RGO,RGO,K,,,,,1
