Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Jason Varitek,1810,842,Ryan Tyburn,517,122,FO,280,T1,0,0,0,0,-2.51%,2.51%,0,0,0,1,1,1,COL,NYM,FO,FO,FO,1
Pedro Cerrano-Spaz,1798,800,Ryan Tyburn,517,965,BB,165,T1,1,0,0,0,2.43%,-2.43%,0,0,0,1,1,1,COL,NYM,BB,BB,BB,1
Pedro Cerrano-Spaz,1798,600,Ryan Tyburn,517,410,SB,190,T1,1,1,0,0,2.22%,-2.22%,0,0,0,1,1,1,COL,NYM,Steal 2B,Steal 2B,SB,4
Dick McScrotington,81,112,Ryan Tyburn,517,782,K,330,T1,1,2,0,0,-3.78%,3.78%,0,0,0,1,1,1,COL,NYM,K,K,K,1
Steel Pipe Simpson,80,518,Ryan Tyburn,517,127,PO,391,T1,2,2,0,0,-4.81%,4.81%,0,0,0,1,1,1,COL,NYM,PO,PO,PO,1
Todd Bonzalez II,169,666,Dan Gerzone,1953,302,K,364,B1,0,0,0,0,-2.48%,2.48%,0,0,0,2,1,1,NYM,COL,K,K,K,1
Tara Dactyl,252,143,Dan Gerzone,1953,726,RGO,417,B1,1,0,0,0,-2.17%,2.17%,0,0,0,2,1,1,NYM,COL,RGO,K,RGO,1
Hero Brine,1942,535,Dan Gerzone,1953,445,1B,90,B1,2,0,0,0,1.90%,-1.90%,0,0,0,2,1,1,NYM,COL,1B,1B,1B,1
Mike Hampton,782,420,Dan Gerzone,1953,876,RGO,456,B1,2,1,0,0,-3.69%,3.69%,0,0,0,2,1,1,NYM,COL,RGO,RGO,LGO,1
Mo Jungo,1814,951,Ryan Tyburn,517,70,1B,119,T2,0,0,0,0,3.09%,-3.09%,0,0,0,3,1,1,COL,NYM,1B,BB,1B,1
Mo Jungo,1814,600,Ryan Tyburn,517,513,SB,87,T2,0,1,0,0,3.72%,-3.72%,0,0,0,3,1,1,COL,NYM,Steal 2B,Steal 2B,SB,4
Mecha Vulfzilla,265,376,Ryan Tyburn,517,521,1B,145,T2,0,2,0,0,6.84%,-6.84%,0,0,0,3,1,1,COL,NYM,1B,BB,BB,1
Henrik Omega,84,317,Ryan Tyburn,517,672,K,355,T2,0,5,0,0,-5.84%,5.84%,0,0,0,3,1,1,COL,NYM,K,K,K,1
Mecha Vulfzilla,265,150,Ryan Tyburn,517,833,CS,317,T2,1,5,0,0,-9.37%,9.37%,0,0,0,3,1,1,COL,NYM,CS 2B,CS 2B,CS,5
Juan Diego De Las Rosas,82,324,Ryan Tyburn,517,815,LGO,491,T2,2,3,0,0,-5.55%,5.55%,0,0,0,3,1,1,COL,NYM,LGO,LGO,LGO,1
Star Burns,558,501,Dan Gerzone,1953,933,RGO,432,B2,0,0,0,0,-2.72%,2.72%,0,0,0,4,1,1,NYM,COL,RGO,RGO,RGO,1
Sablo Panchez,638,161,Dan Gerzone,1953,384,FO,223,B2,1,0,0,0,-2.38%,2.38%,0,0,0,4,1,1,NYM,COL,FO,FO,FO,1
Wallace Grommet,492,139,Dan Gerzone,1953,918,FO,221,B2,2,0,0,0,-2.03%,2.03%,0,0,0,4,1,1,NYM,COL,FO,FO,FO,1
Kirby Birch,1800,245,Ryan Tyburn,517,952,K,293,T3,0,0,0,0,-3.03%,3.03%,0,0,0,5,1,1,COL,NYM,K,K,K,1
Jason Varitek,1810,181,Ryan Tyburn,517,192,3B,11,T3,1,0,0,0,9.74%,-9.74%,0,1,1,5,1,1,COL,NYM,3B,3B,HR,1
Pedro Cerrano-Spaz,1798,87,Ryan Tyburn,517,104,3B,17,T3,1,3,0,0,13.68%,-13.68%,1,1,1,5,1,1,COL,NYM,3B,3B,HR,1
Dick McScrotington,81,583,Ryan Tyburn,517,314,Sac,269,T3,1,3,0,1,3.06%,-3.06%,1,0,0,5,1,1,COL,NYM,FO,FO,Sac,1
Steel Pipe Simpson,80,742,Ryan Tyburn,517,300,RGO,442,T3,2,0,0,2,-1.30%,1.30%,0,0,0,5,1,1,COL,NYM,RGO,RGO,RGO,1
Kris Kringle,683,179,Dan Gerzone,1953,86,1B,93,B3,0,0,0,2,4.11%,-4.11%,0,1,1,6,1,1,NYM,COL,1B,1B,1B,1
John Smith,2275,516,Dan Gerzone,1953,377,BB,139,B3,0,1,0,2,7.97%,-7.97%,0,1,1,6,1,1,NYM,COL,BB,BB,BB,1
Todd Bonzalez II,169,725,Dan Gerzone,1953,451,FO,274,B3,0,4,0,2,-5.73%,5.73%,0,0,0,6,1,1,NYM,COL,FO,FO,FO,1
Tara Dactyl,252,137,Dan Gerzone,1953,101,2B,36,B3,1,4,0,2,21.10%,-21.10%,1,0,0,6,1,1,NYM,COL,2B,2B,2B,1
Hero Brine,1942,237,Dan Gerzone,1953,63,Sac,174,B3,1,6,1,2,0.84%,-0.84%,1,0,0,6,1,1,NYM,COL,FO,FO,BB,1
Mike Hampton,782,69,Dan Gerzone,1953,567,LGO,498,B3,2,2,2,2,-6.17%,6.17%,0,0,0,6,1,1,NYM,COL,LGO,LGO,LGO,1
