Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
James Jameson CDXX,2736,830,Joey McCarty,390,18,FO,188,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,ARI,MTL,FO,FO,,1
Biggus Dickus,2458,69,Joey McCarty,390,132,1B,63,T1,1,0,0,0,2.43%,-2.43%,0,0,1,1,1,ARI,MTL,1B,1B,,1
Jay Money,241,689,Joey McCarty,390,832,BB,143,T1,1,1,0,0,4.11%,-4.11%,0,0,1,1,1,ARI,MTL,BB,BB,,1
Joe Random,415,388,Joey McCarty,390,903,DP,485,T1,1,4,0,0,-10.48%,10.48%,0,0,1,1,1,ARI,MTL,LGO,LGO,,1
Biff Sexy Hotbod,2668,508,Huascal Bandito,2786,149,K,359,B1,0,0,0,0,-2.48%,2.48%,0,0,2,1,1,MTL,ARI,K,K,,1
"Kiwi Cleveland, Esq.",2679,15,Huascal Bandito,2786,969,2B,46,B1,1,0,0,0,4.73%,-4.73%,0,0,2,1,1,MTL,ARI,2B,2B,,1
Emerson,703,234,Huascal Bandito,2786,9,FO,225,B1,1,2,0,0,-3.77%,3.77%,0,0,2,1,1,MTL,ARI,FO,FO,,1
Jerome Peterson,2641,529,Huascal Bandito,2786,7,LGO,478,B1,2,2,0,0,-4.92%,4.92%,0,0,2,1,1,MTL,ARI,LGO,LGO,,1
Baba Ganoosh,14,696,Martin Ducksworth,2523,799,BB,103,T2,0,0,0,0,3.09%,-3.09%,0,0,3,1,1,ARI,MTL,BB,BB,,1
Tyler Pylon,778,2,Martin Ducksworth,2523,450,DP,448,T2,0,1,0,0,-8.21%,8.21%,0,0,3,1,1,ARI,MTL,LGO,LGO,,1
Thomas Sharp,2669,999,Martin Ducksworth,2523,312,K,313,T2,2,0,0,0,-1.99%,1.99%,0,0,3,1,1,ARI,MTL,K,K,,1
Slow Low,640,904,Huascal Bandito,2786,258,K,354,B2,0,0,0,0,-2.72%,2.72%,0,0,4,1,1,MTL,ARI,K,K,,1
Hannibal Bligh,1724,523,Huascal Bandito,2786,960,RGO,437,B2,1,0,0,0,-2.38%,2.38%,0,0,4,1,1,MTL,ARI,RGO,RGO,,1
Oregano Moon,2277,11,Huascal Bandito,2786,235,FO,224,B2,2,0,0,0,-2.03%,2.03%,0,0,4,1,1,MTL,ARI,FO,FO,,1
Dante Robinson,2650,852,Martin Ducksworth,2523,569,K,283,T3,0,0,0,0,-3.03%,3.03%,0,0,5,1,1,ARI,MTL,K,K,,1
