Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Makesiondon Kelkboom,327,725,Eli Sasak,607,816,1B,91,T1,0,0,0,0,2.91%,-2.91%,0,0,1,1,1,TBR,CWS,1B,1B,1B,,,,,1
Basil,2785,91,Eli Sasak,607,417,K,326,T1,0,1,0,0,-2.99%,2.99%,0,0,1,1,1,TBR,CWS,K,K,K,,,,,1
Burg McTurdBerg,2262,104,Eli Sasak,607,536,DP,432,T1,1,1,0,0,-6.37%,6.37%,0,0,1,1,1,TBR,CWS,RGO,RGO,DP,,,,,1
Biff Sexy Hotbod,2668,201,Mo Cheeks,2637,312,1B,111,B1,0,0,0,0,2.76%,-2.76%,0,0,2,1,1,CWS,TBR,1B,1B,1B,,,,,1
Xavier Lopez,196,827,Mo Cheeks,2637,16,FO,189,B1,0,1,0,0,-2.96%,2.96%,0,0,2,1,1,CWS,TBR,FO,FO,FO,,,,,1
Cornbread House,3000,50,Mo Cheeks,2637,774,K,276,B1,1,1,0,0,-2.55%,2.55%,0,0,2,1,1,CWS,TBR,K,K,FO,,,,,1
Matty Eight,3138,725,Mo Cheeks,2637,83,PO,358,B1,2,1,0,0,-3.69%,3.69%,0,0,2,1,1,CWS,TBR,PO,PO,K,,,,,1
Dermot Mulveiny,1763,915,Eli Sasak,607,10,1B,95,T2,0,0,0,0,3.09%,-3.09%,0,0,3,1,1,TBR,CWS,1B,1B,1B,,,,,1
Holden Summers,10,866,Eli Sasak,607,449,DP,417,T2,0,1,0,0,-8.21%,8.21%,0,0,3,1,1,TBR,CWS,RGO,RGO,DP,,,,,1
Gal Soso,3223,231,Tristan,1692,99,BB,132,T1,0,0,0,0,2.91%,-2.91%,0,1,4,2,1,CHC,CIN,BB,BB,1B,,,,,1
Snape Tooth,3174,231,Tristan,1692,244,HR,13,T1,0,1,0,0,18.75%,-18.75%,2,1,4,2,1,CHC,CIN,HR,HR,HR,,,1692,1692,1
Donnie Draper,138,16,Joe Pidgeon,301,52,2B,36,T1,0,0,0,0,6.33%,-6.33%,0,0,5,3,1,NYY,CLE,2B,2B,2B,,,,,1
PickYrSpot n'Swing,3085,905,Joe Pidgeon,301,719,FO,186,T1,0,2,0,0,-4.19%,4.19%,0,0,5,3,1,NYY,CLE,FO,FO,FO,,,,,1
Mr Peggable,259,914,Joe Pidgeon,301,224,PO,310,T1,1,2,0,0,-3.78%,3.78%,0,0,5,3,1,NYY,CLE,PO,PO,K,,,,,1
Rich Driver,2671,68,Superbone Threefinger,413,903,FO,165,T1,2,2,0,0,-4.81%,4.81%,0,0,5,3,1,NYY,CLE,FO,FO,BB,,,,,1
Skip Bellew,3225,139,Fik Seiko,2207,614,LGO,475,B1,0,0,0,0,-2.48%,2.48%,0,0,6,3,1,CLE,NYY,LGO,LGO,LGO,,,,,1
Ferdinand Fritzwilliam,3143,747,Fik Seiko,2207,98,K,351,B1,1,0,0,0,-2.17%,2.17%,0,0,6,3,1,CLE,NYY,K,K,K,,,,,1
Brandon Rice III,2951,303,Fik Seiko,2207,810,LGO,493,B1,2,0,0,0,-1.79%,1.79%,0,0,6,3,1,CLE,NYY,LGO,LGO,LGO,,,,,1
