Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Captain Harry C Legs,480,808,Spike Suzuki,22,324,LGO,484,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,TOR,BOS,LGO,LGO,LGO,1
Scherbie Fully-Loaded,679,365,Spike Suzuki,22,857,LGO,492,T1,1,0,0,0,-2.18%,2.18%,0,0,1,1,1,TOR,BOS,LGO,LGO,LGO,1
Prince Fuzzdong,630,540,Spike Suzuki,22,471,1B,69,T1,2,0,0,0,1.98%,-1.98%,0,0,1,1,1,TOR,BOS,1B,1B,1B,1
Sven Jorgenson,405,472,Spike Suzuki,22,611,1B,139,T1,2,1,0,0,2.83%,-2.83%,0,0,1,1,1,TOR,BOS,1B,BB,BB,1
S.A.R. Dinka,395,948,Spike Suzuki,22,503,LGO,445,T1,2,5,0,0,-6.57%,6.57%,0,0,1,1,1,TOR,BOS,LGO,LGO,RGO,1
Eric Leeder,29,333,Ryan Gastings,394,387,2B,54,B1,0,0,0,0,6.33%,-6.33%,0,0,2,1,1,BOS,TOR,2B,2B,2B,1
Brian Zucchini,33,879,Ryan Gastings,394,490,RGO,389,B1,0,2,0,0,-0.91%,0.91%,0,0,2,1,1,BOS,TOR,RGO,RGO,PO,1
Yeety Pete,685,777,Ryan Gastings,394,109,K,332,B1,1,3,0,0,-6.82%,6.82%,0,0,2,1,1,BOS,TOR,K,K,K,1
Dixon Uraz,34,320,Ryan Gastings,394,673,RGO,353,B1,2,3,0,0,-5.04%,5.04%,0,0,2,1,1,BOS,TOR,RGO,RGO,K,1
Graham Grams,400,957,Spike Suzuki,22,830,BB,127,T2,0,0,0,0,3.09%,-3.09%,0,1,3,1,1,TOR,BOS,BB,BB,1B,1
Phoenix Wright,574,192,Spike Suzuki,22,217,HR,25,T2,0,1,0,0,20.86%,-20.86%,2,1,3,1,1,TOR,BOS,HR,HR,3B,1
Tsun Dere,674,440,Spike Suzuki,22,155,K,285,T2,0,0,0,2,-1.70%,1.70%,0,0,3,1,1,TOR,BOS,K,K,K,1
Qwerty Jenkins,658,333,Spike Suzuki,22,2,K,331,T2,1,0,0,2,-1.52%,1.52%,0,0,3,1,1,TOR,BOS,K,K,K,1
Captain Harry C Legs,480,960,Spike Suzuki,22,110,BB,150,T2,2,0,0,2,1.27%,-1.27%,0,0,3,1,1,TOR,BOS,BB,BB,BB,1
Scherbie Fully-Loaded,679,747,Spike Suzuki,22,286,LGO,461,T2,2,1,0,2,-2.64%,2.64%,0,0,3,1,1,TOR,BOS,LGO,LGO,LGO,1
Nate Lewis,24,909,Ryan Gastings,394,245,RGO,336,B2,0,0,0,2,-2.94%,2.94%,0,0,4,1,1,BOS,TOR,RGO,RGO,K,1
Dominus Nominus,278,745,Ryan Gastings,394,12,FO,267,B2,1,0,0,2,-2.53%,2.53%,0,0,4,1,1,BOS,TOR,FO,FO,FO,1
Delta Airlines,622,429,Ryan Gastings,394,608,BB,179,B2,2,0,0,2,2.19%,-2.19%,0,0,4,1,1,BOS,TOR,BB,FO,FO,1
walnuts labonte,261,555,Ryan Gastings,394,788,FO,233,B2,2,1,0,2,-4.11%,4.11%,0,0,4,1,1,BOS,TOR,FO,FO,FO,1
Prince Fuzzdong,630,640,Spike Suzuki,22,363,FO,277,T3,0,0,0,2,-1.72%,1.72%,0,0,5,1,1,TOR,BOS,FO,K,FO,1
Sven Jorgenson,405,352,Spike Suzuki,22,302,2B,50,T3,1,0,0,2,3.07%,-3.07%,0,1,5,1,1,TOR,BOS,2B,2B,2B,1
S.A.R. Dinka,395,512,Spike Suzuki,22,246,FO,266,T3,1,2,0,2,-2.49%,2.49%,0,0,5,1,1,TOR,BOS,FO,FO,FO,1
Graham Grams,400,673,Spike Suzuki,22,747,1B,74,T3,2,2,0,2,8.33%,-8.33%,1,0,5,1,1,TOR,BOS,1B,1B,1B,1
Phoenix Wright,574,731,Spike Suzuki,22,930,FO,199,T3,2,1,0,3,-1.86%,1.86%,0,0,5,1,1,TOR,BOS,FO,FO,FO,1
Rusty Shackleford,25,23,Ryan Gastings,394,691,RGO,332,B3,0,0,0,3,-2.70%,2.70%,0,0,6,1,1,BOS,TOR,RGO,RGO,K,1
Eric Leeder,29,248,Ryan Gastings,394,412,BB,164,B3,1,0,0,3,2.87%,-2.87%,0,0,6,1,1,BOS,TOR,BB,BB,BB,1
