Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Zum Saparilla,160,626,S.A.R. Dinka,395,383,FO,243,T1,0,0,0,0,-2.51%,2.51%,0,0,0,1,1,1,NYY,TOR,FO,FO,FO,1
Future Trunks,189,920,S.A.R. Dinka,395,278,PO,358,T1,1,0,0,0,-2.18%,2.18%,0,0,0,1,1,1,NYY,TOR,PO,PO,K,1
Nori Aru,131,69,S.A.R. Dinka,395,511,RGO,442,T1,2,0,0,0,-1.76%,1.76%,0,0,0,1,1,1,NYY,TOR,RGO,LGO,RGO,1
Jack Meoff,1829,896,Don Chalupa,481,76,FO,180,B1,0,0,0,0,-2.48%,2.48%,0,0,0,2,1,1,TOR,NYY,FO,FO,FO,1
Jay Peg,724,143,Don Chalupa,481,600,LGO,457,B1,1,0,0,0,-2.17%,2.17%,0,0,0,2,1,1,TOR,NYY,LGO,LGO,LGO,1
Scherbie Fully-Loaded,679,222,Don Chalupa,481,791,RGO,431,B1,2,0,0,0,-1.79%,1.79%,0,0,0,2,1,1,TOR,NYY,RGO,RGO,RGO,1
Layzer Gunn,259,385,S.A.R. Dinka,395,612,K,227,T2,0,0,0,0,-2.72%,2.72%,0,0,0,3,1,1,NYY,TOR,K,K,FO,1
Trevor Mouseman,559,333,S.A.R. Dinka,395,463,BB,130,T2,1,0,0,0,2.57%,-2.57%,0,0,0,3,1,1,NYY,TOR,BB,BB,1B,1
Skye McDowell,264,777,S.A.R. Dinka,395,33,PO,256,T2,1,1,0,0,-2.82%,2.82%,0,0,0,3,1,1,NYY,TOR,PO,K,FO,1
Ray Dingerz,510,737,S.A.R. Dinka,395,832,1B,95,T2,2,1,0,0,3.19%,-3.19%,0,0,0,3,1,1,NYY,TOR,1B,1B,1B,1
Pete Wheeler,783,420,S.A.R. Dinka,395,791,PO,371,T2,2,5,0,0,-7.33%,7.33%,0,0,0,3,1,1,NYY,TOR,PO,PO,K,1
Doc Crudelly,1811,509,Don Chalupa,481,781,K,272,B2,0,0,0,0,-2.72%,2.72%,0,0,0,4,1,1,TOR,NYY,K,FO,FO,1
Mylo Grams,396,432,Don Chalupa,481,781,K,349,B2,1,0,0,0,-2.38%,2.38%,0,0,0,4,1,1,TOR,NYY,K,K,K,1
Graham Grams,400,443,Don Chalupa,481,781,K,338,B2,2,0,0,0,-2.03%,2.03%,0,0,0,4,1,1,TOR,NYY,K,K,K,1
Turnip Stonk,1951,781,S.A.R. Dinka,395,306,LGO,475,T3,0,0,0,0,-3.03%,3.03%,0,0,0,5,1,1,NYY,TOR,LGO,LGO,LGO,1
Zum Saparilla,160,621,S.A.R. Dinka,395,632,HR,11,T3,1,0,0,0,15.56%,-15.56%,1,1,1,5,1,1,NYY,TOR,HR,HR,HR,1
Future Trunks,189,325,S.A.R. Dinka,395,496,FO,171,T3,1,0,0,1,-2.03%,2.03%,0,0,0,5,1,1,NYY,TOR,FO,FO,BB,1
Nori Aru,131,269,S.A.R. Dinka,395,51,FO,218,T3,2,0,0,1,-1.82%,1.82%,0,0,0,5,1,1,NYY,TOR,FO,FO,FO,1
Herderber Derperger III,1779,623,Don Chalupa,481,138,LGO,485,B3,0,0,0,1,-3.58%,3.58%,0,0,0,6,1,1,TOR,NYY,LGO,LGO,LGO,1
