Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Mattress Cadaire,116,374,Alvin Lockheart,20,808,RGO,434,T1,0,0,0,0,,,0,0,1,1,1,HIR,CHU,RGO,RGO,,1
Gottlieb Giannopoulos,89,140,Alvin Lockheart,20,601,LGO,461,T1,1,0,0,0,,,0,0,1,1,1,HIR,CHU,LGO,LGO,,1
Carlos Brownson,132,321,Alvin Lockheart,20,920,K,401,T1,2,0,0,0,,,0,0,1,1,1,HIR,CHU,K,K,,1
Thomas Nova,1,501,Silver Shore,3328,12,LGO,489,B1,0,0,0,0,,,0,0,2,1,1,CHU,HIR,LGO,LGO,,1
Akiyoshi Yamamoto,289,527,Silver Shore,3328,713,FO,186,B1,1,0,0,0,,,0,0,2,1,1,CHU,HIR,FO,FO,,1
Steel Pipe Simpson,80,420,Silver Shore,3328,978,RGO,442,B1,2,0,0,0,,,0,0,2,1,1,CHU,HIR,RGO,RGO,,1
Boi Lover,84,109,Alvin Lockheart,20,401,K,292,T2,0,0,0,0,,,0,0,3,1,1,HIR,CHU,K,K,,1
Rich Mahogany,265,777,Alvin Lockheart,20,405,K,372,T2,1,0,0,0,,,0,0,3,1,1,HIR,CHU,K,K,,1
River Ride,342,242,Alvin Lockheart,20,666,RGO,424,T2,2,0,0,0,,,0,0,3,1,1,HIR,CHU,RGO,RGO,,1
Boon Dawg Daniels,115,666,Silver Shore,3328,12,K,346,B2,0,0,0,0,,,0,0,4,1,1,CHU,HIR,K,K,,1
Fister Roboto,445,699,Silver Shore,3328,542,FO,157,B2,1,0,0,0,,,0,0,4,1,1,CHU,HIR,FO,FO,,1
Jack Alpha,73,707,Silver Shore,3328,614,1B,93,B2,2,0,0,0,,,0,0,4,1,1,CHU,HIR,1B,1B,,1
