Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
1,Thomas Nova,BP,,,Left,C
4,Pete Wheeler,BC,BB,B,Left,CF
5,Y.E. Wally,BP,,,Right,C
6,Xavier Quinn Jr.,BC,,,Right,C
8,Will Power,BN,,,Right,2B
10,Charlie Scott,BC,,,Left,PH
14,A.Z. Chapman,BP,,,Right,LF
16,Thomas Chiggins,BP,,,Right,CF
17,Haywood Jablome,BP,,,Right,RF
18,Jordan Peppers,BN,BB,B,Right,RF
22,Spike Suzuki,BN,,,Left,2B
23,Michael Voorhees,BN,,,Left,C
26,Ben Beezle,BC,,,Right,2B
31,Arata Hightower,BN,,,Right,LF
33,Oscar Vegas,BC,,,Left,CF
37,Osmosis Jones,BC,,,Right,2B
39,Whitt Bass,BN,BF,B,Right,P
49,Austin Schwartz,BN,,,Left,CF
51,Forrest Gleeson,BN,,,Right,LF
53,Julio Cesar,BN,,,Right,RF
56,Ziggy Ceder,BC,,,Right,RF
62,Forrest Saathoff,BN,,,Right,C
79,Jumbo Dick,BP,,,Left,1B
80,Steel Pipe Simpson,BP,,,Left,1B
81,Dick McScrotington,BN,,,Right,2B
82,Juan Diego De Las Rosas,BC,,,Right,2B
84,Henrik Omega,BP,,,Left,3B
87,Jesse Kilgannon,BC,,,Right,CF
88,"Joshua ""Junior"" Roth",BN,,,Right,CF
93,Master Cashier,BN,,,Left,LF
98,Kenneth Moore,BN,,,Left,3B
99,Tyler Phoenix,BC,,,Right,1B
100,Merodach Baladan,BC,,,Right,2B
101,Casey Nine,BC,,,Left,3B
102,Doc JaAm,BC,,,Right,PH
105,Mike Oxlittle,BN,,,Right,CF
106,Sevag Vapor,BC,,,Right,CF
107,Otis Nixon Sr.,BP,,,Left,RF
108,Wilbur Wood,BN,BB,B,Right,PH
109,Derek Bongiovanni,BC,BB,B,Right,1B
112,Willoughby Hoose,BP,BS,B,Left,P
113,Kevin Arianna,BP,,,Right,C
115,B.B. Bambino Jr.,BC,BB,B,Right,1B
120,Pablo Sanchez,BC,BB,B,Left,P
123,Stephen Seconds,BN,,,Left,LF
124,James Annino,BP,BB,B,Left,CF
125,Triston Uzumaki,BC,,,Right,CF
127,Zack Andersen,BC,,,Right,RF
128,Ethan Franklin,BP,,,Right,1B
149,Daniel Collins,BN,BS,B,Left,P
160,Zum Boehner,BN,,,Left,PH
165,Geno Scaramucci,BN,BB,B,Left,1B
166,Lefty Louis,BP,,,Left,1B
168,Bo-Horse Jackman,BN,,,Right,P
170,Aych Imtiyaz,BC,,,Right,2B
177,Jeorjhe Jerome,BP,,,Right,LF
178,Clifton Outlaw,BN,,,Left,CF
205,Patrick Doyle,BP,,,Right,C
206,Gil Metz,BP,,,Right,2B
209,Anthony Caballero,BC,,,Right,SS
213,Jack Marnette,BN,,,Right,LF
222,King Fielder,BP,,,Right,1B
223,Kegs Mabry,BP,,,Left,1B
224,Trey Rangers,BN,,,Right,2B
226,Phil Coulson,BC,BB,B,Left,3B
230,Matt Verdin,BN,,,Right,LF
231,Sadler Oriole,BC,,,Right,CF
232,Jake Blee,BP,,,Right,RF
234,Angel Leon,BN,BS,B,Right,P
236,Logan Anderson,BC,BF,B,Right,P
237,Levi Pyram,BC,BB,B,Right,P
241,Jay Money,BC,,,Right,1B
242,Charles Lindberg,BP,,,Left,3B
245,Fly Spaceman,BN,,,Left,LF
246,KayLee Stewart,BN,,,Left,LF
249,Tequila Sunrise,BN,,,Right,3B
253,Tommy Foxconn,BN,BF,B,Right,P
267,JP Panik,BP,,,Left,SS
268,Jefferson Steelflex,BC,BS,B,Left,P
271,Aleister Xekutioner,BP,,,Left,C
