Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
32,Larry Longshot,EN,EN,B,Right,CF
34,Dixon Uraz,WC,EG,H,Left,RF
91,John Johnson Jr.,TT,BF,H,Right,3B
517,Ryan Tyburn,1B,NH,H,Right,P
606,Homer Nocker,1B,EG,S,Right,C
651,Rusty Nails,TT,WC,B,Left,CF
1709,Sean Carrcrash,WC,BS,S,Right,LF
1733,Bonesy McSkellington,BP,NT,S,Left,CF
1799,Alt Site,BN,EG,B,Left,RF
1838,Brian Taylor,WC,TD,S,Left,3B
1844,Ioe Torrent,HK,WC,B,Left,LF
2487,Stu PunDous,BC,TD,S,Right,RF
2544,Mark Schihne,HK,EG,H,Right,P
2642,Raffy Benitez,WC,BS,S,Right,RF
2723,Matias Thagod,S,BS,B,Left,C
2792,Jerome S. Monroe,1B,TD,H,Right,P
2825,Casper Greenwell,BC,BS,B,Left,2B
2853,Tubby Wubby,WC,WC,S,Left,C
2875,Velma Dingkerly,SM,WC,S,Right,PH
2877,C. T. Bailiff,BC,TD,S,Right,P
2878,Goaticus Von Boaticus,S,TT,H,Left,1B
2911,Karl Havoc,BC,WC,H,Right,LF
2914,MILKBOY,BN,1B,S,Left,LF
2965,Randall Peppers,TT,EN,S,Left,3B
2998,Dr. Slime,XB,WC,S,Left,P
3004,Otto von Pitchmark,MH,EN,S,Right,P
3016,Copernicus Hel,WC,NH,H,Right,SS
3029,DV DOOM,SF,WC,S,Right,P
3039,Speed Shark,WC,BF,S,Right,RF
3051,Jed I. Knight,S,,,Right,CF
3052,Arxy Winkler,BP,BS,H,Right,SS
3107,Elijah Walker,SM,EG,S,Left,PH
3112,Toots 'Fat Belly' Jones,BP,EG,S,Right,LF
3144,Flame-Test Fleming,BN,FP,B,Right,C
3158,Estrogen+ Gorgonzola,S,SF,H,Left,PH
3163,Salami,TT,TT,H,Left,C
3181,Jingle Bohnson,SF,BS,H,Left,RF
3202,Alex Blockman,TT,,,Right,3B
3204,Cat with a Bat,BC,BS,B,Right,3B
3206,Hiram Birnbaum,XB,WC,S,Right,LF
3223,Gal Soso,BC,BF,H,Right,2B
3225,Skip Bellew,BN,BS,H,Left,2B
3227,Camden Yardsy,WC,WC,S,Left,CF
3234,Joan Andreu Rosà,S,WC,H,Right,SS
3256,Angry Lizard,BN,NH,H,Left,CF
3312,Fat Lever,BN,BS,S,Left,2B
3313,Longshank Hank,BN,EN,H,Left,LF
3317,Missile 'Missy' Launcher,BC,FP,S,Right,3B
3318,Geese On Demand,EN,,,Right,3B
3321,Foul Ball Felix,TT,,,Right,CF
