Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
10,Holden Summers,BC,BS,H,Left,2B
114,Rocco Rudnikov,HK,BF,B,Right,1B
163,Tuck,1B,FP,H,Left,CF
165,Geno Scaramucci,WC,NH,S,Left,1B
238,Ben Bramly,1B,EN,B,Right,C
259,Mr Peggable,XB,EG,S,Right,2B
268,Jefferson Saelflex,1B,EN,B,Left,CF
287,Tasker Morris,BN,TD,B,Right,P
305,Dylan Green,BC,FP,H,Left,P
355,Chuck Tingle,BP,NT,H,Left,SS
361,Matt Himynamis,WC,FP,S,Right,P
390,Joey McCarty,TT,NH,H,Right,P
529,Wheeler,BC,BS,H,Left,2B
557,Monty Johnson,WC,,,Left,C
567,Tucker Doubt,SF,FP,B,Left,LF
610,Francis Swagger,MH,BS,H,Left,P
647,Walter Yeller Weller,SM,NH,S,Left,PH
671,Heechul Kim,BN,BB,,Left,2B
703,Emerson,BP,BF,H,Right,3B
775,LaCarpetron Dukemarriot,S,TT,H,Right,SS
786,Hunter Scott CCCXXVII,S,NH,S,Right,P
802,B.a. Dickey,S,NT,H,Left,P
1724,Hannibal Bligh,BN,EG,H,Right,3B
1745,Robbie,BP,BB,B,Left,1B
1773,Skippy Gustafsson,BC,,,Left,1B
1776,Nicholas Fouss,S,BS,H,Left,P
1792,Simba,BC,WC,S,Left,PH
1838,Brian Taylor,WC,TD,S,Left,SS
2207,Fik Seiko,1B,1B,S,Left,P
2253,Phillip Mahooters,BC,BB,B,Right,1B
2256,Doc Otis,WC,SF,B,Left,PH
2258,Sid Houn,HK,TD,S,Left,C
2276,Kev Biffington,TT,EG,H,Left,P
2487,Stu PunDous,BC,TD,S,Right,RF
2509,Chicano Bradley,S,TD,B,Right,2B
2546,Jimmy Kalkowski,WC,,,Left,RF
2585,Rocky Li,TT,NH,S,Right,P
2588,Derek Rasmussen,BC,EG,B,Left,P
2625,Dutch Boggs,BC,EG,H,Left,PH
2627,Kenny Powers,SF,BS,S,Left,C
2659,Kevin James,S,TT,H,Right,P
2663,Toastman,S,TD,H,Right,C
2675,Goose Gordon,WC,WC,B,Right,P
2679,"Kiwi Cleveland, Esq.",BC,BS,S,Right,2B
2689,Brent Chillwater,BP,EG,H,Left,1B
2723,Matias Thagod,S,BS,B,Right,P
2730,Laars Nootbaar jr,MH,NH,S,Left,1B
2747,Franklin Poffenberger,XB,,,Left,2B
2761,Mike LaViva,BC,EG,H,Right,C
2789,Roosevelt Sandoval,BC,,,Right,2B
