Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
149,petra,WC,WC,S,Right,P
293,Charlie Bae,BN,TD,S,Right,C
310,Jameson Poe,WC,TT,H,Right,P
331,Keyo,SM,NH,S,Left,PH
485,Francis X. Clampazzo,TT,TD,H,Right,2B
516,Brick Bruiser,MH,EG,H,Right,C
564,Nate Kondylis,XB,,,Right,CF
638,Sablo Panchez,SM,,,Right,SS
647,Walter Yeller Weller,SM,NH,S,Left,PH
770,Dottie,SM,TD,S,Left,PH
783,Kenny Kawaguchi,BN,WC,S,Right,PH
786,Hunter Scott CCCXXVII,S,NH,S,Right,P
1703,Harry McPotterson,HK,BF,H,Left,P
1734,Streetlamp LeMoose,EN,TD,S,Left,2B
1838,Brian Taylor,WC,TD,S,Left,SS
2225,Raylees D. Kraken,SF,FP,H,Right,LF
2229,King Kruul,TT,,,Left,RF
2256,Doc Otis,WC,SF,B,Left,PH
2258,Sid Houn,HK,TD,S,Left,C
2329,Tencer Sporkelson,1B,BS,B,Left,3B
2377,Mark Spoon,EN,EG,B,Left,CF
2389,Gerald McCoy,MH,EG,S,Left,2B
2487,Stu PunDous,BC,TD,S,Right,RF
2499,Freddie Confinedman,XB,FP,H,Left,1B
2524,WoodCutter Jones,TT,TD,H,Right,3B
2542,Ovaltine,BC,TD,S,Left,RF
2544,Mark Schihne,HK,EG,H,Right,P
2555,Nooooot,MH,WC,S,Left,P
2573,Giles Sweeney,MH,,,Right,1B
2585,Rocky Li,TT,NH,S,Right,P
2611,CJ Ayer,SM,EG,H,Right,PH
2624,Kilometers Straw,BP,WC,S,Right,CF
2625,Dutch Boggs,BC,EG,H,Left,PH
2641,Jerome Peterson,MH,NH,H,Left,1B
2646,Larry Fishmang,XB,BF,H,Right,SS
2657,Vader Page,BC,BF,H,Right,P
2659,Kevin James,S,TT,H,Right,P
2663,Toastman,S,TD,H,Right,C
2667,Herbie Bucket,WC,,,Right,LF
2673,Noah Diamond,S,WC,S,Left,CF
2674,Palfo Salvy,XB,BS,S,Right,P
2679,"Kiwi Cleveland, Esq.",BC,,,Right,2B
2689,Brent Chillwater,BP,EG,H,Left,1B
2691,Francesco Hardgust,BC,EG,S,Left,CF
2696,Captain Trash,HK,1B,S,Left,C
2710,Sterling Turlington,HK,NT,S,Right,CF
2715,King Raj,1B,EN,S,Left,2B
2720,Lee Luda,SF,TT,S,Left,C
2722,Teddy Bigstick,BC,TD,S,Right,2B
2730,Laars Nootbaar jr,MH,NH,S,Left,1B
2734,Enrique Rosales,XB,NT,B,Right,3B
2735,Dill Doe,TT,BS,B,Left,P
2740,Justin P. L. Griffin,BP,,,Right,2B
2743,Pete Morris,TT,BS,B,Left,P
2745,Nicholas van leer,BC,EG,H,Right,C
2773,Toky Oto,TT,NT,B,Right,LF
2780,Jimmy Payne,BC,EG,S,Right,LF
2789,Roosevelt Sandoval,BC,,,Right,2B
2792,Jerome S. Monroe,1B,BS,S,Right,P
