Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
10,Holden Summers,BC,BS,H,Left,2B
20,Q Kimbrel,WC,NH,S,Right,CF
32,Larry Longshot,EN,EN,B,Right,CF
54,Holly Kühnhackl,XB,NT,H,Left,SS
59,La+ Darknesss,BC,NT,H,Left,P
117,Harry Peritestes,1B,EG,H,Right,PH
127,Blaise Bailey Finnegan III,S,EN,S,Right,RF
131,Nori Aru,TT,FP,H,Left,RF
134,Dort Rogoso,BP,EG,S,Right,1B
149,brianna rose sabor,S,FP,S,Left,P
180,Demetrios Ooga,BC,BS,S,Left,C
198,Skye Comet,S,EN,S,Left,P
233,Johnny Dickshot,1B,SF,S,Right,SS
262,Dirtbag Darrell,SM,EG,S,Left,PH
265,Grand Slamdalf,BP,EG,H,Right,3B
275,Richard Northstar,WC,FP,S,Left,P
278,Dominus Nominus,1B,BS,B,Right,LF
301,Joe Pidgeon,WC,WC,S,Right,P
310,Jameson Poe,WC,TT,H,Right,P
391,Jasper de Bever,WC,NT,S,Right,2B
413,Superbone Threefinger,WC,NH,S,Right,P
492,Wallace Grommet,BC,EG,S,Right,2B
517,Ryan Tyburn,1B,NH,H,Right,P
529,Wheeler,SF,BS,H,Left,2B
534,Bill Billiamson,1B,EN,B,Right,CF
564,Nate Kondylis,XB,,,Right,CF
567,Tucker Doubt,SF,FP,B,Left,LF
583,NOT Paulie Wag,BC,NH,B,Right,RF
606,Homer Nocker,SF,EG,S,Right,C
638,Sablo Panchez,SM,,,Right,SS
647,Walter Yeller Weller,SM,NH,S,Left,PH
651,Rusty Nails,XB,WC,B,Left,CF
716,Penny Lane,SM,FP,S,Left,P
776,Sierra Hightower,HK,TD,S,Right,LF
783,Kenny Kawaguchi,BN,WC,S,Right,P
786,Skork Hooker,S,WC,H,Left,P
1703,Harry McPotterson,HK,BF,H,Left,P
1709,Sean Carrcrash,WC,BS,S,Right,LF
1719,Moby Dick,1B,WC,H,Left,C
1724,Hannibal Bligh,BN,EG,H,Right,PH
1725,Trevor Rosé,SF,TT,H,Right,SS
1734,Streetlamp LeMoose,EN,TD,S,Left,2B
1764,Ross Ewage,BC,TD,H,Right,1B
1772,Dick Shitfart,MH,EG,H,Right,1B
1792,Simba,BC,WC,S,Left,P
1799,Spider Tack,XB,EG,B,Left,RF
1838,Brian Taylor,WC,TD,S,Left,P
1844,Ioe Torrent,HK,WC,B,Left,LF
2229,King Kruul,TT,EN,B,Left,RF
2256,Doc Otis,WC,SF,B,Left,PH
2327,Pope Coswi,BC,FP,H,Left,2B
2329,Fauxtani,BC,NH,S,Left,3B
2350,Bad Mulligan,1B,NH,B,Left,P
2379,Anthony Burland,BC,EG,S,Right,3B
2474,Six,SM,BS,H,Right,PH
2482,Dingers McGee,TT,EG,B,Left,CF
2501,Hakuna Moncada,HK,EG,S,Left,3B
2504,Peter Hoomanawanui,BC,BS,B,Right,3B
2509,Big Cheech,S,TD,B,Right,1B
2523,Martin Ducksworth,TT,TT,S,Left,PH
2542,Ovaltine,BC,TD,S,Left,RF
2544,Mark Schihne,HK,EG,H,Right,P
2545,New Age Ms Frizzle,SF,SF,H,Right,RF
2573,Giles Sweeney,BN,,,Right,1B
2584,Robbie Tightpants,BC,FP,B,Left,PH
2594,Hunter West,TT,WC,S,Right,PH
2606,Princess Peach,BC,TD,B,Right,PH
2625,Dutch Boggs,BC,EG,H,Left,PH
2627,Kenny Powers,SM,BS,S,Left,PH
2637,Mo Cheeks,BC,1B,S,Right,LF
2641,Jerome Peterson,MH,NH,H,Left,1B
2646,Jason Waterfalls,WC,WC,H,Right,P
2657,Vader Page,BC,NT,S,Right,P
2659,Kevin James,S,TT,H,Right,P
2671,Rich Driver,BP,BF,H,Left,3B
2673,Noah Diamond,S,WC,S,Left,CF
2679,Leland K. Cleveland,S,BS,S,Right,2B
2689,Brent Chillwater,SM,EG,H,Left,PH
2691,Francesco Hardgust,BC,EG,S,Left,SS
2696,Captain Trash,BN,TT,H,Left,RF
2708,Saul Pewald,SM,EG,B,Right,PH
2710,Sterling Turlington,HK,EG,B,Right,2B
2715,King Raj,1B,EN,S,Left,2B
2720,Lee Luda,BC,EN,S,Left,P
2722,Teddy Bigstick,SF,TT,S,Right,3B
2723,Matias Thagod,MH,BS,B,Left,C
2730,Laars Nootbaar jr,MH,NH,S,Left,PH
2735,Michael Cumfarto,HK,TD,S,Left,P
2738,Donatello Hamato,WC,TT,S,Left,P
2760,Shorty McDougall,WC,EG,H,Left,SS
2773,Toky Oto,BN,NT,B,Right,LF
2780,Jimmy Payne,BC,EG,S,Right,P
2782,Eijun Sawamura,TT,BS,H,Left,P
2792,Jerome S. Monroe,1B,TD,H,Right,P
2795,International Signing Bonus Pool Space,S,FP,S,Right,P
2804,Billy TheKid,WC,EG,S,Right,2B
2805,Calvin Ball,BC,FP,H,Left,CF
2825,Casper Greenwell,BC,BS,B,Left,2B
2826,Friday Phd,XB,TT,B,Left,1B
2827,Corbin Christmas Carol,BP,BS,B,Right,1B
2833,Dayman Nightman,BN,EG,S,Right,SS
2834,Mack Quackerson,BC,BB,B,Right,C
2835,Salsa Steve,BC,FP,S,Right,CF
2840,Wheezy Whifflesworth,SM,TT,S,Right,C
2844,Tony Pizza,1B,BB,B,Right,C
2847,Jorbel Boykins,BC,EG,S,Left,2B
2849,Johnmaine Chupri,SM,BB,S,Right,3B
2853,Tubby Wubby,WC,WC,S,Left,C
2867,William T. Striker,EN,TD,B,Right,P
2868,TWs Frozen Head,SM,BF,B,Left,2B
2870,Lincoln Pickett,BC,,,Left,2B
2873,Jihmih Tyranus,SM,WC,S,Right,P
2875,Velma Dingkerly,BC,WC,S,Right,C
2877,C. T. Bailiff,BC,TD,S,Right,P
2878,Goaty McGoatFace,S,TT,H,Left,1B
2881,Connor McDavid,XB,,,Left,RF
2882,Mîke Ock,TT,NH,H,Right,RF
2886,Justin Time,BC,BB,B,Right,C
2887,Jimothy Jhompson,S,NT,B,Left,P
2890,Pablo The Hip Kawasaki,WC,BF,H,Left,P
2902,Hippo Jars,SM,NT,S,Right,3B
2908,T-Rav,S,BS,S,Right,PH
2911,Karl Havoc,BC,WC,H,Right,LF
2914,MILKBOY,BN,1B,S,Left,LF
2915,Hans Zahn,SM,BF,B,Right,P
2916,Jawberry Stones,BC,TT,H,Left,C
2931,Jeff Newman,S,NH,S,Left,2B
2945,Smokey Zygowski,BP,BS,H,Right,P
2947,Mama Luigi,XB,BS,H,Right,PH
2949,Twatt Barton,BP,TD,B,Right,1B
2951,Brandon Rice III,BN,WC,S,Left,SS
2959,Kries Von Kriestalhauser,BN,FP,H,Right,CF
2960,Penguino,WC,EG,H,Left,PH
2962,Carlos Narvaez Jr.,S,TT,S,Left,CF
2964,Gnome Chomsky,SM,NH,B,Right,CF
2965,Randall Peppers,TT,EN,S,Left,3B
2970,John Baseball,WC,WC,B,Right,SS
2976,Junior Antonius,BC,TT,H,Right,RF
2983,Liru Wolf,BN,BS,S,Right,3B
2992,Butch Sterling,EN,,,Right,CF
2997,Ichiro Rose,BC,EG,B,Right,LF
2998,Makoto Date,EN,WC,H,Left,P
3004,Baberaham Lincoln,MH,NH,S,Right,P
3006,Not Gaca,WC,NH,S,Left,3B
3009,CJ,WC,BS,H,Left,3B
3013,Total Dial,BC,TT,S,Left,RF
3016,Copernicus Hel,XB,BS,H,Right,P
3029,Dan Von DOOM,SF,WC,S,Right,P
3030,Cared Jarrabis,WC,WC,S,Left,SS
3032,Sid Hugo V,WC,FP,S,Left,SS
3034,Beans Returns,XB,NH,H,Left,C
3035,Andre Pope,TT,TT,H,Right,P
3039,Speed Shark,WC,BF,S,Right,RF
3040,Cole Slaw,BP,,,Left,CF
3041,Raymond Philippe,SF,NT,S,Left,P
3046,Norm Niner,XB,WC,H,Right,SS
3051,Jed I. Knight,S,,,Right,CF
3052,Arxy Winkler,BP,BS,H,Right,SS
3056,TheGreatBambi,XB,TD,B,Right,3B
3059,Lou Coler,WC,TT,H,Right,P
3068,Osha Wott,BC,BB,B,Right,LF
3072,Uncle Crush,TT,WC,S,Right,P
3074,Vern Solomon,BP,NH,B,Left,SS
3075,Jason Damiani,BC,TT,B,Left,P
3079,LeCheesestick Turtle,TT,,,Right,RF
3085,PickYrSpot n'Swing,S,BF,S,Right,CF
3093,Archie 'Clumsy' Sybil,BC,BS,S,Right,2B
3097,Bubson Dugnutt,BN,BF,H,Right,2B
3099,Dirk Nurple,BC,BS,B,Right,3B
3101,Cash Thrower,BP,TD,H,Right,1B
3102,Marquis de Leek,WC,WC,B,Left,SS
3103,Psykokwak,S,BS,H,Right,LF
3105,Jacob Thomas,WC,BS,S,Right,RF
3107,Elijah Walker,S,BS,H,Left,SS
3108,Cormac Karona,TT,WC,S,Right,CF
3109,Jersey Wooders,BP,,,Left,1B
3110,Katelyn 'River' Hoshino,HK,TD,H,Left,2B
