Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
10,Holden Summers,BC,BS,H,Left,2B
28,Barney Turbo,HK,TD,H,Right,P
32,Larold,TT,FP,H,Right,PH
34,Dixon Uraz,WC,EG,H,Right,RF
59,May Marigold,TT,NT,H,Right,1B
63,Michael Ikenberry,WC,,,Left,RF
65,Dakota Carolina Montana,BC,BB,H,Right,1B
76,Hank Murphy,BN,BF,S,Left,P
91,John Johnson Jr.,TT,BF,H,Right,3B
114,Rocco Rudnikov,HK,BF,B,Right,1B
117,Harry Peritestes,1B,EG,H,Right,PH
131,Nori Aru,1B,FP,H,Left,RF
134,Dart Ragusa,MH,FP,H,Right,1B
135,Lloyd Gross,BC,BS,H,Left,SS
149,petra,WC,WC,S,Right,P
152,Copenhagen Black,XB,TT,H,Left,1B
163,Tuck,1B,FP,H,Left,CF
165,Geno Scaramucci,WC,NH,S,Left,1B
180,Demetrios Ooga,BC,BS,S,Left,C
194,Joe Watson,WC,TD,S,Right,CF
210,Chris P. Bacon,BC,,,Left,LF
226,Phil Coulson,SF,,,Left,3B
233,Johnny Dickshot,BP,EG,S,Right,3B
238,Ben Bramly,1B,EN,B,Right,C
252,Tara Dactyl,SF,TD,S,Right,C
259,Mr Peggable,XB,EG,S,Right,2B
262,Dirtbag Darrell,SM,EG,S,Left,PH
264,Skye McDowell,WC,WC,S,Right,2B
265,Mecha Vulfzilla,BC,EG,H,Left,PH
268,Jefferson Saelflex,1B,EN,B,Left,CF
270,Ferda Bois,HK,TT,H,Left,CF
275,Bastille Metalfall,WC,TD,S,Right,RF
278,Dominus Nominus,1B,BS,B,Right,LF
287,Tasker Morris,BN,TD,B,Right,P
293,Charlie Bae,BN,TD,S,Right,C
301,Joe Pidgeon,WC,WC,S,Right,CF
305,Dylan Green,BC,FP,H,Left,P
331,Keyo,SM,NH,S,Left,PH
342,Pull Ganger,HK,NH,S,Left,LF
355,Chuck Tingle,BP,NT,H,Left,SS
361,Matt Himynamis,WC,FP,S,Right,P
390,Joey McCarty,TT,NH,H,Right,P
413,Superbone Threefinger,S,TD,S,Left,PH
490,Zelk Antilles,BP,EG,H,Right,2B
492,Wallace Grommet,BC,,,Right,2B
516,Brick Bruiser,MH,EG,H,Right,C
517,Ryan Tyburn,1B,NH,H,Right,P
529,Wheeler,BC,BS,H,Left,2B
557,Monty Johnson,WC,,,Left,C
564,Nate Kondylis,XB,,,Right,CF
567,Tucker Doubt,SF,FP,B,Left,LF
606,Homer Nocker,1B,EG,S,Right,C
610,Francis Swagger,MH,BS,H,Left,P
647,Walter Yeller Weller,SM,NH,S,Left,PH
671,Heechul Kim,BN,BB,,Left,2B
703,Emerson,BP,BF,H,Right,3B
770,Dottie,SM,TD,S,Left,PH
775,LaCarpetron Dukemarriot,S,TT,H,Right,SS
776,Sierra Hightower,HK,TD,S,Left,P
778,Tyler Pylon,1B,FP,S,Left,CF
783,Kenny Kawaguchi,BN,WC,S,Right,PH
786,Hunter Scott CCCXXVII,S,NH,S,Right,P
802,B.a. Dickey,S,NT,H,Left,P
1703,Harry McPotterson,HK,BF,H,Left,P
1706,Ferret McGivins,HK,BB,B,Left,PH
1717,Corey Scooter,1B,WC,H,Right,1B
1724,Hannibal Bligh,BN,EG,H,Right,3B
1725,Trevor Rosé,WC,TT,H,Right,SS
1733,Bonesy McSkellington,WC,NT,S,Left,CF
1745,Robbie,BP,BB,B,Left,1B
1773,Skippy Gustafsson,BC,,,Left,1B
1776,Nicholas Fouss,S,BS,H,Left,P
1792,Simba,BC,WC,S,Left,PH
1801,Doc Dockgoose,HK,EG,S,Left,RF
1830,Guidooooo,HK,NT,S,Left,CF
1838,Brian Taylor,WC,TD,S,Left,SS
1844,Ioe Torrent,HK,BS,S,Left,3B
2206,Dirk Digglet,SF,EN,S,Left,PH
2207,Fik Seiko,1B,1B,S,Left,P
2224,Penny Pupton,S,NT,H,Left,SS
2225,Raylees D. Kraken,SF,FP,H,Right,LF
2229,King Kruul,TT,,,Left,RF
2230,Garfield Chubbs,BP,TD,S,Right,3B
2236,Sticky Mickey Mantle,SM,BS,B,Left,LF
2252,Mike Litoris,BC,BS,B,Left,C
2253,Phillip Mahooters,BC,BB,B,Right,1B
