Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
32,Larold,TT,FP,H,Right,PH
34,Dixon Uraz,WC,EG,H,Right,RF
59,May Marigold,TT,NT,H,Right,1B
90,Bob Robb,WC,EG,H,Left,RF
91,John Johnson Jr.,TT,BF,H,Right,3B
114,Rocco Rudnikov,HK,BF,B,Right,1B
117,Harry Peritestes,1B,EG,H,Right,PH
127,Baron Butzenkatzen-Butzenkatzen,S,BS,S,Right,RF
135,Lloyd Gross,BC,BS,H,Left,SS
149,petra,WC,WC,S,Right,P
152,Copenhagen Black,XB,TT,H,Left,1B
163,Tuck,1B,FP,H,Left,CF
180,Demetrios Ooga,BC,BS,S,Left,C
198,Icna Comit,S,EN,S,Left,P
233,Johnny Dickshot,BP,EG,S,Right,3B
262,Dirtbag Darrell,SM,EG,S,Left,PH
265,Mecha Vulfzilla,BC,EG,H,Left,PH
270,Ferda Bois,HK,TT,H,Left,CF
293,Charlie Bae,BN,TD,S,Right,C
301,Joe Pidgeon,WC,WC,S,Right,CF
305,Dylan Green,BC,FP,H,Left,P
310,Jameson Poe,WC,TT,H,Right,P
331,Keyo,SM,NH,S,Left,PH
355,Chuck Tingle,BP,NT,H,Left,SS
361,Matt Himynamis,WC,FP,S,Right,P
413,Superbone Threefinger,S,TD,S,Left,PH
485,Francis X. Clampazzo,TT,TD,H,Right,2B
488,Juni Panda,HK,TT,H,Left,2B
490,Zelk Antilles,BP,EG,H,Right,2B
516,Brick Bruiser,MH,EG,H,Right,C
517,Ryan Tyburn,1B,NH,H,Right,P
529,Wheeler,BC,BS,H,Left,2B
564,Nate Kondylis,XB,,,Right,CF
567,Tucker Doubt,SF,FP,B,Left,LF
583,Berek Dongiovanni,BC,NH,B,Left,RF
606,Homer Nocker,1B,EG,S,Right,C
638,Sablo Panchez,SM,,,Right,SS
647,Walter Yeller Weller,SM,NH,S,Left,PH
703,Emerson,BP,BF,H,Right,3B
713,Pang Winn,SF,EG,H,Right,SS
770,Dottie,SM,TD,S,Left,PH
778,Tyler Pylon,1B,FP,S,Left,CF
783,Kenny Kawaguchi,BN,WC,S,Right,PH
786,Hunter Scott CCCXXVII,S,NH,S,Right,P
1703,Harry McPotterson,HK,BF,H,Left,P
1706,Ferret McGivins,HK,BB,B,Left,PH
1724,Hannibal Bligh,BN,EG,H,Right,3B
1725,Trevor Rosé,WC,TT,H,Right,SS
1733,Bonesy McSkellington,WC,NT,S,Left,CF
1734,Streetlamp LeMoose,EN,TD,S,Left,2B
1776,Nicholas Fouss,S,BS,H,Left,P
1792,Simba,BC,WC,S,Left,PH
1801,Doc Dockgoose,HK,EG,S,Left,RF
1838,Brian Taylor,WC,TD,S,Left,SS
1844,Ioe Torrent,HK,BS,S,Left,3B
2206,Dirk Digglet,SF,EN,S,Left,PH
2225,Raylees D. Kraken,SF,FP,H,Right,LF
2229,King Kruul,TT,,,Left,RF
2248,Raja Ayun,SM,SF,S,Right,3B
2256,Doc Otis,WC,SF,B,Left,PH
2258,Sid Houn,HK,TD,S,Left,C
2260,Willians Adobestudio,BP,TD,B,Right,C
2262,Burg McTurdBerg,SF,,,Right,2B
2275,Franz Lisztpitcher,BC,FP,S,Left,PH
2276,Kev Biffington,TT,EG,H,Left,P
2327,Kared Jelenik,BC,EG,S,Left,2B
2329,Tencer Sporkelson,1B,BS,B,Left,3B
2340,Guthlac son of Romund,WC,,,Left,C
2377,Mark Spoon,EN,EG,B,Left,CF
2389,Gerald McCoy,MH,EG,S,Left,2B
2474,Six,WC,BS,H,Right,P
2487,Stu PunDous,BC,TD,S,Right,RF
2499,Freddie Confinedman,XB,FP,H,Left,1B
2501,Hakuna Moncada,S,TD,S,Right,C
2504,Peter Hoomanawanui,XB,BS,B,Right,PH
2507,Hank Braun,WC,EG,S,Left,PH
2508,Fatts Richard,BC,SF,S,Right,2B
2509,Big Cheech,S,TD,B,Right,2B
2517,Stumpy Malone,BN,WC,S,Left,C
2523,Martin Ducksworth,TT,TT,H,Right,P
2524,WoodCutter Jones,TT,TD,H,Right,3B
2532,Herb Bumbleflower,S,,,Right,CF
2542,Ovaltine,BC,TD,S,Left,RF
2544,Mark Schihne,HK,EG,H,Right,P
2545,Onionhead ditwit,1B,SF,H,Right,RF
2555,Nooooot,MH,WC,S,Left,P
2573,Giles Sweeney,MH,,,Right,1B
2585,Rocky Li,TT,NH,S,Right,P
2587,toronto mans,XB,EN,H,Right,P
2588,Derek Rasmussen,BC,EG,B,Left,P
2594,Hunter West,BC,WC,S,Right,1B
2606,peaches,BC,TD,B,Right,2B
2611,CJ Ayer,SM,EG,H,Right,PH
2624,Kilometers Straw,BP,WC,S,Right,CF
2625,Dutch Boggs,BC,EG,H,Left,PH
2627,Kenny Powers,SF,BS,S,Left,C
2641,Jerome Peterson,MH,NH,H,Left,1B
2646,Larry Fishmang,XB,BF,H,Right,SS
2656,Dru N.K.,WC,BS,H,Right,PH
2657,Vader Page,BC,BF,H,Right,P
2659,Kevin James,S,TT,H,Right,P
2661,Stevey Swinger,S,EG,S,Right,2B
2663,Toastman,S,TD,H,Right,C
2667,Herbie Bucket,WC,,,Right,LF
2671,Rich Driver,BP,,,Left,3B
2673,Noah Diamond,S,WC,S,Left,CF
2674,Palfo Salvy,XB,BS,S,Right,P
2679,"Kiwi Cleveland, Esq.",BC,,,Right,2B
2689,Brent Chillwater,BP,EG,H,Left,1B
2691,Francesco Hardgust,BC,EG,S,Left,CF
2692,Bryce Parker,WC,WC,S,Right,SS
2696,Captain Trash,HK,1B,S,Left,C
2704,Dirk Diggler,S,EG,H,Right,SS
2708,Saul Pewald,WC,FP,H,Right,1B
2710,Sterling Turlington,HK,NT,S,Right,CF
2715,King Raj,1B,EN,S,Left,2B
2720,Lee Luda,SF,TT,S,Left,C
2722,Teddy Bigstick,BC,TD,S,Right,2B
2723,Matias Thagod,S,BS,B,Right,P
2727,Brendan Donahue,XB,EG,S,Left,3B
2730,Laars Nootbaar jr,MH,NH,S,Left,1B
2734,Enrique Rosales,XB,NT,B,Right,3B
2735,Dill Doe,TT,BS,B,Left,P
2740,Justin P. L. Griffin,BP,,,Right,2B
2743,Pete Morris,TT,BS,B,Left,P
2745,Nicholas van leer,BC,EG,H,Right,C
2773,Toky Oto,TT,NT,B,Right,LF
2776,Paulie Whippet,XB,TT,B,Right,3B
2780,Jimmy Payne,BC,EG,S,Right,LF
2785,Kai Johnson,BP,NH,H,Right,C
2786,Huascal Bandito,P,BS,H,Right,P
2789,Roosevelt Sandoval,BC,,,Right,2B
2792,Jerome S. Monroe,1B,BS,S,Right,P
2795,Leigh Dell Leedle Lee-Daughly,HK,NT,H,Right,C
2804,Billy TheKid,WC,EG,S,Right,2B
2805,Calvin Ball,BC,1B,S,Left,CF
2815,Jamal Jackson,SM,NH,B,Right,CF
