Player ID,Name,Batting Type,Pitching Type,Pitching Bonus,Handedness,Primary Position
2,Bart Harley Jarvis,S,BS,H,Left,P
10,Emmett Michael,1B,BS,H,Left,SS
18,Jordan Peppers,1B,FP,H,Right,PH
20,Q Kimbrell,BN,NH,S,Right,P
22,Faye Suzuki,BP,NT,B,Left,P
32,Sammy Slingshot,BP,FP,S,Right,PH
34,Dixon Uraz,S,,,Left,RF
36,Jericho Caulfield,WC,FP,H,Right,PH
37,Artanis Jones,SM,BS,H,Left,P
46,Jackson Sanchez,XB,NT,S,Right,SS
59,Nick Tits,1B,NT,H,Right,P
63,Michael Ikenberry,SM,BB,B,Left,PH
65,Dakota Carolina Montana,EN,,,Left,1B
71,Miroslav,BC,FP,S,Right,CF
73,Jack Alpha,BN,BB,B,Right,PH
76,Hank Murphy,1B,FP,S,Right,P
84,Henrik Omega,BP,FP,S,Left,3B
108,Sam Wood,BC,BS,S,Left,C
109,Derek Bongiovanni,1B,FP,B,Right,P
114,Roccrates Rudnikov,HK,,,Right,C
116,Mattress Cadaire,BC,BS,S,Right,2B
117,Sammy Capicola,1B,EG,H,Right,PH
127,Buster McNutt,S,TT,H,Right,P
131,Nori Aru,1B,FP,H,Right,P
132,Carlos The great,WC,WC,H,Left,C
133,Garren Smudge,BP,TT,H,Left,C
135,Lloyd Gross,XB,BS,H,Left,PH
149,Alyx Sabor,TT,TT,H,Right,P
152,Francis J Wellington IV,XB,TT,H,Right,PH
161,Girth Brooks,BN,,,Right,LF
163,Rickey Tucker,XB,TD,S,Right,PH
169,Todd Bonzalez II,BN,,,Left,1B
176,Fernando Cruz,BP,,,Right,LF
180,Demetrios Ooga,BC,EG,S,Left,C
184,Henry Crowell,EN,EN,S,Right,C
189,Jack Kanoff,1B,FP,H,Left,LF
193,Lemon Juiced,1B,TD,H,Right,PH
194,Joe Watson,WC,TD,S,Right,CF
195,Swing N. Miss,1B,FP,S,Right,P
198,Icna Comit,BN,TD,B,Right,P
213,Jack Marnette,1B,,,Right,LF
218,Thomas BEOWULF,WC,BF,S,Left,PH
227,Cal Lidous,SM,NH,H,Right,P
238,Ben Bramly,XB,EN,B,Right,PH
250,Pablo Sanchez III,SM,NH,S,Right,P
252,Tara E. Doug,BP,TD,H,Right,PH
258,Ty Palmatier,SM,NT,H,Right,P
259,Layzer Gunn,XB,EG,S,Right,2B
262,Dimebag Jammin,BN,EG,S,Left,3B
265,Wavy Gravy VIII,EN,FP,S,Left,CF
270,Liam Abercrombie,1B,1B,S,Right,P
275,Richard Northstar,BP,TT,S,Left,P
277,becky mcbadbat,WC,,,Left,LF
287,KC Bats,BN,WC,H,Right,C
293,Charlie Bae Jr.,BC,WC,B,Left,PH
298,Jeff Dingerhitter,XB,BB,B,Right,SS
324,Caleb Aiken,WC,,,Right,C
326,Chaz Gorbachuck,S,BF,S,Right,C
331,Keyo,BN,NH,S,Right,PH
339,Isaac Snowbender,MH,FP,H,Left,PH
342,Obama habubger,SM,NH,S,Right,P
344,Mongster Mash,1B,NT,H,Right,3B
351,Buster Hyman,BP,BS,B,Left,C
357,Stan Mann,1B,,,Right,1B
361,Matthaios Himynamis,EN,TD,S,Right,P
408,Jonah Fister,S,,,Right,SS
416,Dallas Houston,BP,,,Right,1B
419,Takahiro Rihanna,BC,,,Left,2B
474,Xerxes Dalin,BC,BF,H,Right,P
477,Apollo,WC,EG,S,Left,2B
478,Bobosnia Bones,WC,WC,S,Left,P
487,dick richards,BC,BS,B,Right,2B
488,Juniped Catfish,BP,TT,H,Right,1B
490,Zelk Antilles,1B,NT,H,Right,3B
492,Wallace Grommet,BC,WC,S,Right,2B
517,Ryan Tyburn,1B,NH,H,Right,P
518,Vinnie Vidi Vici,1B,NT,H,Right,2B
520,Iama Human,MH,,,Right,CF
525,Cam'ron West,1B,,,Right,2B
529,Wheeler Walker Jr.,XB,EG,S,Right,2B
547,Red Arrow,BC,BS,H,Right,2B
559,Trevor Mouseman,BC,,,Right,SS
562,Rotticus Scott,XB,BF,B,Right,P
583,Paul E. Wag,1B,NH,B,Left,CF
600,Johnny Hendrivederci,SM,BS,B,Right,P
612,Barius McKockidopolous,BN,BS,H,Left,C
620,Edward Duncan,TT,,,Right,RF
623,Thelonius Junk,1B,,,Left,CF
638,Sablo Panchez,BC,BB,B,Right,SS
646,Aaron Burr,BN,TT,H,Right,P
651,señor rustus of house vervulf,XB,EG,S,Left,CF
657,Theophylaktos Twatklava,XB,TT,S,Right,C
665,Bench Warmer,XB,BS,H,Right,RF
672,Clarinet Clarinet,BC,,,Left,1B
675,Speedo Meter,S,TD,B,Right,SS
698,Sir Shirley,EN,,,Right,RF
700,Edward Freeman,BC,,,Left,CF
702,Jacky Wacky,EN,EN,S,Right,C
703,Emerson Austin,BP,BF,H,Right,3B
707,Kyle Corbett,BP,BS,B,Right,CF
708,Gob Bibson,XB,NT,S,Left,P
746,Michael Scarn,1B,BB,H,Left,CF
772,Mike Fruitstand,BC,,,Right,LF
775,LaCarpetron Dukemarriot,EN,,,Right,C
776,"Reno ""El Greco"" McRenoface",MH,BS,H,Left,3B
