Outs,OBC,RE
0,0,0.6886688668866887
0,1,1.0838323353293413
0,2,1.4591836734693877
0,3,1.3461538461538463
0,4,1.8421052631578947
0,5,2.0625
0,6,2.0625
0,7,3.142857142857143
1,0,0.39657631954350925
1,1,0.6086956521739131
1,2,1.0070921985815602
1,3,0.9512195121951219
1,4,0.9322033898305084
1,5,1.9473684210526316
1,6,1.1379310344827587
1,7,2.5714285714285716
2,0,0.21922428330522767
2,1,0.41735537190082644
2,2,0.5056818181818182
2,3,0.43103448275862066
2,4,0.640625
2,5,1.125
2,6,0.7894736842105263
2,7,1.2380952380952381
