Outs,OBC,RE
0,0,0.6766666666666666
0,1,1.1538461538461537
0,2,1.435483870967742
0,3,1.2727272727272727
0,4,1.2758620689655173
0,5,2.0
0,6,2.5
0,7,2.4444444444444446
1,0,0.39787234042553193
1,1,0.8356164383561644
1,2,1.043956043956044
1,3,1.1785714285714286
1,4,1.5471698113207548
1,5,1.0952380952380953
1,6,1.5833333333333333
1,7,2.4827586206896552
2,0,0.16169154228855723
2,1,0.2251655629139073
2,2,0.46551724137931033
2,3,0.38636363636363635
2,4,0.7272727272727273
2,5,0.6785714285714286
2,6,0.5714285714285714
2,7,1.2
