Outs,OBC,RE
0,0,0.6247086247086248
0,1,0.9983948635634029
0,2,1.1423948220064726
0,3,1.4516129032258065
0,4,1.3426573426573427
0,5,1.5740740740740742
0,6,2.0172413793103448
0,7,2.098360655737705
1,0,0.3983311374615722
1,1,0.627906976744186
1,2,0.8427835051546392
1,3,0.8865248226950354
1,4,0.9878542510121457
1,5,1.0416666666666667
1,6,1.5740740740740742
1,7,1.7099236641221374
2,0,0.16648706896551724
2,1,0.3602941176470588
2,2,0.5066921606118547
2,3,0.41232227488151657
2,4,0.6641221374045801
2,5,0.6287128712871287
2,6,0.7837837837837838
2,7,0.9090909090909091
