Line ID,Batting Team's Score:,,,,,"Win Probability, slightly edited",,,,,,,,,,,,,,,,,,,,
,Inning,Top/Bot,OBC,Outs,Inning&OBC&Outs,-10+,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10+
0,1,1,0,0,1100,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,50.00%,61.33%,71.66%,79.82%,86.23%,91.05%,93.94%,98.06%,97.04%,98.53%,100.00%
1,1,1,0,1,1101,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,47.49%,59.24%,69.98%,78.73%,85.48%,90.34%,93.35%,97.08%,97.23%,98.45%,99.19%
2,1,1,0,2,1102,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,45.31%,57.40%,68.52%,77.47%,84.65%,89.72%,93.18%,96.22%,97.60%,98.77%,99.51%
3,1,1,1,0,1110,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,52.91%,63.72%,73.69%,81.32%,87.22%,92.20%,93.79%,98.14%,99.00%,99.50%,100.00%
4,1,1,1,1,1111,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,49.92%,61.41%,71.55%,80.02%,86.40%,91.85%,93.58%,97.55%,97.06%,99.04%,100.00%
5,1,1,1,2,1112,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,47.29%,59.28%,69.94%,78.62%,85.40%,90.64%,93.62%,95.91%,97.52%,99.04%,99.75%
6,1,1,2,0,1120,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,56.33%,67.03%,76.40%,83.18%,88.90%,93.64%,93.41%,95.58%,98.00%,100.00%,100.00%
7,1,1,2,1,1121,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,52.14%,63.27%,73.16%,80.95%,87.34%,92.29%,94.94%,97.04%,97.92%,100.00%,100.00%
8,1,1,2,2,1122,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,48.36%,60.15%,70.74%,79.18%,86.15%,90.75%,94.03%,96.25%,97.49%,99.34%,99.48%
9,1,1,3,0,1130,SS,SS,SS,SS,SS,SS,SS,SS,SS,SS,59.57%,70.10%,78.91%,85.27%,89.63%,93.71%,96.48%,98.65%,98.50%,100.00%,100.00%
